name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
Carreau,tomspur,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
fperez,tomspur,20111,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
Carreau,fperez,20111,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.0,1.0
ellisonbg,ipython,20100,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
fperez,ipython,20110,10,3,1,0,0.36,0.11,0.04,0.0,11,1,0.5700000000000001,1.0
epatters,ipython,20110,12,1,0,0,0.6,0.05,0.0,0.0,9,1,0.8,1.0
epatters,ipython,20111,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
ellisonbg,fperez,20100,3,0,0,0,0.43,0.0,0.0,0.0,8,1,1.0,0.5700000000000001
epatters,fperez,20110,15,1,0,3,0.43,0.03,0.0,0.09,12,1,0.8,0.5700000000000001
epatters,fperez,20111,3,0,0,0,0.43,0.0,0.0,0.0,8,1,1.0,0.5700000000000001
ipython,unidesigner,20100,4,0,1,0,0.5,0.0,0.12,0.0,6,1,1.0,1.0
ellisonbg,unidesigner,20100,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
fperez,unidesigner,20110,4,3,1,0,0.29,0.21,0.07,0.0,9,1,0.5700000000000001,1.0
epatters,unidesigner,20110,4,1,0,0,0.4,0.1,0.0,0.0,7,1,0.8,1.0
rkern,unidesigner,20110,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
minrk,unidesigner,20110,2,0,1,0,0.5,0.0,0.25,0.0,4,1,1.0,1.0
minrk,unidesigner,20111,1,1,0,0,0.25,0.25,0.0,0.0,4,1,0.5,1.0
epatters,unidesigner,20111,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
ellisonbg,epatters,20100,4,0,0,0,0.8,0.0,0.0,0.0,6,1,1.0,0.8
ipython,rkern,20100,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
ellisonbg,rkern,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,rkern,20110,3,0,0,0,0.43,0.0,0.0,0.0,8,1,0.5700000000000001,1.0
epatters,rkern,20110,4,0,0,0,0.8,0.0,0.0,0.0,6,1,0.8,1.0
minrk,rkern,20110,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
minrk,rkern,20111,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
epatters,rkern,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,4,0,1,0,0.5,0.0,0.12,0.0,6,1,1.0,1.0
ellisonbg,minrk,20100,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
fperez,minrk,20110,4,3,1,0,0.29,0.21,0.07,0.0,9,1,0.5700000000000001,1.0
epatters,minrk,20110,4,1,0,0,0.4,0.1,0.0,0.0,7,1,0.8,1.0
epatters,minrk,20111,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
ipython,minrk,20100,3,1,0,0,0.38,0.12,0.0,0.0,6,1,1.0,0.5
ellisonbg,minrk,20100,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
fperez,minrk,20110,6,1,0,3,0.43,0.07,0.0,0.21,9,1,0.5700000000000001,0.5
epatters,minrk,20110,5,0,0,1,0.5,0.0,0.0,0.1,7,1,0.8,0.5
epatters,minrk,20111,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
ellisonbg,epatters,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ellisonbg,ipython,20110,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
bfroehle,minrk,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ellisonbg,fperez,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Carreau,fperez,20140,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
damianavila,fperez,20140,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
Carreau,ellisonbg,20140,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
damianavila,ellisonbg,20140,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,damianavila,20140,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,20110,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
ellisonbg,takluyver,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,takluyver,20140,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
damianavila,takluyver,20140,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
ellisonbg,ipython,20110,0,1,0,0,0.0,0.5,0.0,0.0,3,1,1.0,0.0
fperez,ipython,20110,1,0,0,1,0.5,0.0,0.0,0.5,3,1,0.5,0.0
fperez,ipython,20120,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
ellisonbg,fperez,20110,1,1,0,0,0.25,0.25,0.0,0.0,4,1,1.0,0.5
ipython,takluyver,20100,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
ellisonbg,takluyver,20110,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
fperez,takluyver,20110,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
minrk,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
ellisonbg,minrk,20110,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
fperez,minrk,20110,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
fperez,minrk,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ellisonbg,fperez,20110,1,0,1,0,0.5,0.0,0.5,0.0,3,1,1.0,1.0
ellisonbg,ipython,20110,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
Carreau,ipython,20140,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
ipython,takluyver,20100,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
ellisonbg,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
minrk,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,takluyver,20140,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,ellisonbg,20140,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
ellisonbg,minrk,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,minrk,20140,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ellisonbg,fperez,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
fperez,ipython,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
fperez,takluyver,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Drekin,ipython,20141,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
fperez,ipython,20141,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,ipython,20161,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,Drekin,20161,0,2,0,0,0.0,0.5,0.0,0.0,5,1,1.0,0.5
ipython,takluyver,20100,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Drekin,takluyver,20141,6,0,0,0,0.5,0.0,0.0,0.0,7,1,0.5,1.0
fperez,takluyver,20141,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Carreau,takluyver,20161,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Drekin,fperez,20141,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
Carreau,fperez,20161,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,minrk,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
fperez,minrk,20140,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
asmeurer,ipython,20111,5,0,0,0,0.71,0.0,0.0,0.0,8,1,0.71,1.0
boxed,ipython,20130,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,ipython,20130,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,ipython,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
cottrell,ipython,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
asmeurer,minrk,20111,15,0,0,0,0.71,0.0,0.0,0.0,10,1,0.71,1.0
