name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
1kastner,ActiveNeuron,20181,1.0,1.0,1,0,0,0,1,3
1kastner,Ashutosh19986,20181,1.0,1.0,1,0,0,0,1,2
1kastner,BLeila,20181,1.0,0.6,2,0,0,0,1,6
1kastner,Carreau,20181,1.0,1.0,2,0,0,0,2,4
1kastner,LunaticKiarra,20181,1.0,1.0,1,0,0,0,1,2
1kastner,Malaratgithub,20181,1.0,1.0,0,0,0,0,1,2
1kastner,No-O-ne,20181,1.0,1.0,1,0,0,0,1,2
1kastner,abalter,20181,1.0,1.0,2,0,0,0,1,3
1kastner,adihk97,20181,1.0,1.0,1,0,0,0,1,2
1kastner,amnanajib,20181,1.0,0.0,0,0,0,0,1,2
1kastner,gzerveas,20181,1.0,1.0,1,0,0,0,1,2
1kastner,hemanthsavasere,20181,1.0,1.0,1,0,0,0,1,2
1kastner,ivanov,20181,1.0,1.0,1,0,0,0,1,2
1kastner,s13varun,20181,1.0,1.0,1,0,0,0,1,2
1kastner,takluyver,20181,1.0,0.75,3,0,0,0,1,5
1kastner,tanejasarthak,20181,1.0,1.0,1,0,0,0,1,2
1kastner,tarajb,20181,1.0,1.0,1,0,0,0,1,2
1kastner,tushar629,20181,1.0,0.0,0,0,0,0,1,2
2DSharp,Carreau,20181,0.5,1.0,4,0,0,0,2,10
2DSharp,aryeksa,20181,1.0,1.0,2,0,0,0,1,3
2sn,ProbonoBonobo,20181,1.0,1.0,0,0,0,0,1,2
2sn,gpotter2,20181,1.0,1.0,1,0,1,0,1,4
2sn,stonebig,20181,1.0,1.0,0,0,0,0,2,4
2sn,takluyver,20181,1.0,0.6699999999999999,1,1,1,0,1,4
AbdlrhmanElmhdy,BruceDai,20181,1.0,1.0,1,0,0,0,1,2
AbdlrhmanElmhdy,NLStom,20181,1.0,1.0,1,0,0,0,1,2
AbdlrhmanElmhdy,ScorpJD,20181,1.0,1.0,1,0,0,0,1,2
AbdlrhmanElmhdy,kzos,20181,1.0,1.0,1,0,0,0,1,2
AbdlrhmanElmhdy,lloyd5389,20181,1.0,1.0,0,0,0,0,1,2
AbdlrhmanElmhdy,steowens,20181,1.0,0.0,0,0,0,0,1,2
AbdlrhmanElmhdy,takluyver,20181,1.0,0.0,0,0,0,0,1,2
ActiveNeuron,Ashutosh19986,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,BLeila,20181,1.0,0.6,3,2,1,0,1,7
ActiveNeuron,Carreau,20181,1.0,1.0,2,0,0,0,2,6
ActiveNeuron,LunaticKiarra,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,Malaratgithub,20181,1.0,1.0,1,0,1,0,1,3
ActiveNeuron,No-O-ne,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,adihk97,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,amnanajib,20181,1.0,0.0,0,1,0,0,1,3
ActiveNeuron,gzerveas,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,hemanthsavasere,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,ivanov,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,s13varun,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,takluyver,20181,1.0,0.75,3,1,0,0,1,6
ActiveNeuron,tanejasarthak,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,tarajb,20181,1.0,1.0,1,0,0,0,1,3
ActiveNeuron,tushar629,20181,1.0,0.0,0,1,0,0,1,3
Antoinelypro,Carreau,20181,0.0,1.0,0,1,0,0,2,6
Antoinelypro,chebee7i,20181,0.0,0.6699999999999999,1,0,0,1,1,4
Antoinelypro,lanery,20181,0.0,1.0,0,0,0,0,1,2
Antoinelypro,olaurino,20181,0.0,1.0,0,0,0,0,1,3
Antoinelypro,takluyver,20181,0.0,1.0,0,0,0,0,1,2
