period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,average_clustering,connectivity,global_centrality
2010-01-01,19,22,2.316,2.829,9.5,1,4,4.0,0.1287,0.0857,0.1052,19,0.4487,0.0774,0.13535762483130903,1.16,0.3626543209876543
2010-07-01,31,59,3.806,4.439,5.3559,2,4,2.5,0.1269,0.2739,0.1937,31,0.437,0.0322,0.4254254628027419,1.9,0.40907407407407403
2011-01-01,63,144,4.571,7.12,16.2847,3,4,2.0,0.0737,0.2075,0.0611,63,0.4087,0.0172,0.5713681497626654,2.29,0.3117845993756505
2011-07-01,193,433,4.487,12.237,10.9908,2,5,3.0,0.0234,0.0769,0.0938,193,0.4168,0.0071,0.590624323759175,2.24,0.36089952256944496
2012-01-01,235,595,5.064,13.77,15.3277,3,5,2.3333333333333335,0.0216,0.0881,0.1011,235,0.4069,0.0059,0.5838926159003165,2.53,0.35389424598826463
2012-07-01,303,778,5.135,13.921,12.1452,4,5,2.0,0.017,0.1003,0.2025,303,0.3849,0.0049,0.541249562122355,2.57,0.2999532184260939
2013-01-01,371,840,4.528,14.656,7.9167,7,6,1.7142857142857142,0.0122,0.0695,0.2148,371,0.3729,0.004,0.49379302355543786,2.26,0.3492176771365953
2013-07-01,494,1327,5.372,18.066,12.0912,8,7,1.875,0.0109,0.0727,0.1207,494,0.3703,0.0031,0.5463036913066351,2.69,0.32896776252642485
2014-01-01,579,1420,4.905,15.933,8.1556,4,6,2.5,0.0085,0.0718,0.162,579,0.3539,0.0031,0.4868565890927365,2.45,0.3215265721594927
2014-07-01,604,1477,4.891,17.239,10.7962,13,6,1.9230769230769231,0.0081,0.0614,0.1527,604,0.3296,0.0024,0.5294965222515192,2.45,0.31583184134605813
2015-01-01,617,1554,5.037,17.39,7.0309,8,6,1.75,0.0082,0.0641,0.1816,617,0.3511,0.0028,0.5135294687960991,2.52,0.30834589517624844
2015-07-01,542,1090,4.022,12.165,2.9083,18,6,1.2777777777777777,0.0074,0.0682,0.4589,542,0.2926,0.0034,0.4221022476287373,2.01,0.29181441000041747
2016-01-01,392,778,3.969,12.288,5.1735,9,7,2.0,0.0102,0.0691,0.2291,392,0.3216,0.0043,0.43082523849400395,1.98,0.32641920996131085
2016-07-01,503,1055,4.195,12.425,3.5488,10,9,2.0,0.0084,0.084,0.3782,503,0.309,0.0038,0.3970939390879461,2.1,0.35058240761106296
2017-01-01,430,778,3.619,12.252,4.4679,8,6,2.0,0.0084,0.0518,0.314,430,0.3182,0.004,0.33997392567144924,1.81,0.33241252402091453
2017-07-01,355,550,3.099,10.148,3.1436,15,6,1.7333333333333334,0.0088,0.0488,0.4025,355,0.2787,0.0042,0.3138084383949468,1.55,0.3186908827816639
2018-01-01,373,667,3.576,9.432,2.3493,12,7,1.9166666666666667,0.0096,0.0798,0.5331,373,0.2809,0.0044,0.39009964600042235,1.79,0.37548355782942217
2018-07-01,387,775,4.005,8.626,2.5819,20,7,1.85,0.0104,0.1677,0.5318,387,0.2199,0.0035,0.42999876016282085,2.0,0.31282781321071124
2019-01-01,194,314,3.237,5.442,2.414,16,6,1.5625,0.0168,0.1922,0.6427,194,0.1863,0.0061,0.4108878880789269,1.62,0.2767537383553914
