period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,between_centrality_dif,average_clustering,connectivity,global_centrality
2010-01-01,3,2,1.333,0.471,1.0,1,2,2.0,0.6667,0,0.0,3,0.7778,0.3333,0.2222,0.0,0.67,0.25
2010-07-01,14,20,2.857,2.642,3.0,2,2,1.5,0.2198,0.4186,0.1438,14,0.4477,0.043,0.0225,0.488961038961039,1.43,0.39644970414201186
2011-01-01,28,52,3.714,4.165,3.9808,3,3,1.6666666666666667,0.1376,0.3438,0.1179,28,0.3847,0.0276,0.0066,0.5194107246628256,1.86,0.3552812071330589
2011-07-01,58,88,3.034,5.611,4.7955,3,4,2.3333333333333335,0.0532,0.1236,0.0829,58,0.3745,0.0191,0.0066,0.3679451409888048,1.52,0.37252487945008744
2012-01-01,85,135,3.176,7.172,4.2889,2,5,3.0,0.0378,0.0883,0.1106,85,0.4105,0.0158,0.0065,0.3953673599752604,1.59,0.40750661375661384
2012-07-01,85,140,3.294,5.931,3.6429,5,5,2.0,0.0392,0.1586,0.2651,85,0.3254,0.0146,0.003,0.3268053273234893,1.65,0.2886857520786098
2013-01-01,104,130,2.5,4.396,2.1769,10,6,1.5,0.0243,0.1475,0.4991,104,0.2414,0.0129,0.0022,0.16203270048664786,1.25,0.2675621327803443
2013-07-01,132,245,3.712,6.979,3.2694,9,5,1.6666666666666667,0.0283,0.1856,0.2693,132,0.2945,0.0091,0.0013,0.33756841733885923,1.86,0.2735077598430548
2014-01-01,123,199,3.236,6.047,2.8191,7,6,2.0,0.0265,0.1726,0.3373,123,0.2882,0.0106,0.0017,0.2889263910821169,1.62,0.283916733852907
2014-07-01,152,254,3.342,6.961,3.1929,12,5,1.75,0.0221,0.1522,0.3398,152,0.2453,0.0064,0.0011,0.37459171673270664,1.67,0.32574448489101343
2015-01-01,112,150,2.679,5.119,2.2133,12,5,1.5,0.0241,0.1466,0.4681,112,0.2215,0.0083,0.0014,0.24769049211718386,1.34,0.2982928874820765
2015-07-01,90,91,2.022,3.026,1.3736,18,5,1.3888888888888888,0.0227,0.1307,0.7056,90,0.1137,0.0051,0.0006,0.23759259259259255,1.01,0.26962504734250736
2016-01-01,74,86,2.324,4.485,2.2558,10,5,1.5,0.0318,0.1014,0.2992,74,0.2319,0.0112,0.0028,0.17540083862664507,1.16,0.33668605742165497
2016-07-01,114,130,2.281,4.52,1.8385,13,5,1.6923076923076923,0.0202,0.0834,0.4959,114,0.1963,0.0075,0.0013,0.1998885766429626,1.14,0.3101260866160234
2017-01-01,88,112,2.545,4.819,2.125,12,5,1.4166666666666667,0.0293,0.1155,0.4256,88,0.2275,0.0093,0.0022,0.3058808528636115,1.27,0.33167305236270767
2017-07-01,65,70,2.154,4.965,2.2286,6,5,1.6666666666666667,0.0337,0.0442,0.2541,65,0.2998,0.0151,0.0064,0.13967403716391572,1.08,0.4056722005208333
2018-01-01,53,52,1.962,2.555,1.75,11,4,1.7272727272727273,0.0377,0.148,0.4833,53,0.1261,0.0067,0.0009,0.20057079435547803,0.98,0.291481755424063
2018-07-01,82,106,2.585,4.414,2.2358,11,5,1.7272727272727273,0.0319,0.1489,0.4252,82,0.1862,0.0073,0.0018,0.3635464129366568,1.29,0.36852105878169006
2019-01-01,26,25,1.923,2.556,2.76,5,3,1.4,0.0769,0.1111,0.3221,26,0.2432,0.0217,0.0064,0.2192166807551423,0.96,0.37333333333333335
