period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,average_clustering,connectivity,global_centrality
2010-01-01,24,27,2.25,3.491,14.2593,1,4,4.0,0.0978,0.05,0.1222,24,0.4498,0.0593,0.10637254901960784,1.12,0.40327662255828584
2010-07-01,37,74,4.0,5.035,8.8514,1,4,4.0,0.1111,0.2605,0.1425,37,0.4746,0.0333,0.4911995739581946,2.0,0.4034207818930041
2011-01-01,82,208,5.073,9.113,16.3942,1,4,4.0,0.0626,0.1559,0.0358,82,0.4637,0.0149,0.684941377842542,2.54,0.323680333282528
2011-07-01,227,578,5.093,14.22,13.1211,1,5,5.0,0.0225,0.0794,0.085,227,0.4319,0.006,0.6704478818855096,2.55,0.3672233534340989
2012-01-01,298,803,5.389,16.051,15.2516,2,5,3.0,0.0181,0.0744,0.0672,298,0.4156,0.0047,0.6246432526693654,2.69,0.3583731062967885
2012-07-01,365,1080,5.918,17.007,12.2796,2,5,3.0,0.0163,0.0872,0.1617,365,0.4055,0.004,0.6392245549179073,2.96,0.31806519945256123
2013-01-01,436,1159,5.317,17.595,9.0552,5,5,2.0,0.0122,0.0683,0.1951,436,0.3932,0.0032,0.5973384388708722,2.66,0.3534520632404083
2013-07-01,587,1761,6.0,20.965,12.7456,3,7,3.3333333333333335,0.0102,0.067,0.1119,587,0.3903,0.0026,0.6156539559842226,3.0,0.32854274448657983
2014-01-01,695,1887,5.43,18.901,9.531,3,6,3.0,0.0078,0.063,0.1699,695,0.3683,0.0025,0.5507979370286937,2.72,0.3199838328807077
2014-07-01,729,2071,5.682,20.426,11.069,4,6,2.25,0.0078,0.0601,0.157,729,0.3751,0.0023,0.5695046547279693,2.84,0.3105525827194764
2015-01-01,743,2088,5.62,20.328,8.1796,5,5,2.2,0.0076,0.0583,0.201,743,0.3652,0.0023,0.588894194597824,2.81,0.31455870707129396
2015-07-01,640,1538,4.806,14.635,4.1983,5,7,2.2,0.0075,0.0715,0.4482,640,0.3319,0.0031,0.5351799519344301,2.4,0.29559887581443783
2016-01-01,518,1079,4.166,14.944,6.5375,2,6,3.5,0.0081,0.0525,0.2642,518,0.3549,0.0036,0.45700899444145954,2.08,0.3511158334237436
2016-07-01,638,1450,4.545,14.144,5.091,6,6,2.0,0.0071,0.0757,0.3935,638,0.3296,0.003,0.43236960123688495,2.27,0.3327946853176691
2017-01-01,563,1132,4.021,15.418,6.1899,5,5,2.4,0.0072,0.0493,0.311,563,0.3392,0.003,0.41022159068552305,2.01,0.33029755195602256
2017-07-01,509,851,3.344,13.819,4.7955,6,6,2.1666666666666665,0.0066,0.0307,0.3616,509,0.3378,0.0033,0.3461049372359231,1.67,0.3464473928947805
2018-01-01,476,974,4.092,11.007,3.5544,4,7,3.0,0.0086,0.0836,0.5651,476,0.3141,0.004,0.4408139027373969,2.05,0.3744677905289507
2018-07-01,460,1099,4.778,10.769,3.8553,11,6,2.0,0.0104,0.1771,0.5806,460,0.2696,0.0036,0.4998598928460563,2.39,0.32946223595546215
2019-01-01,251,438,3.49,6.451,3.8721,14,6,1.8571428571428572,0.014,0.1763,0.6538,251,0.222,0.0065,0.42777654233626006,1.75,0.2902901333333324
