source,target,weight
06wj,11zouzouzou,2
06wj,HypnosNova,5
06wj,Mugen87,17
06wj,TimJeskeSensape,4
06wj,WestLangley,19
06wj,donmccurdy,11
06wj,jcyuan,2
06wj,linkenneth,12
06wj,makc,14
06wj,mrdoob,43
06wj,msimpson,3
06wj,pailhead,4
06wj,takahirox,7
06wj,wwbbluesky,3
06wj,xincept,10
0xor1,gero3,4
0xor1,jkeveren,4
0xor1,mrdoob,5
11zouzouzou,HypnosNova,3
11zouzouzou,Mugen87,3
11zouzouzou,WestLangley,3
11zouzouzou,mrdoob,2
1d2d3d,donmccurdy,28
1d2d3d,mrdoob,15
1d2d3d,takahirox,15
34997593,mrdoob,2
34997593,yomotsu,3
39otrebla,Mugen87,3
39otrebla,donmccurdy,3
3xr,Mugen87,3
4zuko,Mugen87,2
4zuko,mrdoob,3
4zuko,takahirox,2
AUTOMAKHAN,jostschmithals,3
AUTOMAKHAN,mrdoob,4
AUTOMAKHAN,rkwright,7
AVGP,Mugen87,12
AVGP,WestLangley,7
Aadjou,AVGP,4
Aadjou,Mugen87,9
Aadjou,WestLangley,5
Aarbel,WestLangley,2
AaronMeyers,Hectate,4
AaronMeyers,Itee,3
AaronMeyers,Mugen87,3
AaronMeyers,WestLangley,8
AaronMeyers,backspaces,4
AaronMeyers,dmtaub,4
AaronMeyers,looeee,3
AaronMeyers,mrdoob,11
AcidLeroy,gyemeleth,2
AcidLeroy,mrdoob,4
AcidLeroy,shaharz,2
Adam4lexander,WestLangley,2
Adam4lexander,mrdoob,4
Age-of-the-Witch-Hunt,Mugen87,3
Age-of-the-Witch-Hunt,WestLangley,4
Aikyos,Mugen87,3
Aikyos,kaisalmen,9
Aikyos,mrdoob,5
Alberto-Vivar,Hectate,2
Alberto-Vivar,WestLangley,2
Alberto-Vivar,looeee,2
Alberto-Vivar,mrdoob,2
AlexanderChen1989,CraigMcCarthy11,2
AlexanderChen1989,Foosballfan,4
AlexanderChen1989,Mugen87,3
AlexanderChen1989,RicoLiu,3
AlexanderChen1989,Servuc,2
AlexanderChen1989,cmeeren,2
AlexanderChen1989,donmccurdy,2
AlexanderChen1989,dslwz2008,2
AlexanderChen1989,fraguada,2
AlexanderChen1989,jean-noelp,4
AlexanderChen1989,johnney88,3
AlexanderChen1989,kdilayer,5
AlexanderChen1989,mrdoob,4
AlexanderChen1989,remitache,2
AlexanderChen1989,rhairston,2
AlexanderChen1989,simplynail,2
AlexanderChen1989,swisx,2
AlexanderPaule,Itee,5
AlexanderPaule,Mardonis,5
AlexanderPaule,Mugen87,8
AlexanderPaule,Rolliboy,5
AlexanderPaule,ZaWertun,2
AlexanderPaule,dcyoung,5
AlexanderPaule,easchwar,2
AlexanderPaule,jostschmithals,6
AlexanderPaule,kenrussell,6
AlexanderPaule,looeee,6
AlexanderPaule,mrdoob,7
Alexandre-Passerelle,EerikKivistik,12
Alexandre-Passerelle,Mugen87,5
Alexandre-Passerelle,makc,8
Alexandre-Passerelle,mrdoob,13
Alexandre-Passerelle,nilsmoh,5
Alexandre-Passerelle,throni3git,6
AlexeyGapon,RemusMar,8
AlexeyGapon,donmccurdy,4
AlexeyGapon,getzelone,5
Alwox,Mugen87,2
Alwox,donmccurdy,2
Alwox,looeee,2
Alwox,mrdoob,2
Amritesh,cortecag,4
Amritesh,leoboboyan,2
Amritesh,tentone,4
AncientChild,donmccurdy,2
AncientChild,mrdoob,2
Andre741,Mugen87,6
Andre741,WestLangley,5
Andre741,hccampos,3
Andre741,kenrussell,5
Andre741,looeee,2
Andre741,pailhead,10
Andre741,struckm,4
AndrewRayCode,Bryce-Summers,5
AndrewRayCode,MaikSoriano,9
AndrewRayCode,Mugen87,16
AndrewRayCode,Scharnvirk,4
AndrewRayCode,WestLangley,10
AndrewRayCode,arturitu,9
AndrewRayCode,bakajin,11
AndrewRayCode,bartmcleod,4
AndrewRayCode,bhouston,4
AndrewRayCode,caseygrun,5
AndrewRayCode,chrmi,2
AndrewRayCode,dherben,3
AndrewRayCode,dlinning,2
AndrewRayCode,dolanmiu,4
AndrewRayCode,donmccurdy,3
AndrewRayCode,evshiron,5
AndrewRayCode,feiss,5
AndrewRayCode,flimshaw,6
AndrewRayCode,gormat,4
AndrewRayCode,ianpaschal,3
AndrewRayCode,imm3lman,3
AndrewRayCode,inear,3
AndrewRayCode,insominx,8
AndrewRayCode,jee7,2
AndrewRayCode,jonoasan,3
AndrewRayCode,kumavis,6
AndrewRayCode,looeee,4
AndrewRayCode,makc,3
AndrewRayCode,michaelitvin,3
AndrewRayCode,mrdoob,52
AndrewRayCode,oomarsmanoo,3
AndrewRayCode,phfatmonkey,18
AndrewRayCode,postolka,3
AndrewRayCode,titansoftime,5
AndrewRayCode,tschw,15
AndrewRayCode,zydecode,4
AndreySukhov,Mugen87,7
AndreySukhov,WestLangley,6
AndreySukhov,makc,3
AndreySukhov,tbalouet,3
AngelTs,WestLangley,4
AngeloReppucci,donmccurdy,2
AngeloReppucci,mrdoob,3
Anima-t3d,draivin,4
Anima-t3d,itsazzad,5
Anima-t3d,mrdoob,5
AnnCamonayan,J-Zeitler,2
AnnCamonayan,Ni55aN,2
AnnCamonayan,benaadams,2
AnnCamonayan,mrdoob,3
AnnCamonayan,solpyro,3
AnnCamonayan,unphased,2
ArjanSchouten,Mugen87,5
ArjanSchouten,WestLangley,4
ArjanSchouten,m-schuetz,3
ArjanSchouten,mrdoob,6
Arnache,Mugen87,2
Arnache,TyLindberg,3
Arnache,chandlerprall,3
Arnache,jeromeetienne,9
Arnache,mrdoob,2
Arnache,saviski,2
Arsakes,Spaxe,2
Arsakes,mrdoob,2
Artyom17,Mugen87,15
Artyom17,hoch,9
Artyom17,mrdoob,9
Artyom17,osov,7
AsAddict,Mugen87,2
AsAddict,mrdoob,2
