source,target,weight
alteredq,mrdoob,2
alteredq,danbri,3
alteredq,oosmoxiecode,3
danbri,oosmoxiecode,1
alteredq,remoe,2
mrdoob,remoe,6
crobi,remoe,4
bhouston,remoe,2
formigone,remoe,2
alteredq,mrdoob,3
crobi,mrdoob,6
bhouston,mrdoob,3
formigone,mrdoob,3
alteredq,crobi,2
bhouston,crobi,2
alteredq,bhouston,1
alteredq,taoeffect,1
remoe,taoeffect,2
mrdoob,taoeffect,3
crobi,taoeffect,2
bhouston,taoeffect,1
formigone,taoeffect,1
alteredq,formigone,1
crobi,formigone,2
bhouston,formigone,1
Jakobud,mrdoob,4
alteredq,mrdoob,4
alteredq,Jakobud,1
mrdoob,zz85,4
Jakobud,zz85,1
alteredq,zz85,1
alteredq,danielribeiro,1
alteredq,vance,1
danielribeiro,kevanstannard,1
drsagitn,mrdoob,1
flyingdeath,mrdoob,2
ekunuke,unphased,1
landonsilla,mrdoob,1
makc,mrdoob,1
landonsilla,makc,1
alteredq,jeromeetienne,2
Arnache,jeromeetienne,2
alteredq,Arnache,1
linzhp,Sergej-Popov,1
alteredq,mrdoob,1
letmaik,mrdoob,1
mrdoob,patrickfuller,1
letmaik,patrickfuller,1
mrdoob,ravikirana32,1
letmaik,ravikirana32,1
patrickfuller,ravikirana32,1
renegademaster88,trusktr,1
jesseazueta,mrdoob,2
mrdoob,zz85,2
jesseazueta,zz85,1
chandlerprall,valette,2
mrdoob,valette,2
chandlerprall,mrdoob,1
alteredq,syoels,1
ghost,syoels,1
alteredq,ghost,1
alteredq,WestLangley,1
syoels,WestLangley,1
ghost,WestLangley,1
maartenbreddels,scottgarner,3
Mugen87,scottgarner,3
maartenbreddels,Mugen87,1
alteredq,Fyrestar,1
alteredq,kovleouf,1
mrdoob,tomconroy,2
codeart1st,empaempa,16
Iter-Ator,renegademaster88,1
pernyblom,renegademaster88,1
paulbrzeski,renegademaster88,1
Iter-Ator,pernyblom,1
paulbrzeski,pernyblom,1
Iter-Ator,paulbrzeski,1
MrBlenny,mrdoob,1
mrdoob,spite,2
MrBlenny,spite,2
looeee,mrdoob,2
feiss,mrdoob,1
mrdoob,Raincle,1
looeee,Raincle,2
feiss,Raincle,1
feiss,looeee,2
mrdoob,WestLangley,1
Raincle,WestLangley,1
looeee,WestLangley,2
feiss,WestLangley,1
bhouston,mrdoob,2
crobi,mrdoob,1
gero3,mrdoob,1
lukyer,mrdoob,1
bhouston,crobi,2
bhouston,gero3,2
crobi,gero3,1
mrdoob,reddozen,1
bhouston,reddozen,2
crobi,reddozen,1
gero3,reddozen,1
lukyer,reddozen,1
bhouston,lukyer,2
crobi,lukyer,1
gero3,lukyer,1
crobi,luckyllama,1
0xor1,mrdoob,1
bhouston,sole,1
bhouston,zz85,1
sole,zz85,1
evillemez,mrdoob,1
bhouston,mrdoob,4
mrdoob,zz85,2
evillemez,zz85,2
bhouston,zz85,8
PaulTondeur,zz85,4
bhouston,evillemez,4
mrdoob,PaulTondeur,2
evillemez,PaulTondeur,2
bhouston,PaulTondeur,8
bhouston,wizgrav,1
bhouston,zz85,1
wizgrav,zz85,1
kishore25kumar,ua4192,1
timo22345,WestLangley,18
obidobi,WestLangley,9
obidobi,timo22345,18
WestLangley,zz85,3
timo22345,zz85,6
obidobi,zz85,3
bhouston,WestLangley,1
mrdoob,WestLangley,1
bhouston,mrdoob,1
gero3,mrdoob,2
buffaly,GuyGood,1
buffaly,WestLangley,1
GuyGood,WestLangley,1
stephomi,WestLangley,1
buffaly,stephomi,1
GuyGood,stephomi,1
bartmcleod,WestLangley,2
MiiBond,Slayvin,1
brokedRobot,Slayvin,1
brokedRobot,MiiBond,1
Slayvin,zz85,2
MiiBond,zz85,2
brokedRobot,zz85,2
eric-wieser,hjbortol,1
crobi,gulptranslation,1
ghost,mattdesl,2
gero3,mattdesl,1
lizhanhui,mattdesl,1
gero3,ghost,2
ghost,lizhanhui,2
gero3,lizhanhui,1
bhouston,WestLangley,1
ghost,WestLangley,1
bhouston,ghost,1
AndrewRayCode,ianpaschal,1
mrdoob,WestLangley,1
insominx,sgrif,3
gero3,zz85,2
tonnot,WestLangley,2
bhouston,Gassepouille,1
