developer1,developer2,cr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
pchote,Mailaender,0.754,529,5525,3526
pchote,reaperrr,0.773,595,5525,2661
pchote,obrakmann,0.759,502,5525,2603
pchote,abcdefg30,0.684,535,5525,2373
pchote,penev92,0.725,327,5525,1840
pchote,GraionDilach,0.761,510,5525,1636
pchote,Phrohdoh,0.756,351,5525,1027
pchote,RoosterDragon,0.747,228,5525,668
pchote,atlimit8,0.785,151,5525,532
pchote,MustaphaTR,0.728,246,5525,488
pchote,Micr0Bit,0.66,209,5525,407
pchote,deniz1a,0.724,121,5525,406
pchote,SoScared,0.584,155,5525,341
pchote,rob-v,0.709,81,5525,337
pchote,Unit158,0.732,117,5525,296
pchote,LipkeGu,0.731,96,5525,292
pchote,ghost,0.653,151,5525,283
pchote,chrisforbes,0.752,90,5525,165
pchote,ltem,0.762,71,5525,149
pchote,MunWolf,0.719,62,5525,143
pchote,AoAGeneral,0.635,91,5525,141
pchote,matjaeck,0.636,53,5525,140
pchote,cjshmyr,0.717,89,5525,134
pchote,matija-hustic,0.758,47,5525,129
pchote,Snurre86,0.778,59,5525,128
pchote,HenrytheSlav,0.729,49,5525,123
pchote,xan2622,0.718,83,5525,121
pchote,pi99y,0.516,57,5525,115
pchote,forcecore,0.699,48,5525,96
pchote,TheRaffy,0.586,64,5525,93
pchote,Smittytron,0.689,56,5525,93
pchote,CH4Code,0.51,45,5525,91
pchote,teees,0.813,41,5525,80
pchote,clemty,0.703,48,5525,79
pchote,Rydra,0.621,25,5525,79
pchote,jaZzKCS,0.678,50,5525,76
pchote,Biofreak1987,0.81,36,5525,72
pchote,abc013,0.794,42,5525,71
pchote,huwpascoe,0.72,43,5525,70
pchote,yaaaaa,0.594,30,5525,67
pchote,ScottNZ,0.758,49,5525,62
pchote,dragunoff,0.72,35,5525,62
pchote,Nelax,0.532,31,5525,59
pchote,epicelite,0.74,42,5525,55
