developer1,developer2,ncr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
pchote,Mailaender,0.764,529,5525,3526
pchote,reaperrr,0.766,595,5525,2661
pchote,obrakmann,0.759,502,5525,2603
pchote,abcdefg30,0.686,535,5525,2373
pchote,penev92,0.717,327,5525,1840
pchote,GraionDilach,0.746,510,5525,1636
pchote,Phrohdoh,0.753,351,5525,1027
pchote,RoosterDragon,0.75,228,5525,668
pchote,atlimit8,0.824,151,5525,532
pchote,MustaphaTR,0.718,246,5525,488
pchote,Micr0Bit,0.67,209,5525,407
pchote,deniz1a,0.723,121,5525,406
pchote,SoScared,0.622,155,5525,341
pchote,rob-v,0.722,81,5525,337
pchote,Unit158,0.714,117,5525,296
pchote,LipkeGu,0.778,96,5525,292
pchote,ghost,0.662,151,5525,283
pchote,chrisforbes,0.74,90,5525,165
pchote,ltem,0.749,71,5525,149
pchote,MunWolf,0.738,62,5525,143
pchote,AoAGeneral,0.614,91,5525,141
pchote,matjaeck,0.646,53,5525,140
pchote,cjshmyr,0.689,89,5525,134
pchote,matija-hustic,0.714,47,5525,129
pchote,Snurre86,0.767,59,5525,128
pchote,HenrytheSlav,0.661,49,5525,123
pchote,xan2622,0.69,83,5525,121
pchote,pi99y,0.502,57,5525,115
pchote,forcecore,0.744,48,5525,96
pchote,TheRaffy,0.586,64,5525,93
pchote,Smittytron,0.69,56,5525,93
pchote,CH4Code,0.547,45,5525,91
pchote,teees,0.77,41,5525,80
pchote,clemty,0.699,48,5525,79
pchote,Rydra,0.63,25,5525,79
pchote,jaZzKCS,0.705,50,5525,76
pchote,Biofreak1987,0.783,36,5525,72
pchote,abc013,0.781,42,5525,71
pchote,huwpascoe,0.758,43,5525,70
pchote,yaaaaa,0.588,30,5525,67
pchote,ScottNZ,0.758,49,5525,62
pchote,dragunoff,0.631,35,5525,62
pchote,Nelax,0.579,31,5525,59
pchote,epicelite,0.658,42,5525,55
pchote,UberWaffe,0.655,37,5525,54
pchote,ShadowA,0.564,18,5525,51
pchote,tovl,0.593,18,5525,47
pchote,kyrreso,0.672,29,5525,46
pchote,FrameLimiter,0.806,31,5525,44
pchote,42foobar42,0.597,22,5525,42
pchote,KOYK,0.623,20,5525,40
pchote,kyrylo,0.535,23,5525,39
pchote,anjew175,0.697,30,5525,39
pchote,LavenderMoon,0.699,18,5525,39
pchote,pevers,0.526,18,5525,38
pchote,evgeniysergeev,0.859,19,5525,37
pchote,OmegaBolt,0.645,20,5525,33
pchote,dan9550,0.74,25,5525,33
pchote,AMHOL,0.564,20,5525,32
pchote,netnazgul,0.639,16,5525,32
pchote,whinis,0.784,18,5525,31
pchote,fgdzfggsfgsfgsf,0.513,11,5525,25
pchote,xp65,0.291,12,5525,25
pchote,airetaM,0.637,19,5525,25
pchote,ihptru,0.827,18,5525,24
pchote,Mortecha,0.429,6,5525,24
pchote,gdavegdave,0.695,13,5525,24
pchote,RadicalEdward2,0.5,14,5525,24
pchote,rapgro,0.653,13,5525,23
pchote,GrayHatter,0.61,14,5525,22
pchote,FRenzy-OpenRA,0.5,16,5525,22
pchote,ChaoticMind,0.502,14,5525,22
pchote,Townes27,0.708,15,5525,21
pchote,tohava,0.674,11,5525,21
pchote,ubitux,0.785,10,5525,21
pchote,Punsho,0.822,10,5525,21
pchote,dtluna,0.621,10,5525,20
pchote,Aaron-Lloyd,0.693,13,5525,19
pchote,Truth99A,0.571,10,5525,19
pchote,ABrandau,0.695,15,5525,19
pchote,Sapena,0.61,9,5525,19
pchote,sajwang,0.482,12,5525,19
pchote,StormWingDelta,0.527,15,5525,19
pchote,paulvt,0.772,11,5525,18
pchote,cookgreen,0.772,7,5525,18
pchote,teinarss,0.64,8,5525,18
pchote,fusion809,0.676,9,5525,17
pchote,sinf,0.628,10,5525,17
pchote,Zjordy,0.311,8,5525,16
pchote,IceReaper,0.616,11,5525,16
pchote,DrMelon,0.663,3,5525,16
pchote,hypercube33,0.755,6,5525,15
pchote,klaas1,0.389,7,5525,15
pchote,RockyTV,0.755,13,5525,15
pchote,SMIFFGIG,0.702,11,5525,15
pchote,Templarfreak,0.651,5,5525,15
pchote,jrb0001,0.598,11,5525,15
pchote,drogoganor,0.596,10,5525,15
pchote,chazechad,0.703,5,5525,15
pchote,GSonderling,0.599,3,5525,15
pchote,Murto,0.635,10,5525,14
pchote,jtyle6,0.802,9,5525,14
pchote,Sininini,0.523,9,5525,14
pchote,e1d1s1,0.411,8,5525,14
pchote,RockYourBuddy,0.578,5,5525,14
pchote,jabbink,0.692,8,5525,14
pchote,Arcitectus,0.739,8,5525,13
pchote,Phoib,0.798,10,5525,13
pchote,Basti504,0.678,11,5525,13
pchote,runeavalon,0.25,4,5525,13
pchote,DSUK,0.678,11,5525,13
pchote,DoGyAUT,0.663,10,5525,12
pchote,aydjay,0.53,8,5525,12
pchote,collimation,0.716,5,5525,11
pchote,Apollo-X,0.647,9,5525,11
pchote,bateramos,0.361,7,5525,11
pchote,Baxxster,0.716,10,5525,11
pchote,probonopd,0.645,9,5525,11
pchote,theKalash,0.788,9,5525,11
pchote,Nyerguds,0.358,8,5525,11
pchote,Nineeva,0.498,7,5525,11
pchote,j2k15,0.571,5,5525,11
pchote,colonelpopcorn,0.702,7,5525,10
pchote,KevinYeti,0.542,7,5525,10
pchote,Turupawn,0.145,8,5525,10
pchote,noamyogev84,0.542,6,5525,10
pchote,SteelPhase,0.859,5,5525,10
pchote,VanDeWetering,0.771,5,5525,9
pchote,ThisBlunt,0.686,7,5525,9
pchote,Raymond-cnc,0.593,7,5525,9
pchote,lovalmidas,0.422,6,5525,9
pchote,mazarf,0.686,6,5525,9
pchote,skruw,0.507,7,5525,9
pchote,ROCKNROLLKID,0.597,6,5525,9
pchote,JoshuaPettus,0.331,5,5525,9
pchote,Muh-Muh,0.597,5,5525,9
pchote,avalach21,0.247,5,5525,9
pchote,Smith00101010,0.773,5,5525,9
pchote,GeertJohan,0.599,5,5525,9
pchote,Robmaister,0.684,8,5525,9
pchote,suvjunmd,0.682,4,5525,9
pchote,leodew,0.365,6,5525,8
pchote,irungentoo,0.66,5,5525,8
pchote,samrocketman,0.662,7,5525,8
pchote,gardolf,0.859,3,5525,8
pchote,godest88,0.27,3,5525,8
pchote,viszkoktamas,0.56,4,5525,8
pchote,3Lucian,0.567,3,5525,8
pchote,ryanehlol,0.662,4,5525,8
pchote,fruestueck,0.567,2,5525,8
pchote,nicefive,0.465,3,5525,8
pchote,anvilvapre,0.372,3,5525,8
pchote,hartmark,0.567,4,5525,8
pchote,dufresnep,0.27,1,5525,8
pchote,salvadorc17,0.762,5,5525,8
pchote,Zogg,0.631,4,5525,7
pchote,riiga,0.745,4,5525,7
pchote,SzabKel,0.522,5,5525,7
pchote,Hanzik,0.745,3,5525,7
pchote,noobmapmaker,0.3,5,5525,7
pchote,grafviktor,0.183,3,5525,7
pchote,Marnador,0.637,5,5525,7
pchote,pizzaoverhead,0.859,5,5525,7
pchote,Marty,0.52,3,5525,7
pchote,Arular101,0.745,0,5525,7
pchote,Aquilar,0.748,6,5525,7
pchote,krisradio,0.52,4,5525,7
pchote,carlos444,0.409,6,5525,7
pchote,MartinCurwen,0.637,3,5525,7
pchote,AngryBirdz,0.859,3,5525,7
pchote,Computerfreaked,0.522,5,5525,7
pchote,ivicok,0.637,6,5525,7
pchote,ozzyyzzo4096,0.634,3,5525,7
pchote,Rowan94,0.745,3,5525,7
pchote,mylemans,0.333,5,5525,6
pchote,psydev,0.594,3,5525,6
pchote,Szunti,0.729,5,5525,6
pchote,PiDelport,0.596,1,5525,6
pchote,Narg6,0.07,5,5525,6
pchote,rautamiekka,0.729,5,5525,6
pchote,ChristianDK,0.597,6,5525,6
pchote,docholiday,0.333,6,5525,6
pchote,Walkman100,0.466,4,5525,6
pchote,Sora012,0.466,5,5525,6
pchote,svein83,0.466,1,5525,6
pchote,Omnomon,0.6,5,5525,6
pchote,salsero,0.729,3,5525,6
pchote,roundowl,0.729,2,5525,6
pchote,CanOPringles,0.859,5,5525,6
pchote,RRPRIME,0.466,3,5525,6
pchote,Inq8,0.466,6,5525,6
pchote,Beep6581,0.726,2,5525,6
pchote,marataziat,0.729,2,5525,6
pchote,JohnnyXP64,0.206,3,5525,6
pchote,SilverlineDev,0.859,4,5525,6
pchote,TGHoly,0.46,5,5525,6
pchote,fastslack,0.726,2,5525,6
pchote,RichSuther,0.333,4,5525,6
pchote,akoeplinger,0.859,3,5525,6
pchote,Boxhead78,0.466,2,5525,6
pchote,Herve-M,0.729,6,5525,6
pchote,Aneyrin,0.54,3,5525,5
pchote,hacklex,0.703,3,5525,5
pchote,XenGi,0.388,2,5525,5
pchote,lovenemesis,0.859,4,5525,5
pchote,Codes4Fun,0.703,4,5525,5
pchote,LordSyke,0.7,3,5525,5
pchote,mattathebest,0.54,1,5525,5
pchote,rmoriz,0.699,3,5525,5
pchote,PowaBanga,0.54,4,5525,5
pchote,tysonliddell,0.859,3,5525,5
pchote,Cilyena,0.86,2,5525,5
pchote,Askmewho,0.859,2,5525,5
pchote,Afijak,0.7,1,5525,5
pchote,ibrokemypie,0.703,3,5525,5
pchote,Wobling,0.703,3,5525,5
pchote,exaker,0.704,1,5525,5
pchote,iezed,0.384,3,5525,5
pchote,JColstrom,0.859,1,5525,5
pchote,MrRocket50,0.7,2,5525,5
pchote,DeadlySurprise,0.703,4,5525,5
pchote,bvandenbogaard,0.7,5,5525,5
pchote,LunaticEdit,0.544,3,5525,5
pchote,moviuro,0.7,5,5525,5
Mailaender,reaperrr,0.782,366,3526,2661
Mailaender,obrakmann,0.776,368,3526,2603
Mailaender,abcdefg30,0.701,363,3526,2373
Mailaender,penev92,0.731,280,3526,1840
Mailaender,GraionDilach,0.761,325,3526,1636
Mailaender,Phrohdoh,0.769,279,3526,1027
Mailaender,RoosterDragon,0.765,184,3526,668
Mailaender,atlimit8,0.842,91,3526,532
Mailaender,MustaphaTR,0.731,119,3526,488
Mailaender,Micr0Bit,0.682,160,3526,407
Mailaender,deniz1a,0.736,111,3526,406
Mailaender,SoScared,0.632,89,3526,341
Mailaender,rob-v,0.736,6,3526,337
Mailaender,Unit158,0.727,110,3526,296
Mailaender,LipkeGu,0.795,78,3526,292
Mailaender,ghost,0.674,116,3526,283
Mailaender,chrisforbes,0.755,75,3526,165
Mailaender,ltem,0.764,20,3526,149
Mailaender,MunWolf,0.753,38,3526,143
Mailaender,AoAGeneral,0.623,57,3526,141
Mailaender,matjaeck,0.657,4,3526,140
Mailaender,cjshmyr,0.702,72,3526,134
Mailaender,matija-hustic,0.726,41,3526,129
Mailaender,Snurre86,0.783,38,3526,128
Mailaender,HenrytheSlav,0.673,44,3526,123
Mailaender,xan2622,0.703,70,3526,121
Mailaender,pi99y,0.509,37,3526,115
Mailaender,forcecore,0.76,12,3526,96
Mailaender,TheRaffy,0.598,51,3526,93
Mailaender,Smittytron,0.703,16,3526,93
Mailaender,CH4Code,0.555,20,3526,91
Mailaender,teees,0.787,30,3526,80
Mailaender,clemty,0.713,45,3526,79
Mailaender,Rydra,0.641,22,3526,79
Mailaender,jaZzKCS,0.717,33,3526,76
Mailaender,Biofreak1987,0.799,31,3526,72
Mailaender,abc013,0.799,16,3526,71
Mailaender,huwpascoe,0.774,31,3526,70
Mailaender,yaaaaa,0.598,19,3526,67
Mailaender,ScottNZ,0.773,37,3526,62
Mailaender,dragunoff,0.641,3,3526,62
Mailaender,Nelax,0.587,29,3526,59
Mailaender,epicelite,0.671,39,3526,55
Mailaender,UberWaffe,0.667,24,3526,54
Mailaender,ShadowA,0.574,15,3526,51
Mailaender,tovl,0.6,1,3526,47
Mailaender,kyrreso,0.683,18,3526,46
Mailaender,FrameLimiter,0.823,4,3526,44
Mailaender,42foobar42,0.607,20,3526,42
Mailaender,KOYK,0.634,7,3526,40
Mailaender,kyrylo,0.543,17,3526,39
Mailaender,anjew175,0.711,20,3526,39
Mailaender,LavenderMoon,0.711,11,3526,39
Mailaender,pevers,0.535,17,3526,38
Mailaender,evgeniysergeev,0.879,12,3526,37
Mailaender,OmegaBolt,0.656,16,3526,33
Mailaender,dan9550,0.755,21,3526,33
Mailaender,AMHOL,0.572,11,3526,32
Mailaender,netnazgul,0.648,1,3526,32
Mailaender,whinis,0.8,17,3526,31
Mailaender,fgdzfggsfgsfgsf,0.519,10,3526,25
Mailaender,xp65,0.29,7,3526,25
Mailaender,airetaM,0.65,9,3526,25
Mailaender,ihptru,0.845,13,3526,24
Mailaender,Mortecha,0.436,2,3526,24
Mailaender,gdavegdave,0.709,0,3526,24
Mailaender,RadicalEdward2,0.503,3,3526,24
Mailaender,rapgro,0.666,12,3526,23
Mailaender,GrayHatter,0.618,11,3526,22
Mailaender,FRenzy-OpenRA,0.507,8,3526,22
Mailaender,ChaoticMind,0.506,11,3526,22
Mailaender,Townes27,0.723,13,3526,21
Mailaender,tohava,0.684,2,3526,21
Mailaender,ubitux,0.801,0,3526,21
Mailaender,Punsho,0.84,2,3526,21
Mailaender,dtluna,0.634,1,3526,20
Mailaender,Aaron-Lloyd,0.707,10,3526,19
Mailaender,Truth99A,0.577,10,3526,19
Mailaender,ABrandau,0.706,6,3526,19
Mailaender,Sapena,0.621,7,3526,19
Mailaender,sajwang,0.492,10,3526,19
