name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
020jeroen,Mailaender,0.0,0.0,0.0,0.0,0.0,0.937,2,4977,0,0,0,0,1,2
020jeroen,Phrohdoh,0.5,0.0,0.5,0.0,0.0,0.932,2,2214,1,0,1,0,1,3
10769241,obrakmann,0.0,0.0,0.0,0.0,0.0,0.929,1,4008,0,0,0,0,1,2
14thFortnight,FrameLimiter,0.0,0.0,0.0,0.0,1.0,0.977,6,119,0,0,0,0,1,5
14thFortnight,Smittytron,1.0,0.0,0.0,1.0,1.0,0.935,6,182,8,0,0,8,1,6
14thFortnight,SoScared,0.0,0.0,0.0,0.0,1.0,0.8740000000000001,6,471,0,0,0,0,1,6
14thFortnight,abcdefg30,1.0,0.0,0.0,1.0,1.0,0.828,6,3749,4,0,0,4,1,5
14thFortnight,pchote,0.33,0.0,0.0,0.33,1.0,0.9390000000000001,6,7212,4,0,0,4,1,7
14thFortnight,reaperrr,0.0,0.0,0.0,0.0,1.0,0.956,6,3279,0,0,0,0,1,5
3Lucian,FRenzy-OpenRA,0.0,0.33,0.0,0.0,1.0,0.727,21,36,0,1,0,0,1,4
3Lucian,GraionDilach,1.0,0.0,0.0,0.0,1.0,0.9690000000000001,21,3141,1,0,0,0,1,2
3Lucian,KOYK,0.0,0.0,0.0,0.0,1.0,0.85,21,93,0,0,0,0,1,2
3Lucian,Micr0Bit,0.0,0.0,0.0,0.0,1.0,0.897,21,953,0,0,0,0,1,2
3Lucian,MustaphaTR,0.0,0.165,0.0,0.0,1.0,0.951,21,944,0,1,0,0,2,6
3Lucian,SMIFFGIG,0.67,0.0,0.0,0.0,1.0,0.9329999999999999,21,65,2,0,0,0,1,4
3Lucian,Smittytron,1.0,0.0,0.0,0.0,1.0,0.935,21,182,2,0,0,0,1,3
3Lucian,SoScared,0.5,0.0,0.0,0.0,1.0,0.8740000000000001,21,471,1,0,0,0,1,3
3Lucian,abc013,0.0,0.0,0.0,0.0,1.0,0.9440000000000001,21,108,0,0,0,0,1,4
3Lucian,airetaM,1.0,0.0,0.0,1.0,1.0,0.8,21,62,1,0,0,1,1,2
3Lucian,ghost,1.0,0.0,0.0,0.5,1.0,0.905,21,670,2,0,0,1,2,4
3Lucian,huwpascoe,0.0,0.0,0.0,0.0,1.0,0.929,21,87,0,0,0,0,1,3
3Lucian,j2k15,0.25,0.0,0.0,0.25,1.0,0.727,21,10,1,0,0,1,1,5
3Lucian,jaZzKCS,0.0,0.0,0.0,0.0,1.0,0.961,21,205,0,0,0,0,1,2
3Lucian,klaas1,1.0,0.0,0.0,1.0,1.0,0.867,21,57,1,0,0,1,1,2
3Lucian,pchote,0.5,0.0,0.0,0.0,1.0,0.9390000000000001,21,7212,1,0,0,0,2,5
3Lucian,reaperrr,0.0,0.0,0.0,0.0,1.0,0.956,21,3279,0,0,0,0,1,2
3Lucian,whi7ed3vil,1.0,0.0,0.0,0.0,1.0,0.75,21,10,1,0,0,0,1,2
42foobar42,Mailaender,0.7788888888888889,0.005555555555555556,0.005555555555555556,0.0,0.8330000000000001,0.9370000000000002,32,4977,64,2,2,0,9,61
42foobar42,MustaphaTR,1.0,0.0,0.0,0.0,0.833,0.951,32,944,1,0,0,0,1,2
42foobar42,Phrohdoh,1.0,0.0,0.0,0.0,0.833,0.932,32,2214,1,0,0,0,1,2
42foobar42,Snurre86,1.0,0.0,0.0,0.0,0.833,0.938,32,200,3,0,0,0,1,4
42foobar42,abcdefg30,0.4466666666666666,0.02666666666666667,0.011666666666666667,0.006666666666666667,0.8330000000000001,0.828,32,3749,60,4,2,1,6,55
42foobar42,clemty,1.0,0.0,0.0,0.0,0.833,0.8859999999999999,32,131,2,0,0,0,1,3
42foobar42,obrakmann,0.63375,0.025,0.0225,0.0,0.8330000000000001,0.9290000000000002,32,4008,47,4,3,0,8,54
42foobar42,pchote,0.75,0.0,0.0,0.0,0.833,0.9390000000000001,32,7212,11,0,0,0,2,14
42foobar42,penev92,0.5933333333333334,0.09000000000000001,0.0,0.14,0.8329999999999999,0.9159999999999999,32,3242,16,5,0,8,3,23
A51UK,penev92,0.0,0.0,0.0,0.0,0.0,0.9159999999999999,1,3242,0,0,0,0,1,2
ABrandau,BansheePPM,0.0,1.0,0.0,0.0,1.0,0.0,64,8,0,1,0,0,1,2
ABrandau,DoGyAUT,1.0,0.0,0.0,1.0,1.0,0.917,64,44,1,0,0,1,1,2
ABrandau,GraionDilach,0.717,0.1,0.0,0.11699999999999999,1.0,0.9690000000000001,64,3141,12,1,0,3,10,27
ABrandau,LipkeGu,0.9299999999999999,0.0,0.0,0.0,1.0,0.9279999999999999,64,609,7,0,0,0,2,10
ABrandau,Mailaender,0.656,0.0,0.0,0.124,1.0,0.937,64,4977,13,0,0,5,5,25
ABrandau,MortovMolotov,1.0,0.0,0.0,0.0,1.0,0.0,64,13,1,0,0,0,1,2
ABrandau,MunWolf,1.0,0.0,0.0,0.0,1.0,0.93,64,360,1,0,0,0,1,2
ABrandau,MustaphaTR,1.0,0.0,0.0,0.0,1.0,0.951,64,944,4,0,0,0,2,6
ABrandau,Phrohdoh,1.0,0.0,0.0,0.0,1.0,0.932,64,2214,1,0,0,0,1,2
ABrandau,Smittytron,0.0,0.0,0.0,0.0,1.0,0.935,64,182,0,0,0,0,1,2
ABrandau,SoScared,0.65,0.0,0.0,0.0,1.0,0.8740000000000001,64,471,11,0,0,0,1,18
