name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
LipkeGu,Unit158,2015-02-02,0,1,0,0,0.0,0.25,0.0,0.0,5,1,1.0,0.0
Phrohdoh,Unit158,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,0.0
pchote,Unit158,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0
Mailaender,Unit158,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
LipkeGu,Phrohdoh,2015-02-02,9,0,0,0,0.75,0.0,0.0,0.0,7,1,1.0,1.0
pchote,Phrohdoh,2015-02-02,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
Mailaender,Phrohdoh,2015-02-02,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
LipkeGu,pchote,2015-02-02,6,0,0,0,0.75,0.0,0.0,0.0,6,1,1.0,1.0
Mailaender,pchote,2015-02-02,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
LipkeGu,Mailaender,2015-02-02,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
Mailaender,Unit158,2015-08-17,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
chrisforbes,cjshmyr,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
cjshmyr,dan9550,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
chrisforbes,dan9550,2015-02-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
cjshmyr,penev92,2015-02-02,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
chrisforbes,penev92,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
dan9550,penev92,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
cjshmyr,Phrohdoh,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
chrisforbes,Phrohdoh,2015-02-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
dan9550,Phrohdoh,2015-02-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
penev92,Phrohdoh,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Mailaender,Phrohdoh,2015-02-02,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Phrohdoh,Rydra,2015-02-02,6,0,0,0,0.75,0.0,0.0,0.0,6,1,1.0,1.0
Mailaender,Rydra,2015-02-02,6,0,0,0,0.75,0.0,0.0,0.0,6,1,1.0,1.0
RoosterDragon,Rydra,2015-02-02,2,0,2,0,0.25,0.0,0.25,0.0,6,1,1.0,1.0
Phrohdoh,RoosterDragon,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,RoosterDragon,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
pchote,Rydra,2015-02-09,5,4,0,0,0.28,0.22,0.0,0.0,11,1,0.5,1.0
LipkeGu,Rydra,2015-02-09,5,0,0,0,0.56,0.0,0.0,0.0,10,1,1.0,1.0
Micr0Bit,Rydra,2015-02-09,10,0,0,0,0.56,0.0,0.0,0.0,11,1,1.0,1.0
penev92,Rydra,2015-02-09,4,0,4,0,0.44,0.0,0.44,0.0,10,1,1.0,1.0
deniz1a,Rydra,2015-02-09,5,0,0,0,0.56,0.0,0.0,0.0,10,1,1.0,1.0
LipkeGu,pchote,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
Micr0Bit,pchote,2015-02-09,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,0.5
deniz1a,pchote,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
deniz1a,LipkeGu,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
LipkeGu,Micr0Bit,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
deniz1a,Micr0Bit,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
pchote,penev92,2015-02-09,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.5,1.0
LipkeGu,penev92,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Micr0Bit,penev92,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
deniz1a,penev92,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
LipkeGu,Rydra,2015-02-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
LipkeGu,Mailaender,2015-02-02,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
LipkeGu,pchote,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Nelax,penev92,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
abcdefg30,penev92,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
obrakmann,penev92,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
abcdefg30,Nelax,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
Nelax,obrakmann,2015-02-09,1,0,0,1,0.5,0.0,0.0,0.5,3,1,0.5,0.0
abcdefg30,obrakmann,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Mailaender,Nelax,2015-02-16,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
abcdefg30,Nelax,2015-03-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
deniz1a,penev92,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Mailaender,obrakmann,2015-02-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
obrakmann,ScottNZ,2015-02-02,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.5,1.0
obrakmann,penev92,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,penev92,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,obrakmann,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
abcdefg30,obrakmann,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,obrakmann,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
abcdefg30,Mailaender,2015-02-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
42foobar42,abcdefg30,2015-02-09,8,1,0,0,0.53,0.07,0.0,0.0,8,1,1.0,0.6699999999999999
42foobar42,obrakmann,2015-02-09,5,0,1,0,0.5,0.0,0.1,0.0,7,1,1.0,1.0
abcdefg30,obrakmann,2015-02-09,2,1,0,0,0.33,0.17,0.0,0.0,5,1,0.6699999999999999,1.0
MunWolf,xan2622,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,ScottNZ,2015-02-09,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
obrakmann,ScottNZ,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
penev92,ScottNZ,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,obrakmann,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,penev92,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
obrakmann,penev92,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
JohnnyXP64,Mailaender,2015-02-02,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,pchote,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,0.0
JohnnyXP64,pchote,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Mailaender,Unit158,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,0.0
pchote,Unit158,2015-02-02,1,0,0,1,1.0,0.0,0.0,1.0,2,1,0.0,0.0
JohnnyXP64,Unit158,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Phrohdoh,Unit158,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Mailaender,Phrohdoh,2015-02-02,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
pchote,Phrohdoh,2015-02-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
JohnnyXP64,Phrohdoh,2015-02-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
JohnnyXP64,pchote,2015-02-09,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
Mailaender,pchote,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
JohnnyXP64,Mailaender,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
JohnnyXP64,LipkeGu,2015-02-16,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
abcdefg30,LipkeGu,2015-02-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
abcdefg30,JohnnyXP64,2015-02-16,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
huwpascoe,Mailaender,2015-02-02,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,pchote,2015-02-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
huwpascoe,pchote,2015-02-02,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
chrisforbes,LipkeGu,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
huwpascoe,LipkeGu,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
LipkeGu,pchote,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
chrisforbes,pchote,2015-02-09,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
huwpascoe,pchote,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
chrisforbes,huwpascoe,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
penev92,pevers,2015-02-23,0,2,0,0,0.0,0.25,0.0,0.0,6,1,1.0,0.75
jabbink,pevers,2015-02-23,1,0,0,1,0.25,0.0,0.0,0.25,5,1,0.0,0.75
obrakmann,pevers,2015-02-23,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,0.75
chrisforbes,pevers,2015-02-23,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,0.75
jabbink,penev92,2015-02-23,0,2,0,0,0.0,1.0,0.0,0.0,3,1,0.0,1.0
obrakmann,penev92,2015-02-23,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
chrisforbes,penev92,2015-02-23,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
chrisforbes,jabbink,2015-02-23,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
jabbink,obrakmann,2015-02-23,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
chrisforbes,obrakmann,2015-02-23,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
karona75,xan2622,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Unit158,xan2622,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
karona75,Unit158,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
jwbuurlage,Phrohdoh,2015-02-02,1,1,0,1,0.17,0.17,0.0,0.17,5,1,0.5,0.6699999999999999
Mailaender,obrakmann,2015-02-09,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
atimoschenkow,Phrohdoh,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
