name,density,length
42foobar42_Mailaender,1.1428571428571428,8.0
42foobar42_abcdefg30,0.4666666666666667,7.0
42foobar42_obrakmann,0.375,6.0
ABrandau_GraionDilach,0.05063291139240506,8.0
ABrandau_pchote,0.07692307692307693,12.0
AMHOL_pchote,0.052980132450331126,8.0
AoAGeneral_GraionDilach,0.18181818181818182,16.0
AoAGeneral_Mailaender,0.05813953488372093,5.0
AoAGeneral_Micr0Bit,0.07142857142857142,6.0
AoAGeneral_MustaphaTR,0.09615384615384616,5.0
AoAGeneral_SoScared,0.3,9.0
AoAGeneral_obrakmann,0.11764705882352941,6.0
AoAGeneral_pchote,0.34210526315789475,26.0
AoAGeneral_reaperrr,0.125,11.0
Biofreak1987_GraionDilach,0.12727272727272726,7.0
Biofreak1987_Mailaender,0.1875,9.0
Biofreak1987_obrakmann,0.171875,11.0
Biofreak1987_pchote,0.12903225806451613,8.0
CH4Code_GraionDilach,0.1,7.0
CH4Code_MustaphaTR,0.11594202898550725,8.0
CH4Code_ltem,0.2916666666666667,7.0
CH4Code_pchote,0.2727272727272727,12.0
CH4Code_reaperrr,0.2222222222222222,8.0
DoGyAUT_pchote,0.05434782608695652,5.0
FrameLimiter_GraionDilach,0.21739130434782608,5.0
FrameLimiter_SoScared,0.25925925925925924,7.0
FrameLimiter_pchote,0.09917355371900827,12.0
GraionDilach_HenrytheSlav,0.1232876712328767,9.0
GraionDilach_LipkeGu,0.08888888888888889,12.0
GraionDilach_Mailaender,0.5409836065573771,66.0
GraionDilach_Micr0Bit,0.22413793103448276,39.0
GraionDilach_MunWolf,0.08484848484848485,14.0
GraionDilach_MustaphaTR,0.21808510638297873,41.0
GraionDilach_Phrohdoh,0.4897959183673469,48.0
GraionDilach_RoosterDragon,0.2727272727272727,27.0
GraionDilach_ScottNZ,0.07865168539325842,7.0
GraionDilach_Smittytron,0.052083333333333336,5.0
GraionDilach_Snurre86,0.07526881720430108,7.0
GraionDilach_SoScared,0.14942528735632185,13.0
GraionDilach_TheRaffy,0.0963855421686747,8.0
GraionDilach_Unit158,0.15853658536585366,13.0
GraionDilach_jaZzKCS,0.136986301369863,10.0
GraionDilach_ltem,0.6666666666666666,6.0
GraionDilach_matija-hustic,0.5714285714285714,12.0
GraionDilach_matjaeck,0.19444444444444445,7.0
GraionDilach_obrakmann,0.5384615384615384,56.0
GraionDilach_pchote,0.6269430051813472,121.0
GraionDilach_penev92,0.34375,44.0
GraionDilach_pi99y,0.11842105263157894,9.0
GraionDilach_reaperrr,0.5106382978723404,96.0
GraionDilach_rob-v,0.8,8.0
GraionDilach_sajwang,0.09259259259259259,5.0
GraionDilach_teees,0.21739130434782608,5.0
GraionDilach_xan2622,0.12987012987012986,10.0
GraionDilach_yaaaaa,0.07518796992481203,10.0
HenrytheSlav_Mailaender,0.1836734693877551,9.0
HenrytheSlav_obrakmann,0.14583333333333334,7.0
HenrytheSlav_pchote,0.15555555555555556,14.0
HenrytheSlav_penev92,0.3333333333333333,6.0
HenrytheSlav_reaperrr,0.12162162162162163,9.0
IceReaper_pchote,0.05952380952380952,5.0
KOYK_pchote,0.06796116504854369,7.0
LavenderMoon_pchote,0.1935483870967742,6.0
LavenderMoon_penev92,1.0,5.0
LipkeGu_Mailaender,0.26436781609195403,23.0
LipkeGu_MustaphaTR,0.060240963855421686,5.0
LipkeGu_Phrohdoh,0.18604651162790697,16.0
LipkeGu_RoosterDragon,0.13114754098360656,8.0
LipkeGu_Unit158,0.25806451612903225,8.0
LipkeGu_obrakmann,0.08333333333333333,7.0
LipkeGu_pchote,0.2288135593220339,27.0
LipkeGu_penev92,0.3953488372093023,17.0
LipkeGu_reaperrr,0.08163265306122448,12.0
Mailaender_Micr0Bit,0.42857142857142855,45.0
Mailaender_MunWolf,0.1282051282051282,10.0
Mailaender_MustaphaTR,0.15508021390374332,29.0
Mailaender_Nelax,0.08163265306122448,8.0
Mailaender_OmegaBolt,0.14285714285714285,6.0
Mailaender_Phrohdoh,0.6666666666666666,66.0
Mailaender_Robmaister,0.625,5.0
Mailaender_RockyTV,0.09259259259259259,5.0
Mailaender_RoosterDragon,0.5188679245283019,55.0
Mailaender_Rydra,0.5,5.0
Mailaender_ScottNZ,0.2222222222222222,10.0
Mailaender_SoScared,0.053763440860215055,10.0
Mailaender_TheRaffy,0.1,6.0
Mailaender_UberWaffe,0.2777777777777778,5.0
Mailaender_Unit158,0.54,27.0
Mailaender_matija-hustic,0.2777777777777778,5.0
