"name1","name2","year_week","issue_num","p1","p2"
"LipkeGu","Unit158","20156","7427","2122","00"
"Phrohdoh","Unit158","20156","7427","222","00"
"pchote","Unit158","20156","7427","22","00"
"Mailaender","Unit158","20156","7427","2","00"
"LipkeGu","Phrohdoh","20156","7427","2122","222"
"pchote","Phrohdoh","20156","7427","22","222"
"Mailaender","Phrohdoh","20156","7427","2","222"
"LipkeGu","pchote","20156","7427","2122","22"
"Mailaender","pchote","20156","7427","2","22"
"LipkeGu","Mailaender","20156","7427","2122","2"
"Mailaender","Unit158","201534","7427","2","2"
"chrisforbes","cjshmyr","20156","7429","2","1"
"cjshmyr","dan9550","20156","7429","1","2"
"chrisforbes","dan9550","20156","7429","2","2"
"cjshmyr","penev92","20156","7429","1","0"
"chrisforbes","penev92","20156","7429","2","0"
"dan9550","penev92","20156","7429","2","0"
"cjshmyr","Phrohdoh","20156","7429","1","2"
"chrisforbes","Phrohdoh","20156","7429","2","2"
"dan9550","Phrohdoh","20156","7429","2","2"
"penev92","Phrohdoh","20156","7429","0","2"
"Mailaender","Phrohdoh","20156","7430","22","22"
"Phrohdoh","Rydra","20156","7430","22","1222"
"Mailaender","Rydra","20156","7430","22","1222"
"RoosterDragon","Rydra","20156","7430","11","1222"
"Phrohdoh","RoosterDragon","20156","7430","22","11"
"Mailaender","RoosterDragon","20156","7430","22","11"
"pchote","Rydra","20157","7430","20","0221211122"
"LipkeGu","Rydra","20157","7430","2","0221211122"
"Micr0Bit","Rydra","20157","7430","022","0221211122"
"penev92","Rydra","20157","7430","1","0221211122"
"deniz1a","Rydra","20157","7430","2","0221211122"
"LipkeGu","pchote","20157","7430","2","20"
"Micr0Bit","pchote","20157","7430","022","20"
"deniz1a","pchote","20157","7430","2","20"
"deniz1a","LipkeGu","20157","7430","2","2"
"LipkeGu","Micr0Bit","20157","7430","2","022"
"deniz1a","Micr0Bit","20157","7430","2","022"
"pchote","penev92","20157","7430","20","1"
"LipkeGu","penev92","20157","7430","2","1"
"Micr0Bit","penev92","20157","7430","022","1"
"deniz1a","penev92","20157","7430","2","1"
"LipkeGu","Rydra","20158","7430","2","2"
"LipkeGu","Mailaender","20156","7432","22","2"
"LipkeGu","pchote","20157","7432","2","2"
"Nelax","penev92","20157","7433","20","2"
"abcdefg30","penev92","20157","7433","2","2"
"obrakmann","penev92","20157","7433","0","2"
"abcdefg30","Nelax","20157","7433","2","20"
"Nelax","obrakmann","20157","7433","20","0"
"abcdefg30","obrakmann","20157","7433","2","0"
"Mailaender","Nelax","20158","7433","22","222"
"abcdefg30","Nelax","201510","7433","2","0"
"deniz1a","penev92","20156","7434","00","2"
"Mailaender","obrakmann","20156","7435","2","2"
"obrakmann","ScottNZ","20156","7436","20","22"
"obrakmann","penev92","20157","7436","2","2"
"Mailaender","penev92","20157","7436","1","2"
"Mailaender","obrakmann","20157","7436","1","2"
"abcdefg30","obrakmann","20156","7437","2","1"
"Mailaender","obrakmann","20156","7437","2","1"
"abcdefg30","Mailaender","20156","7437","2","2"
"42foobar42","abcdefg30","20157","7437","22221","220"
"42foobar42","obrakmann","20157","7437","22221","21"
"abcdefg30","obrakmann","20157","7437","220","21"
"MunWolf","xan2622","20157","7438","2","2"
"Mailaender","ScottNZ","20157","7439","22","22"
"obrakmann","ScottNZ","20157","7439","2","22"
"penev92","ScottNZ","20157","7439","2","22"
"Mailaender","obrakmann","20157","7439","22","2"
"Mailaender","penev92","20157","7439","22","2"
"obrakmann","penev92","20157","7439","2","2"
"JohnnyXP64","Mailaender","20156","7440","0002","222"
"Mailaender","pchote","20156","7440","222","0"
"JohnnyXP64","pchote","20156","7440","0002","0"
"Mailaender","Unit158","20156","7440","222","0"
"pchote","Unit158","20156","7440","0","0"
"JohnnyXP64","Unit158","20156","7440","0002","0"
"Phrohdoh","Unit158","20156","7440","2","0"
"Mailaender","Phrohdoh","20156","7440","222","2"
