cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,5,2015-02-09,0,1,0,1,1.0,1.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
3,0,2015-04-13,0,1,0,0,1.0,1.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
6,4,2015-05-04,0,1,0,0,1.0,1.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
5,3,2015-05-18,0,1,0,0,1.0,1.0
9,8,2015-05-25,0,2,0,0,1.0,1.0
4,2,2015-06-01,0,2,0,0,1.0,1.0
