cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2015-05-11,0,1,0,0,0.0,1.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
7,4,2015-05-25,0,3,0,0,1.0,1.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
15,20,2015-06-08,0,3,0,0,1.0,1.0
14,11,2015-06-15,0,3,0,0,1.0,1.0
42,45,2015-06-22,1,11,0,0,1.0,0.9545454545454546
26,13,2015-06-29,0,8,0,0,0.875,1.0
18,11,2015-07-06,0,7,0,0,1.0,1.0
9,2,2015-07-13,0,3,0,0,0.6666666666666666,1.0
9,3,2015-07-20,0,4,0,0,0.625,1.0
19,12,2015-07-27,0,6,0,0,0.8333333333333334,1.0
32,17,2015-08-03,0,12,0,0,1.0,0.8333333333333334
19,13,2015-08-10,0,4,1,0,0.875,0.8825
32,25,2015-08-17,0,8,0,0,0.84375,1.0
43,23,2015-08-24,1,11,2,0,0.6818181818181818,0.879090909090909
20,11,2015-08-31,0,6,0,0,1.0,0.8333333333333334
0,0,2015-09-07,0,0,0,0,0.0,0.0
13,3,2015-09-14,0,5,1,0,0.8,0.95
3,2,2015-09-21,0,1,0,0,1.0,1.0
4,1,2015-09-28,0,2,0,0,0.5,1.0
4,2,2015-10-05,0,2,0,0,1.0,1.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
0,0,2015-10-19,0,0,0,0,0.0,0.0
4,2,2015-10-26,0,2,0,0,1.0,1.0
11,8,2015-11-02,0,3,0,0,1.0,1.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
3,2,2015-11-16,0,1,0,0,1.0,1.0
4,2,2015-11-23,0,2,0,0,1.0,1.0
2,1,2015-11-30,0,1,0,0,1.0,1.0
3,2,2015-12-07,0,1,0,0,1.0,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
3,0,2015-12-21,1,1,0,0,0.0,1.0
6,4,2015-12-28,0,2,0,0,1.0,1.0
0,0,2016-01-04,0,0,0,0,0.0,0.0
3,2,2016-01-11,0,1,0,0,1.0,1.0
12,6,2016-01-18,0,4,0,0,1.0,1.0
19,16,2016-01-25,0,5,0,0,1.0,1.0
8,4,2016-02-01,0,3,0,0,1.0,1.0
14,10,2016-02-08,0,4,0,0,1.0,1.0
11,3,2016-02-15,0,4,0,0,0.75,1.0
9,4,2016-02-22,0,2,0,0,1.0,0.5
3,2,2016-02-29,0,1,0,0,1.0,1.0
3,2,2016-03-07,0,1,0,0,1.0,1.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
9,1,2016-03-21,0,3,0,0,0.6666666666666666,1.0
15,8,2016-03-28,0,6,0,0,0.9166666666666666,1.0
11,5,2016-04-04,0,4,0,0,0.875,1.0
13,6,2016-04-11,0,5,0,1,1.0,1.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
5,4,2016-04-25,0,1,0,0,1.0,1.0
31,16,2016-05-02,0,12,0,0,0.9583333333333334,0.8891666666666667
24,26,2016-05-09,1,5,0,0,0.9,0.972
9,6,2016-05-16,0,3,0,0,0.6666666666666666,1.0
11,8,2016-05-23,0,3,0,0,0.5,1.0
23,22,2016-05-30,0,6,0,0,1.0,1.0
6,3,2016-06-06,0,3,0,0,1.0,1.0
5,2,2016-06-13,0,2,0,0,1.0,0.5
0,0,2016-06-20,0,0,0,0,0.0,0.0
28,18,2016-06-27,0,10,0,0,0.98,1.0
15,9,2016-07-04,0,4,0,0,0.7925,1.0
21,16,2016-07-11,0,7,0,0,1.0,1.0
27,17,2016-07-18,1,7,0,0,1.0,0.9642857142857144
0,0,2016-07-25,0,0,0,0,0.0,0.0
9,7,2016-08-01,0,3,0,0,1.0,1.0
5,3,2016-08-08,0,2,0,0,1.0,1.0
5,3,2016-08-15,0,2,0,0,1.0,1.0
10,3,2016-08-22,0,5,0,0,0.8,0.8
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
3,2,2016-09-19,0,1,0,0,1.0,1.0
6,8,2016-09-26,0,1,0,0,1.0,1.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
2,0,2016-12-05,0,1,0,0,0.0,1.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
7,3,2016-12-26,0,3,1,0,0.6666666666666666,0.6666666666666666
12,9,2017-01-02,0,2,4,0,0.75,0.7150000000000001
9,7,2017-01-09,0,2,1,0,0.875,0.335
0,0,2017-01-16,0,0,0,0,0.0,0.0
2,1,2017-01-23,0,1,0,0,1.0,1.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
2,1,2017-02-20,0,1,0,0,1.0,1.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
0,0,2017-03-20,0,0,0,0,0.0,0.0
0,0,2017-03-27,0,0,0,0,0.0,0.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
2,1,2017-08-21,0,1,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
