cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2015-05-25,0,1,0,0,1.0,1.0
2,1,2015-06-01,0,1,0,0,1.0,1.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
3,2,2015-06-15,0,1,0,0,1.0,1.0
11,1,2015-06-22,0,3,1,0,0.89,0.6666666666666666
11,5,2015-06-29,0,4,0,0,1.0,1.0
10,12,2015-07-06,0,2,0,0,1.0,1.0
18,8,2015-07-13,0,6,0,0,0.6666666666666666,1.0
4,2,2015-07-20,0,1,0,0,1.0,0.5
14,5,2015-07-27,0,5,0,0,0.7,0.934
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
0,0,2015-08-31,0,0,0,0,0.0,0.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
5,1,2015-09-28,0,2,0,0,0.5,1.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
4,2,2015-10-12,0,2,1,0,0.5,0.5
5,1,2015-10-19,0,2,0,0,1.0,0.5
6,4,2015-10-26,0,2,0,0,1.0,1.0
17,10,2015-11-02,0,5,0,0,1.0,1.0
13,8,2015-11-09,0,5,0,0,1.0,1.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
7,4,2015-11-23,0,2,0,0,0.5,1.0
4,1,2015-11-30,1,2,0,0,1.0,0.5
0,0,2015-12-07,0,0,0,0,0.0,0.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
2,0,2015-12-21,0,1,0,0,0.0,1.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
0,0,2016-01-04,0,0,0,0,0.0,0.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
13,5,2016-01-18,0,3,0,0,1.0,0.9166666666666666
10,8,2016-01-25,0,3,0,0,1.0,1.0
9,7,2016-02-01,0,3,0,0,1.0,1.0
2,0,2016-02-08,0,1,0,0,1.0,1.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
5,4,2016-02-22,0,1,0,0,1.0,1.0
10,6,2016-02-29,0,4,0,0,1.0,1.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
8,7,2016-03-14,0,2,0,0,0.75,1.0
14,4,2016-03-21,0,4,0,0,0.75,0.75
4,2,2016-03-28,0,2,0,0,1.0,1.0
8,3,2016-04-04,0,3,1,0,0.6666666666666666,0.6666666666666666
12,7,2016-04-11,0,5,0,0,1.0,1.0
10,10,2016-04-18,0,2,0,1,1.0,1.0
5,3,2016-04-25,0,2,0,0,1.0,1.0
11,3,2016-05-02,0,5,0,0,1.0,0.6
9,1,2016-05-09,1,3,0,0,1.0,0.6666666666666666
6,4,2016-05-16,0,2,0,0,1.0,0.5
9,5,2016-05-23,0,3,0,0,0.8333333333333334,1.0
6,2,2016-05-30,0,3,0,0,0.6666666666666666,1.0
5,2,2016-06-06,1,2,0,0,1.0,0.5
2,0,2016-06-13,0,1,0,0,1.0,0.0
