cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,0,2015-05-18,0,2,0,0,1.0,0.5
4,2,2015-05-25,0,2,0,0,1.0,1.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
7,2,2015-06-15,1,2,0,0,0.75,1.0
28,21,2015-06-22,0,8,0,0,0.96875,1.0
11,3,2015-06-29,0,3,0,0,1.0,1.0
12,6,2015-07-06,0,5,0,0,1.0,1.0
17,3,2015-07-13,0,6,0,0,0.5,0.9166666666666666
22,13,2015-07-20,1,6,2,0,0.6666666666666666,0.8099999999999999
24,17,2015-07-27,0,8,0,0,0.875,1.0
27,17,2015-08-03,0,8,0,0,0.875,0.83375
26,13,2015-08-10,0,10,1,0,0.85,0.7
17,10,2015-08-17,0,7,0,0,0.7142857142857143,1.0
17,13,2015-08-24,0,5,0,0,0.934,1.0
5,2,2015-08-31,0,2,0,0,0.5,1.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
12,5,2015-09-14,0,4,0,0,0.5,1.0
12,8,2015-09-21,0,4,0,0,1.0,1.0
6,3,2015-09-28,0,2,0,0,1.0,0.835
4,2,2015-10-05,0,2,0,0,1.0,1.0
14,6,2015-10-12,0,4,1,0,0.75,0.8175
8,4,2015-10-19,0,3,0,0,0.8333333333333334,1.0
12,5,2015-10-26,0,5,0,0,0.9,0.8
34,34,2015-11-02,0,9,0,0,1.0,0.9266666666666666
33,16,2015-11-09,2,10,0,0,0.833,0.917
19,11,2015-11-16,1,6,0,0,1.0,0.8333333333333334
9,5,2015-11-23,0,4,0,0,1.0,1.0
14,5,2015-11-30,0,4,0,0,1.0,0.9275
8,8,2015-12-07,0,2,0,0,1.0,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
2,1,2015-12-21,0,1,0,0,1.0,1.0
7,4,2015-12-28,0,3,0,0,1.0,1.0
13,11,2016-01-04,0,4,0,0,1.0,1.0
7,7,2016-01-11,0,2,0,0,1.0,1.0
31,24,2016-01-18,0,9,0,0,1.0,0.9722222222222222
28,20,2016-01-25,0,7,0,0,1.0,1.0
11,7,2016-02-01,0,4,0,0,1.0,1.0
12,6,2016-02-08,0,4,0,0,1.0,1.0
11,4,2016-02-15,0,4,0,0,0.5,1.0
13,14,2016-02-22,0,2,0,0,1.0,0.54
17,11,2016-02-29,0,6,0,0,1.0,1.0
6,5,2016-03-07,0,2,0,0,1.0,1.0
7,3,2016-03-14,0,2,0,0,0.75,1.0
28,22,2016-03-21,0,7,0,0,0.8571428571428571,1.0
15,9,2016-03-28,0,4,0,0,0.875,0.9575
13,6,2016-04-04,0,5,0,0,1.0,0.8
21,15,2016-04-11,0,7,0,0,1.0,1.0
5,2,2016-04-18,0,2,0,0,1.0,0.75
0,0,2016-04-25,0,0,0,0,0.0,0.0
13,11,2016-05-02,0,4,0,0,0.875,1.0
41,65,2016-05-09,5,5,4,2,0.95,0.9059999999999999
8,5,2016-05-16,0,3,0,0,1.0,1.0
27,15,2016-05-23,0,8,0,0,0.8125,0.89625
18,14,2016-05-30,0,5,0,0,0.9,1.0
7,3,2016-06-06,0,2,0,0,1.0,1.0
8,10,2016-06-13,0,1,0,0,1.0,0.6699999999999999
0,0,2016-06-20,0,0,0,0,0.0,0.0
42,43,2016-06-27,0,10,0,0,0.98,0.8550000000000001
24,21,2016-07-04,0,6,1,0,0.9116666666666666,0.945
12,5,2016-07-11,0,5,0,0,0.8,1.0
7,2,2016-07-18,0,3,0,0,1.0,0.3333333333333333
4,1,2016-07-25,0,2,0,0,0.5,1.0
33,27,2016-08-01,0,8,1,0,0.90625,0.83375
13,8,2016-08-08,0,5,0,0,1.0,1.0
41,32,2016-08-15,0,12,0,0,1.0,0.9166666666666666
12,5,2016-08-22,0,6,0,0,1.0,0.8333333333333334
17,19,2016-08-29,0,3,1,0,0.9433333333333334,0.89
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
12,7,2016-09-19,0,4,0,0,1.0,1.0
22,30,2016-09-26,0,3,1,0,0.9166666666666666,0.8966666666666666
8,4,2016-10-03,0,3,0,0,1.0,0.6666666666666666
15,19,2016-10-10,0,3,0,0,1.0,0.9166666666666666
0,0,2016-10-17,0,0,0,0,0.0,0.0
4,2,2016-10-24,0,2,0,0,1.0,1.0
8,5,2016-10-31,0,1,0,0,0.6699999999999999,1.0
24,17,2016-11-07,1,4,0,0,0.875,0.75
5,2,2016-11-14,0,1,2,0,0.5,0.0
16,11,2016-11-21,0,5,0,0,0.934,1.0
13,6,2016-11-28,0,5,0,0,0.9,1.0
25,28,2016-12-05,0,5,0,0,1.0,0.934
11,3,2016-12-12,1,4,0,0,1.0,0.625
9,5,2016-12-19,0,4,2,0,0.5,0.5
19,9,2016-12-26,0,6,0,0,0.8333333333333334,0.8333333333333334
15,11,2017-01-02,1,2,6,0,0.75,0.7
15,18,2017-01-09,0,3,0,0,0.9166666666666666,1.0
7,2,2017-01-16,1,3,0,0,0.6666666666666666,1.0
24,11,2017-01-23,0,9,2,0,0.7777777777777778,0.9444444444444444
35,29,2017-01-30,0,11,0,0,0.8181818181818182,1.0
19,26,2017-02-06,3,3,2,0,0.2233333333333333,0.96
24,18,2017-02-13,0,8,0,0,0.97875,0.875
12,3,2017-02-20,0,6,0,0,1.0,0.8333333333333334
15,6,2017-02-27,0,6,0,0,0.6666666666666666,1.0
4,2,2017-03-06,0,2,0,0,1.0,1.0
2,1,2017-03-13,0,1,0,0,1.0,1.0
7,2,2017-03-20,1,3,0,0,0.6666666666666666,0.8333333333333334
13,8,2017-03-27,0,5,0,0,1.0,1.0
10,5,2017-04-03,0,4,0,0,1.0,0.75
16,6,2017-04-10,0,5,1,0,0.95,0.8
12,4,2017-04-17,0,5,0,0,0.8,0.8
17,6,2017-04-24,0,7,0,0,0.5714285714285714,1.0
19,6,2017-05-01,1,6,1,0,0.9166666666666666,0.7999999999999999
4,2,2017-05-08,0,2,0,0,1.0,1.0
15,11,2017-05-15,0,4,0,0,1.0,0.875
8,6,2017-05-22,0,3,0,0,1.0,1.0
8,5,2017-05-29,0,3,0,0,1.0,1.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
3,2,2017-09-11,0,1,0,0,1.0,1.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
0,0,2017-09-25,0,0,0,0,0.0,0.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
5,3,2017-10-09,0,2,0,0,1.0,1.0
2,1,2017-10-16,0,1,0,0,1.0,1.0
3,0,2017-10-23,0,1,0,0,0.0,1.0
0,0,2017-10-30,0,0,0,0,0.0,0.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
2,1,2017-11-13,0,1,0,0,1.0,1.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
0,0,2017-12-11,0,0,0,0,0.0,0.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
2,1,2018-01-01,0,1,0,0,1.0,1.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
