cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,9,2015-02-02,0,1,0,0,1.0,1.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
2,1,2015-02-16,0,1,0,0,1.0,1.0
6,4,2015-02-23,0,2,0,0,1.0,1.0
2,1,2015-03-02,0,1,0,0,1.0,1.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
7,6,2015-03-30,0,1,0,0,1.0,1.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
15,9,2015-05-11,0,5,0,0,1.0,0.934
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
6,2,2015-06-01,0,3,0,0,1.0,1.0
5,3,2015-06-08,0,2,0,0,1.0,1.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
0,0,2015-07-20,0,0,0,0,0.0,0.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
3,0,2015-08-10,0,1,0,0,1.0,0.0
7,6,2015-08-17,0,2,0,0,1.0,1.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
4,2,2015-08-31,0,2,0,0,1.0,1.0
6,6,2015-09-07,0,1,0,0,0.75,1.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
0,0,2015-10-19,0,0,0,0,0.0,0.0
0,0,2015-10-26,0,0,0,0,0.0,0.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
0,0,2015-12-07,0,0,0,0,0.0,0.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
0,0,2016-01-04,0,0,0,0,0.0,0.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
0,0,2016-01-18,0,0,0,0,0.0,0.0
0,0,2016-01-25,0,0,0,0,0.0,0.0
0,0,2016-02-01,0,0,0,0,0.0,0.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
2,0,2016-02-22,0,1,0,0,1.0,1.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
2,0,2016-04-04,0,1,0,0,1.0,1.0
4,2,2016-04-11,0,1,0,0,0.6699999999999999,1.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
0,0,2016-04-25,0,0,0,0,0.0,0.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
4,2,2016-09-26,0,2,0,0,1.0,1.0
