cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2015-02-09,0,1,0,0,1.0,1.0
8,3,2015-02-16,0,4,0,0,1.0,1.0
6,3,2015-02-23,0,3,0,0,1.0,1.0
2,1,2015-03-02,0,1,0,0,1.0,1.0
4,3,2015-03-09,0,1,0,0,1.0,1.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
2,1,2015-05-04,0,1,0,0,1.0,1.0
9,6,2015-05-11,0,3,0,0,1.0,1.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
2,0,2015-05-25,0,1,0,0,1.0,0.0
26,21,2015-06-01,1,7,0,0,0.9528571428571428,1.0
2,1,2015-06-08,0,1,0,0,1.0,1.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
0,0,2015-07-20,0,0,0,0,0.0,0.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
5,4,2015-08-10,0,1,0,0,1.0,1.0
40,35,2015-08-17,1,9,0,0,0.8888888888888888,0.8522222222222222
11,1,2015-08-24,1,3,0,0,1.0,0.6666666666666666
19,9,2015-08-31,0,7,0,0,1.0,0.7142857142857143
10,6,2015-09-07,0,3,0,0,0.9166666666666666,1.0
3,2,2015-09-14,0,1,0,0,1.0,1.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
0,0,2015-10-19,0,0,0,0,0.0,0.0
0,0,2015-10-26,0,0,0,0,0.0,0.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
3,2,2015-12-07,0,1,0,0,1.0,1.0
