cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,0,2015-02-02,0,2,0,0,1.0,0.0
3,0,2015-02-09,0,1,0,0,1.0,0.0
6,3,2015-02-16,0,2,0,0,1.0,1.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
3,2,2015-03-02,0,1,0,0,1.0,1.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
3,0,2015-03-23,1,1,0,0,1.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
3,2,2015-04-13,0,1,0,0,1.0,1.0
8,5,2015-04-20,0,2,0,0,1.0,1.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
9,3,2015-05-04,0,2,2,0,0.835,0.5
2,1,2015-05-11,0,1,0,0,1.0,1.0
10,6,2015-05-18,0,3,0,0,1.0,0.9166666666666666
4,4,2015-05-25,0,1,0,0,1.0,1.0
23,12,2015-06-01,0,7,0,1,1.0,0.9285714285714286
0,0,2015-06-08,0,0,0,0,0.0,0.0
8,5,2015-06-15,0,3,0,0,1.0,1.0
5,3,2015-06-22,0,2,0,0,1.0,1.0
8,5,2015-06-29,0,2,0,0,0.5,1.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
9,11,2015-07-13,0,2,0,0,1.0,1.0
2,0,2015-07-20,0,1,0,0,1.0,0.0
11,7,2015-07-27,0,4,0,0,1.0,1.0
21,11,2015-08-03,0,9,0,0,1.0,1.0
17,15,2015-08-10,0,4,0,0,0.965,1.0
13,7,2015-08-17,0,6,0,0,1.0,1.0
10,5,2015-08-24,1,3,0,0,0.89,1.0
17,13,2015-08-31,0,6,0,0,1.0,1.0
5,2,2015-09-07,0,1,0,0,1.0,1.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
2,0,2015-10-19,0,1,0,0,0.0,1.0
0,0,2015-10-26,0,0,0,0,0.0,0.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
0,0,2015-12-07,0,0,0,0,0.0,0.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
0,0,2015-12-28,0,0,0,0,0.0,0.0
0,0,2016-01-04,0,0,0,0,0.0,0.0
2,0,2016-01-11,0,1,0,0,0.0,1.0
4,1,2016-01-18,0,2,0,0,0.5,1.0
