cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
9,3,2015-02-02,0,3,0,0,1.0,0.6666666666666666
58,77,2015-02-09,1,10,1,0,0.9329999999999999,0.9
25,28,2015-02-16,0,6,0,0,1.0,0.8333333333333334
30,32,2015-02-23,0,8,0,0,1.0,1.0
18,8,2015-03-02,0,6,0,0,0.8333333333333334,1.0
27,18,2015-03-09,0,8,0,0,0.8125,0.9375
30,16,2015-03-16,0,11,0,1,1.0,0.9090909090909092
23,19,2015-03-23,0,6,0,0,0.8333333333333334,1.0
57,50,2015-03-30,0,17,0,0,0.9929411764705882,1.0
54,38,2015-04-06,0,13,3,0,0.8461538461538461,0.8592307692307692
20,11,2015-04-13,0,8,0,1,1.0,1.0
65,70,2015-04-20,0,16,0,1,1.0,1.0
93,94,2015-04-27,0,22,1,0,0.9190909090909092,0.916818181818182
58,69,2015-05-04,2,12,4,0,0.945,0.9583333333333334
26,19,2015-05-11,0,8,0,0,0.95875,1.0
42,31,2015-05-18,0,13,0,0,1.0,0.9230769230769232
28,13,2015-05-25,0,10,0,0,1.0,0.95
26,17,2015-06-01,0,9,0,0,1.0,1.0
2,1,2015-06-08,0,1,0,0,1.0,1.0
51,39,2015-06-15,0,12,1,0,0.9583333333333334,0.8816666666666667
15,13,2015-06-22,0,5,0,0,1.0,1.0
34,34,2015-06-29,0,9,0,0,0.8888888888888888,1.0
12,7,2015-07-06,0,4,0,0,1.0,0.9375
28,25,2015-07-13,2,7,0,0,0.9285714285714286,0.9528571428571428
33,15,2015-07-20,0,10,0,0,0.9,0.8859999999999999
63,46,2015-07-27,0,19,0,0,1.0,0.9210526315789472
53,33,2015-08-03,0,17,1,0,0.8823529411764706,0.9217647058823528
27,18,2015-08-10,0,8,0,0,0.94125,0.875
9,5,2015-08-17,0,4,0,0,1.0,1.0
19,13,2015-08-24,0,6,0,0,1.0,1.0
65,55,2015-08-31,0,19,0,1,0.9526315789473684,1.0
18,9,2015-09-07,0,7,0,0,0.8814285714285715,1.0
