cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
35,25,2015-02-09,0,9,0,0,0.9811111111111112,1.0
11,5,2015-02-16,0,5,0,1,1.0,1.0
22,14,2015-02-23,0,7,0,0,1.0,0.8571428571428571
16,9,2015-03-02,0,4,0,1,1.0,0.9175
47,26,2015-03-09,1,12,0,1,0.8683333333333333,0.875
39,24,2015-03-16,0,12,2,2,0.7916666666666666,0.775
4,1,2015-03-23,0,2,0,0,0.5,1.0
43,20,2015-03-30,1,12,1,0,0.9066666666666668,0.75
14,19,2015-04-06,0,3,0,0,1.0,1.0
30,16,2015-04-13,0,10,0,0,0.9,0.85
40,28,2015-04-20,0,12,0,0,1.0,1.0
49,28,2015-04-27,1,13,1,0,0.9653846153846154,0.8976923076923077
15,3,2015-05-04,0,6,0,0,1.0,0.6666666666666666
3,2,2015-05-11,0,1,0,0,1.0,1.0
67,42,2015-05-18,0,20,0,0,0.95,0.9875
37,15,2015-05-25,0,13,0,1,1.0,0.9230769230769232
36,19,2015-06-01,0,11,0,0,1.0,0.9545454545454546
34,15,2015-06-08,0,12,0,0,1.0,0.9166666666666666
64,34,2015-06-15,1,17,0,0,0.9705882352941176,0.8382352941176471
23,17,2015-06-22,0,7,0,1,0.9285714285714286,1.0
74,57,2015-06-29,0,23,0,0,0.9782608695652174,0.9782608695652174
9,5,2015-07-06,0,3,0,0,1.0,1.0
5,3,2015-07-13,0,2,0,0,1.0,1.0
2,1,2015-07-20,0,1,0,0,1.0,1.0
27,12,2015-07-27,0,9,0,0,0.8888888888888888,0.8888888888888888
27,13,2015-08-03,0,10,0,0,0.9,1.0
27,13,2015-08-10,1,8,0,0,0.94125,0.9375
68,37,2015-08-17,0,22,0,0,0.9545454545454546,0.8259090909090909
46,22,2015-08-24,1,14,0,1,0.9285714285714286,0.8928571428571429
51,21,2015-08-31,1,17,0,0,0.9176470588235294,0.9217647058823528
25,12,2015-09-07,1,8,0,0,0.83375,1.0
17,7,2015-09-14,0,6,2,0,0.875,0.75
19,15,2015-09-21,0,5,0,0,1.0,0.8340000000000001
10,5,2015-09-28,0,4,0,0,1.0,1.0
7,3,2015-10-05,0,3,0,0,1.0,1.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
17,7,2015-10-19,0,7,0,1,1.0,1.0
8,5,2015-10-26,0,3,0,0,1.0,1.0
12,4,2015-11-02,0,5,0,0,1.0,1.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
17,8,2015-11-16,0,6,0,0,1.0,0.8333333333333334
25,13,2015-11-23,1,9,0,0,1.0,0.8888888888888888
5,3,2015-11-30,0,2,0,0,1.0,1.0
7,3,2015-12-07,0,3,0,0,0.6666666666666666,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
11,2,2015-12-21,1,4,0,0,1.0,0.5
19,15,2015-12-28,0,5,0,0,0.75,1.0
9,6,2016-01-04,0,2,0,0,1.0,1.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
0,0,2016-01-18,0,0,0,0,0.0,0.0
12,8,2016-01-25,0,3,0,0,1.0,0.8333333333333334
6,3,2016-02-01,0,3,0,0,1.0,1.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
11,7,2016-02-15,0,4,0,0,1.0,1.0
5,1,2016-02-22,0,2,1,0,0.5,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
3,2,2016-03-14,0,1,0,0,1.0,1.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
0,0,2016-04-11,0,0,0,0,0.0,0.0
