cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,12,2015-02-09,0,1,0,0,1.0,1.0
4,1,2015-02-16,0,1,0,0,1.0,0.6699999999999999
2,1,2015-02-23,0,1,0,0,1.0,1.0
3,0,2015-03-02,0,1,0,0,1.0,1.0
2,1,2015-03-09,0,1,0,0,1.0,1.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
11,7,2015-03-30,0,3,0,0,1.0,1.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
2,1,2015-04-27,0,1,0,0,1.0,1.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
5,6,2015-06-08,0,1,0,0,1.0,1.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
0,0,2015-07-20,0,0,0,0,0.0,0.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
2,0,2015-08-03,0,1,0,0,1.0,1.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
2,1,2015-08-17,0,1,0,0,1.0,1.0
