cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
8,7,2017-03-06,0,2,0,0,1.0,1.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
2,1,2017-03-20,0,1,0,0,1.0,1.0
0,0,2017-03-27,0,0,0,0,0.0,0.0
2,0,2017-04-03,0,1,0,0,1.0,1.0
3,0,2017-04-10,0,1,0,0,1.0,1.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
6,3,2017-05-01,0,3,0,0,1.0,1.0
7,3,2017-05-08,1,3,0,0,1.0,0.6666666666666666
2,1,2017-05-15,0,1,0,0,1.0,1.0
9,9,2017-05-22,0,2,0,0,1.0,1.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
3,2,2017-06-05,0,1,0,0,1.0,1.0
2,1,2017-06-12,0,1,0,0,1.0,1.0
