cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
9,6,2015-07-06,0,2,0,0,0.9,1.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
0,0,2015-07-20,0,0,0,0,0.0,0.0
4,4,2015-07-27,0,1,0,0,1.0,1.0
14,20,2015-08-03,0,2,0,0,1.0,1.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
5,6,2015-08-31,0,1,0,0,1.0,1.0
8,12,2015-09-07,0,1,0,0,1.0,1.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
16,12,2015-10-19,0,4,0,0,1.0,1.0
13,9,2015-10-26,0,3,0,0,1.0,1.0
7,3,2015-11-02,0,3,0,0,1.0,0.6666666666666666
0,0,2015-11-09,0,0,0,0,0.0,0.0
2,1,2015-11-16,0,1,0,0,1.0,1.0
3,2,2015-11-23,0,1,0,0,1.0,1.0
7,5,2015-11-30,0,2,0,0,1.0,1.0
0,0,2015-12-07,0,0,0,0,0.0,0.0
7,9,2015-12-14,0,1,0,0,1.0,1.0
9,5,2015-12-21,1,2,0,0,0.75,1.0
8,4,2015-12-28,0,3,0,0,1.0,1.0
