cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
9,4,2015-06-22,0,3,0,0,0.6666666666666666,1.0
3,2,2015-06-29,0,1,0,0,1.0,1.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
0,0,2015-07-20,0,0,0,0,0.0,0.0
10,8,2015-07-27,0,2,0,0,1.0,1.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
2,0,2015-08-24,0,1,0,0,1.0,1.0
0,0,2015-08-31,0,0,0,0,0.0,0.0
16,15,2015-09-07,0,3,0,0,1.0,1.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
27,21,2015-09-21,0,8,0,0,1.0,1.0
24,11,2015-09-28,0,6,0,0,1.0,0.75
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
18,9,2015-10-19,0,7,0,0,1.0,1.0
12,8,2015-10-26,0,4,0,0,1.0,1.0
3,2,2015-11-02,0,1,0,0,1.0,1.0
5,1,2015-11-09,1,2,0,0,1.0,0.5
6,4,2015-11-16,0,2,0,0,1.0,1.0
5,3,2015-11-23,0,2,0,0,1.0,1.0
11,4,2015-11-30,0,3,0,0,1.0,0.6666666666666666
2,1,2015-12-07,0,1,0,0,1.0,1.0
5,3,2015-12-14,0,1,0,0,1.0,1.0
7,0,2015-12-21,0,2,0,0,0.5,1.0
2,1,2015-12-28,0,1,0,0,1.0,1.0
