cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2015-02-09,0,1,0,0,1.0,1.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
7,2,2015-05-11,0,2,1,0,0.875,0.5
0,0,2015-05-18,0,0,0,0,0.0,0.0
4,0,2015-05-25,0,1,0,0,1.0,0.0
2,1,2015-06-01,0,1,0,0,1.0,1.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
3,0,2015-06-22,0,1,0,0,1.0,0.0
12,3,2015-06-29,0,1,3,0,0.73,0.0
7,6,2015-07-06,0,1,0,0,1.0,1.0
18,10,2015-07-13,1,2,1,0,0.8500000000000001,0.5
4,3,2015-07-20,0,1,0,0,1.0,1.0
10,7,2015-07-27,0,3,0,0,1.0,1.0
10,5,2015-08-03,1,4,0,0,0.75,1.0
8,4,2015-08-10,1,2,0,0,0.835,1.0
19,11,2015-08-17,0,4,0,0,1.0,0.75
0,0,2015-08-24,0,0,0,0,0.0,0.0
0,0,2015-08-31,0,0,0,0,0.0,0.0
4,2,2015-09-07,0,1,0,0,1.0,1.0
