cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2015-02-02,0,1,0,0,0.0,1.0
4,1,2015-02-09,0,2,0,0,1.0,1.0
6,2,2015-02-16,0,3,0,0,1.0,1.0
12,7,2015-02-23,0,3,0,0,0.9033333333333332,1.0
4,2,2015-03-02,0,1,0,0,1.0,1.0
8,3,2015-03-09,0,3,1,0,0.6666666666666666,0.8333333333333334
2,1,2015-03-16,0,1,0,0,1.0,1.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
8,5,2015-03-30,0,2,0,0,0.835,1.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
11,5,2015-04-13,0,2,0,0,0.81,1.0
3,1,2015-04-20,0,1,0,0,0.5,1.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
8,6,2015-05-11,0,1,3,0,0.5,0.5
4,2,2015-05-18,0,2,0,0,1.0,1.0
9,15,2015-05-25,0,1,0,0,0.83,1.0
2,1,2015-06-01,0,1,0,0,1.0,1.0
22,29,2015-06-08,0,4,0,0,0.9725,0.75
0,0,2015-06-15,0,0,0,0,0.0,0.0
3,0,2015-06-22,1,1,0,0,0.5,1.0
23,29,2015-06-29,0,3,9,0,0.5766666666666667,0.7999999999999999
5,2,2015-07-06,0,2,1,0,0.75,0.5
21,23,2015-07-13,0,3,0,0,0.9,0.8333333333333334
14,7,2015-07-20,0,2,1,0,0.915,0.5
4,2,2015-07-27,0,2,0,0,1.0,1.0
9,5,2015-08-03,0,3,0,0,1.0,1.0
3,0,2015-08-10,0,1,0,0,1.0,0.0
44,44,2015-08-17,1,9,0,0,0.9811111111111112,0.9633333333333334
0,0,2015-08-24,0,0,0,0,0.0,0.0
13,9,2015-08-31,0,3,0,0,0.9333333333333332,1.0
4,2,2015-09-07,0,1,0,0,1.0,1.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
3,2,2015-09-21,0,1,0,0,1.0,1.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
2,1,2015-10-05,0,1,0,0,1.0,1.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
2,1,2015-10-19,0,1,0,0,1.0,1.0
0,0,2015-10-26,0,0,0,0,0.0,0.0
0,0,2015-11-02,0,0,0,0,0.0,0.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
0,0,2015-11-16,0,0,0,0,0.0,0.0
0,0,2015-11-23,0,0,0,0,0.0,0.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
0,0,2015-12-07,0,0,0,0,0.0,0.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
2,0,2015-12-21,0,1,0,0,1.0,1.0
