cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,3,2018-10-22,0,1,0,0,0.6699999999999999,1.0
2,1,2018-10-29,0,1,0,0,1.0,1.0
2,0,2018-11-05,0,1,0,0,0.0,1.0
8,8,2018-11-12,0,2,0,0,1.0,1.0
6,6,2018-11-19,0,1,0,0,1.0,0.6699999999999999
0,0,2018-11-26,0,0,0,0,0.0,0.0
12,19,2018-12-03,1,1,1,0,0.86,0.8
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
4,4,2018-12-24,0,1,0,0,1.0,1.0
7,3,2018-12-31,0,3,0,0,0.6666666666666666,1.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
0,0,2019-01-21,0,0,0,0,0.0,0.0
3,2,2019-01-28,0,1,0,0,1.0,1.0
2,0,2019-02-04,0,1,0,0,1.0,1.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
0,0,2019-03-04,0,0,0,0,0.0,0.0
3,1,2019-03-11,0,1,0,0,0.5,1.0
0,0,2019-03-18,0,0,0,0,0.0,0.0
6,2,2019-03-25,1,2,2,0,0.25,0.25
