cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,4,2015-06-08,0,1,0,0,1.0,1.0
11,13,2015-06-15,0,2,0,0,1.0,1.0
6,1,2015-06-22,0,1,1,0,0.8,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
7,2,2015-07-13,0,2,0,0,0.5,1.0
0,0,2015-07-20,0,0,0,0,0.0,0.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
0,0,2015-08-31,0,0,0,0,0.0,0.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
0,0,2015-09-14,0,0,0,0,0.0,0.0
0,0,2015-09-21,0,0,0,0,0.0,0.0
4,3,2015-09-28,0,1,0,0,1.0,1.0
6,3,2015-10-05,0,2,0,0,1.0,1.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
11,4,2015-10-19,1,2,0,2,0.5,0.875
