cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,2,2015-02-09,0,3,0,0,0.6666666666666666,1.0
15,8,2015-02-16,0,5,0,0,1.0,1.0
13,5,2015-02-23,0,6,0,1,1.0,1.0
21,9,2015-03-02,2,6,0,1,0.8333333333333334,0.945
22,7,2015-03-09,1,8,0,2,1.0,0.96875
13,5,2015-03-16,0,5,0,0,1.0,0.8
10,6,2015-03-23,0,3,0,0,1.0,1.0
22,12,2015-03-30,0,8,1,1,0.875,0.75
9,3,2015-04-06,0,4,0,0,0.75,0.75
29,10,2015-04-13,0,11,0,0,0.9245454545454546,0.9090909090909092
6,4,2015-04-20,0,2,0,0,1.0,1.0
17,8,2015-04-27,0,6,0,0,1.0,0.7783333333333333
19,10,2015-05-04,0,7,0,0,1.0,1.0
19,12,2015-05-11,0,6,0,0,1.0,0.9166666666666666
35,27,2015-05-18,1,10,0,0,1.0,0.975
45,24,2015-05-25,0,17,0,1,1.0,1.0
14,7,2015-06-01,0,5,0,0,1.0,0.9
14,10,2015-06-08,0,5,0,0,1.0,1.0
30,11,2015-06-15,0,9,0,0,1.0,0.9166666666666666
13,5,2015-06-22,0,5,0,0,0.8,1.0
17,9,2015-06-29,0,6,0,0,1.0,1.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
13,8,2015-07-13,0,5,0,0,1.0,1.0
13,7,2015-07-20,0,4,1,0,0.875,0.75
18,12,2015-07-27,0,6,0,0,1.0,1.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
0,0,2015-08-24,0,0,0,0,0.0,0.0
0,0,2015-08-31,0,0,0,0,0.0,0.0
0,0,2015-09-07,0,0,0,0,0.0,0.0
3,2,2015-09-14,0,1,0,0,1.0,1.0
11,5,2015-09-21,0,4,0,0,1.0,0.875
19,12,2015-09-28,0,7,0,0,1.0,1.0
5,2,2015-10-05,0,2,0,0,1.0,1.0
4,1,2015-10-12,0,2,1,0,0.5,0.5
16,12,2015-10-19,0,5,0,0,1.0,1.0
25,15,2015-10-26,0,9,0,1,0.8888888888888888,1.0
33,17,2015-11-02,0,13,0,0,0.9746153846153848,1.0
52,27,2015-11-09,0,20,0,0,0.9,1.0
24,15,2015-11-16,0,6,0,2,1.0,1.0
6,2,2015-11-23,0,3,0,0,1.0,1.0
15,12,2015-11-30,1,4,0,0,0.6675,0.75
14,14,2015-12-07,0,4,0,0,1.0,1.0
10,7,2015-12-14,0,3,0,0,1.0,1.0
5,2,2015-12-21,0,2,0,0,1.0,1.0
4,3,2015-12-28,0,1,0,0,1.0,1.0
3,2,2016-01-04,0,1,0,0,1.0,1.0
2,1,2016-01-11,0,1,0,0,1.0,1.0
2,0,2016-01-18,0,1,0,0,1.0,0.0
20,13,2016-01-25,0,6,0,0,1.0,0.9166666666666666
5,3,2016-02-01,0,2,0,0,1.0,1.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
5,6,2016-02-15,0,1,0,0,1.0,1.0
6,3,2016-02-22,0,2,0,0,1.0,0.5
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
3,2,2016-03-14,0,1,0,0,1.0,1.0
