cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
23,14,2015-02-09,1,6,0,0,0.805,1.0
25,16,2015-02-16,0,7,0,1,1.0,1.0
27,18,2015-02-23,0,9,0,0,1.0,0.8888888888888888
24,8,2015-03-02,1,7,0,0,0.7142857142857143,0.9528571428571428
31,13,2015-03-09,0,9,0,0,1.0,0.7944444444444445
15,6,2015-03-16,0,5,1,0,0.7340000000000001,0.6
6,3,2015-03-23,0,2,0,0,1.0,1.0
23,11,2015-03-30,0,7,0,0,1.0,0.7142857142857143
20,9,2015-04-06,0,6,0,0,0.945,0.8333333333333334
21,13,2015-04-13,0,8,0,0,1.0,1.0
28,24,2015-04-20,0,6,0,0,1.0,1.0
43,26,2015-04-27,1,11,0,0,0.97,0.8190909090909091
29,13,2015-05-04,0,8,0,0,1.0,0.875
33,17,2015-05-11,0,12,0,0,1.0,0.875
18,11,2015-05-18,0,7,0,1,0.8571428571428571,1.0
22,14,2015-05-25,0,7,0,0,1.0,0.8099999999999999
24,17,2015-06-01,0,9,0,0,0.8888888888888888,1.0
10,6,2015-06-08,0,3,0,0,1.0,1.0
48,27,2015-06-15,4,10,0,1,0.8909999999999999,0.95
17,11,2015-06-22,0,6,0,0,1.0,1.0
42,30,2015-06-29,1,11,0,0,1.0,0.9363636363636364
6,2,2015-07-06,0,3,0,0,1.0,1.0
16,8,2015-07-13,0,6,0,0,0.75,1.0
21,11,2015-07-20,0,6,0,0,0.8099999999999999,1.0
47,23,2015-07-27,0,15,0,0,0.8666666666666667,0.9333333333333332
30,15,2015-08-03,0,12,0,1,1.0,1.0
26,8,2015-08-10,0,11,0,0,0.6818181818181818,0.9090909090909092
22,9,2015-08-17,0,8,0,0,0.96875,0.83375
12,7,2015-08-24,0,4,0,0,1.0,0.625
42,23,2015-08-31,0,14,0,0,1.0,0.7857142857142857
16,11,2015-09-07,0,5,0,0,0.934,1.0
16,7,2015-09-14,0,6,0,0,1.0,0.6666666666666666
27,15,2015-09-21,0,9,0,0,0.9633333333333334,1.0
15,7,2015-09-28,1,6,0,0,0.7783333333333333,0.8333333333333334
7,4,2015-10-05,0,3,0,0,1.0,1.0
29,9,2015-10-12,2,9,1,0,0.9188888888888888,0.8888888888888888
19,15,2015-10-19,0,6,0,0,1.0,1.0
14,9,2015-10-26,0,5,0,0,0.8,1.0
29,24,2015-11-02,0,8,0,0,0.83375,1.0
53,34,2015-11-09,1,18,0,0,0.8888888888888888,0.9166666666666666
47,32,2015-11-16,1,13,0,3,0.8846153846153846,0.8461538461538461
18,5,2015-11-23,0,7,0,0,1.0,0.8571428571428571
21,23,2015-11-30,0,4,2,0,0.9275,0.75
8,5,2015-12-07,0,3,0,0,1.0,1.0
10,8,2015-12-14,0,3,0,0,0.8333333333333334,1.0
14,4,2015-12-21,0,3,1,0,0.96,0.6666666666666666
35,26,2015-12-28,0,10,0,0,1.0,0.85
19,11,2016-01-04,0,5,0,0,0.972,1.0
5,3,2016-01-11,0,2,0,0,1.0,1.0
4,1,2016-01-18,0,2,0,0,1.0,1.0
20,14,2016-01-25,0,5,0,0,1.0,0.9
3,2,2016-02-01,0,1,0,0,1.0,1.0
2,1,2016-02-08,0,1,0,0,1.0,1.0
15,13,2016-02-15,0,5,0,0,1.0,1.0
13,4,2016-02-22,0,4,3,0,0.77,0.5
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
7,6,2016-03-14,0,2,0,0,1.0,1.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
0,0,2016-04-11,0,0,0,0,0.0,0.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
0,0,2016-04-25,0,0,0,0,0.0,0.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
8,3,2016-12-26,0,3,0,0,1.0,1.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
0,0,2017-03-20,0,0,0,0,0.0,0.0
0,0,2017-03-27,0,0,0,0,0.0,0.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
0,0,2017-04-10,0,0,0,0,0.0,0.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
0,0,2017-07-31,0,0,0,0,0.0,0.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
0,0,2017-09-11,0,0,0,0,0.0,0.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
0,0,2017-09-25,0,0,0,0,0.0,0.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
3,2,2017-10-09,0,1,0,0,1.0,1.0
0,0,2017-10-16,0,0,0,0,0.0,0.0
4,4,2017-10-23,0,1,0,0,1.0,1.0
0,0,2017-10-30,0,0,0,0,0.0,0.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
0,0,2017-11-13,0,0,0,0,0.0,0.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
2,1,2017-12-04,0,1,0,0,1.0,1.0
