cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2019-01-14,0,1,0,0,1.0,1.0
11,6,2019-01-21,0,3,2,0,0.9166666666666666,0.7766666666666667
9,5,2019-01-28,0,3,0,0,1.0,1.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
2,0,2019-02-25,0,1,0,0,1.0,0.0
10,5,2019-03-04,0,3,0,0,1.0,1.0
8,12,2019-03-11,0,1,0,0,1.0,1.0
0,0,2019-03-18,0,0,0,0,0.0,0.0
12,4,2019-03-25,0,4,0,0,0.625,0.75
9,3,2019-04-01,0,2,0,0,1.0,0.25
