cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2015-02-02,0,1,0,0,0.0,1.0
15,9,2015-02-09,0,5,0,0,1.0,1.0
9,4,2015-02-16,0,4,0,0,1.0,1.0
22,9,2015-02-23,0,8,0,0,0.875,0.9375
19,14,2015-03-02,0,5,0,0,0.868,1.0
38,25,2015-03-09,0,11,0,0,0.9318181818181818,0.9390909090909092
6,3,2015-03-16,0,2,0,0,0.75,1.0
11,7,2015-03-23,0,4,0,0,1.0,1.0
17,12,2015-03-30,0,5,0,1,0.8,1.0
21,11,2015-04-06,0,6,0,0,0.9166666666666666,0.945
4,1,2015-04-13,0,2,0,0,1.0,1.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
34,24,2015-04-27,0,9,0,0,0.9266666666666666,1.0
6,3,2015-05-04,0,2,0,0,1.0,1.0
9,6,2015-05-11,0,3,0,0,1.0,0.89
13,11,2015-05-18,0,4,0,0,1.0,0.75
19,15,2015-05-25,0,5,0,0,0.934,1.0
4,2,2015-06-01,0,2,0,0,1.0,1.0
25,18,2015-06-08,0,8,0,0,1.0,0.95875
0,0,2015-06-15,0,0,0,0,0.0,0.0
2,1,2015-06-22,0,1,0,0,1.0,1.0
2,1,2015-06-29,0,1,0,0,1.0,1.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
8,8,2015-07-13,0,2,0,0,1.0,1.0
2,0,2015-07-20,0,1,0,0,1.0,0.0
16,11,2015-07-27,0,5,0,0,0.8,1.0
16,7,2015-08-03,0,6,0,1,1.0,0.8333333333333334
11,4,2015-08-10,0,3,0,0,1.0,1.0
21,11,2015-08-17,0,8,1,0,0.83375,0.875
12,5,2015-08-24,0,5,1,0,0.7,0.8
11,4,2015-08-31,0,4,0,0,0.75,0.75
9,4,2015-09-07,1,3,0,0,1.0,0.6666666666666666
2,1,2015-09-14,0,1,0,0,1.0,1.0
4,2,2015-09-21,0,2,0,0,1.0,1.0
2,1,2015-09-28,0,1,0,0,1.0,1.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
0,0,2015-10-12,0,0,0,0,0.0,0.0
2,1,2015-10-19,0,1,0,0,1.0,1.0
22,31,2015-10-26,0,5,0,0,1.0,0.8
7,1,2015-11-02,0,3,0,0,1.0,1.0
14,5,2015-11-09,0,5,0,0,1.0,1.0
2,1,2015-11-16,0,1,0,0,1.0,1.0
6,2,2015-11-23,0,3,0,0,1.0,1.0
13,8,2015-11-30,0,4,0,0,1.0,0.75
0,0,2015-12-07,0,0,0,0,0.0,0.0
8,6,2015-12-14,0,2,0,0,1.0,1.0
9,1,2015-12-21,0,4,0,0,0.75,1.0
7,2,2015-12-28,0,2,0,0,0.5,1.0
5,2,2016-01-04,0,2,0,0,0.5,1.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
3,0,2016-01-18,0,1,0,0,0.0,1.0
3,1,2016-01-25,0,1,0,0,0.5,1.0
0,0,2016-02-01,0,0,0,0,0.0,0.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
5,2,2016-02-15,0,2,0,0,1.0,0.5
0,0,2016-02-22,0,0,0,0,0.0,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
3,2,2016-03-14,0,1,0,0,1.0,1.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
0,0,2016-04-04,0,0,0,0,0.0,0.0
0,0,2016-04-11,0,0,0,0,0.0,0.0
0,0,2016-04-18,0,0,0,0,0.0,0.0
0,0,2016-04-25,0,0,0,0,0.0,0.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
0,0,2016-05-23,0,0,0,0,0.0,0.0
0,0,2016-05-30,0,0,0,0,0.0,0.0
0,0,2016-06-06,0,0,0,0,0.0,0.0
0,0,2016-06-13,0,0,0,0,0.0,0.0
0,0,2016-06-20,0,0,0,0,0.0,0.0
0,0,2016-06-27,0,0,0,0,0.0,0.0
0,0,2016-07-04,0,0,0,0,0.0,0.0
0,0,2016-07-11,0,0,0,0,0.0,0.0
0,0,2016-07-18,0,0,0,0,0.0,0.0
0,0,2016-07-25,0,0,0,0,0.0,0.0
0,0,2016-08-01,0,0,0,0,0.0,0.0
0,0,2016-08-08,0,0,0,0,0.0,0.0
0,0,2016-08-15,0,0,0,0,0.0,0.0
0,0,2016-08-22,0,0,0,0,0.0,0.0
0,0,2016-08-29,0,0,0,0,0.0,0.0
0,0,2016-09-05,0,0,0,0,0.0,0.0
0,0,2016-09-12,0,0,0,0,0.0,0.0
0,0,2016-09-19,0,0,0,0,0.0,0.0
0,0,2016-09-26,0,0,0,0,0.0,0.0
0,0,2016-10-03,0,0,0,0,0.0,0.0
0,0,2016-10-10,0,0,0,0,0.0,0.0
0,0,2016-10-17,0,0,0,0,0.0,0.0
0,0,2016-10-24,0,0,0,0,0.0,0.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
0,0,2016-11-07,0,0,0,0,0.0,0.0
0,0,2016-11-14,0,0,0,0,0.0,0.0
0,0,2016-11-21,0,0,0,0,0.0,0.0
0,0,2016-11-28,0,0,0,0,0.0,0.0
0,0,2016-12-05,0,0,0,0,0.0,0.0
0,0,2016-12-12,0,0,0,0,0.0,0.0
0,0,2016-12-19,0,0,0,0,0.0,0.0
0,0,2016-12-26,0,0,0,0,0.0,0.0
0,0,2017-01-02,0,0,0,0,0.0,0.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
0,0,2017-01-23,0,0,0,0,0.0,0.0
0,0,2017-01-30,0,0,0,0,0.0,0.0
0,0,2017-02-06,0,0,0,0,0.0,0.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
0,0,2017-02-27,0,0,0,0,0.0,0.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
0,0,2017-03-13,0,0,0,0,0.0,0.0
0,0,2017-03-20,0,0,0,0,0.0,0.0
2,0,2017-03-27,0,1,0,0,1.0,1.0
