cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,0,2017-03-27,0,1,0,0,0.0,1.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
4,2,2017-04-10,0,1,0,0,1.0,1.0
8,5,2017-04-17,0,3,0,0,1.0,1.0
14,7,2017-04-24,0,5,0,0,1.0,1.0
5,3,2017-05-01,0,1,0,0,1.0,1.0
12,10,2017-05-08,0,4,0,0,1.0,1.0
19,9,2017-05-15,0,6,0,0,1.0,1.0
11,4,2017-05-22,1,4,0,0,1.0,0.75
0,0,2017-05-29,0,0,0,0,0.0,0.0
3,2,2017-06-05,0,1,0,0,1.0,1.0
10,5,2017-06-12,1,3,0,0,0.8333333333333334,1.0
15,26,2017-06-19,0,2,1,0,0.875,0.945
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
4,3,2017-07-10,0,1,0,0,1.0,1.0
