name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
LipkeGu,Unit158,20150,0,1,0,0,0.0,0.25,0.0,0.0,5,1,1.0,0.0
Phrohdoh,Unit158,20150,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,0.0
pchote,Unit158,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0
Mailaender,Unit158,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Mailaender,Unit158,20151,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
LipkeGu,Phrohdoh,20150,9,0,0,0,0.75,0.0,0.0,0.0,7,1,1.0,1.0
pchote,Phrohdoh,20150,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
Mailaender,Phrohdoh,20150,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,Phrohdoh,20151,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
LipkeGu,pchote,20150,6,0,0,0,0.75,0.0,0.0,0.0,6,1,1.0,1.0
Mailaender,pchote,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,pchote,20151,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
LipkeGu,Mailaender,20150,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
LipkeGu,Unit158,20150,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
Phrohdoh,Unit158,20150,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
pchote,Unit158,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,Unit158,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,Unit158,20151,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
LipkeGu,Mailaender,20150,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,1.0
chrisforbes,cjshmyr,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
cjshmyr,dan9550,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
chrisforbes,dan9550,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
