name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
020jeroen,Mailaender,20150,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
020jeroen,Phrohdoh,20150,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
10769241,obrakmann,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
14thFortnight,FrameLimiter,20170,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
14thFortnight,Smittytron,20170,1.0,0.0,0.0,1.0,0.0,0.0,2,0,0,2,2,4
14thFortnight,SoScared,20170,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,3
14thFortnight,abcdefg30,20170,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,2
14thFortnight,pchote,20170,0.33,0.0,0.0,0.33,0.0,0.6699999999999999,1,0,0,1,1,4
14thFortnight,reaperrr,20170,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
3Lucian,FRenzy-OpenRA,20161,0.0,0.33,0.0,0.0,0.6699999999999999,1.0,0,1,0,0,1,4
3Lucian,GraionDilach,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
3Lucian,KOYK,20161,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
3Lucian,Micr0Bit,20161,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
3Lucian,MustaphaTR,20161,0.0,0.165,0.0,0.0,0.33499999999999996,1.0,0,1,0,0,2,6
3Lucian,SMIFFGIG,20161,0.67,0.0,0.0,0.0,0.6699999999999999,1.0,2,0,0,0,1,4
3Lucian,Smittytron,20161,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
3Lucian,SoScared,20161,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,2,4
3Lucian,abc013,20161,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,2,5
3Lucian,airetaM,20161,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,2
3Lucian,ghost,20161,1.0,0.0,0.0,0.5,0.5,0.5,2,0,0,1,2,4
3Lucian,huwpascoe,20161,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,3
3Lucian,j2k15,20161,0.25,0.0,0.0,0.25,0.0,0.75,1,0,0,1,1,5
3Lucian,jaZzKCS,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
