name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
14thFortnight,FrameLimiter,20170,0.0,1.0,0,0,0,0,1,2
14thFortnight,Smittytron,20170,0.0,0.0,2,0,0,2,2,4
14thFortnight,SoScared,20170,0.0,1.0,0,0,0,0,1,3
14thFortnight,abcdefg30,20170,0.0,0.0,1,0,0,1,1,2
14thFortnight,pchote,20170,0.0,0.6699999999999999,1,0,0,1,1,4
14thFortnight,reaperrr,20170,0.0,1.0,0,0,0,0,1,2
ABrandau,BansheePPM,20170,0.0,1.0,0,1,0,0,1,2
ABrandau,DoGyAUT,20170,0.0,0.0,1,0,0,1,1,2
ABrandau,GraionDilach,20170,0.3333333333333333,0.8333333333333334,3,0,0,1,3,8
ABrandau,Mailaender,20170,0.0,0.4300000000000001,4,0,0,4,1,8
ABrandau,Smittytron,20170,1.0,1.0,0,0,0,0,1,2
ABrandau,SoScared,20170,1.0,0.88,11,0,0,0,1,17
ABrandau,kyrylo,20170,1.0,1.0,1,0,0,0,1,3
ABrandau,pchote,20170,0.3333333333333333,0.7333333333333334,9,2,0,6,3,21
ABrandau,reaperrr,20170,0.5,0.5,1,0,0,1,2,4
ABrandau,samrocketman,20170,0.0,0.0,1,0,0,1,1,2
AMHOL,GraionDilach,20170,1.0,1.0,2,0,0,0,1,3
AMHOL,Ovrclockd,20170,1.0,1.0,1,0,0,0,1,2
AMHOL,Smittytron,20170,1.0,1.0,3,0,0,0,2,5
AMHOL,cjshmyr,20170,1.0,1.0,1,0,0,0,1,2
AMHOL,pchote,20170,1.0,1.0,5,0,1,0,2,6
AMHOL,rob-v,20170,0.0,1.0,0,0,0,0,1,2
AoAGeneral,Arular101,20170,1.0,1.0,5,0,0,0,2,8
AoAGeneral,ChaoticMind,20170,1.0,0.0,0,0,0,0,1,2
AoAGeneral,ChristianDK,20170,0.0,1.0,0,0,0,0,1,2
AoAGeneral,Datastreamx,20170,1.0,1.0,1,0,0,0,1,2
AoAGeneral,Deadairx,20170,1.0,1.0,0,0,0,0,1,2
AoAGeneral,FiveAces,20170,1.0,1.0,0,0,0,0,1,3
AoAGeneral,FrameLimiter,20170,0.5,1.0,2,0,0,0,2,6
AoAGeneral,GraionDilach,20170,0.9166666666666666,0.7783333333333333,11,0,0,0,6,21
AoAGeneral,HenrytheSlav,20170,1.0,0.89,6,0,0,0,2,12
AoAGeneral,KOYK,20170,1.0,1.0,2,0,0,0,2,5
