"name1","name2","period","issue_num","p1","p2"
"LipkeGu","Unit158","20150","7427","2122","00"
"Phrohdoh","Unit158","20150","7427","222","00"
"pchote","Unit158","20150","7427","22","00"
"Mailaender","Unit158","20150","7427","2","00"
"Mailaender","Unit158","20151","7427","2","00"
"LipkeGu","Phrohdoh","20150","7427","2122","222"
"pchote","Phrohdoh","20150","7427","22","222"
"Mailaender","Phrohdoh","20150","7427","2","222"
"Mailaender","Phrohdoh","20151","7427","2","222"
"LipkeGu","pchote","20150","7427","2122","22"
"Mailaender","pchote","20150","7427","2","22"
"Mailaender","pchote","20151","7427","2","22"
"LipkeGu","Mailaender","20150","7427","2122","2"
"LipkeGu","Unit158","20150","7427","2122","2"
"Phrohdoh","Unit158","20150","7427","222","2"
"pchote","Unit158","20150","7427","22","2"
"Mailaender","Unit158","20150","7427","2","2"
"Mailaender","Unit158","20151","7427","2","2"
"LipkeGu","Mailaender","20150","7427","2122","2"
"chrisforbes","cjshmyr","20150","7429","2","1"
"cjshmyr","dan9550","20150","7429","1","2"
"chrisforbes","dan9550","20150","7429","2","2"
"cjshmyr","penev92","20150","7429","1","0"
"chrisforbes","penev92","20150","7429","2","0"
"dan9550","penev92","20150","7429","2","0"
"cjshmyr","Phrohdoh","20150","7429","1","2"
"chrisforbes","Phrohdoh","20150","7429","2","2"
"dan9550","Phrohdoh","20150","7429","2","2"
"penev92","Phrohdoh","20150","7429","0","2"
"Mailaender","Phrohdoh","20150","7430","22","22"
"pchote","Phrohdoh","20150","7430","20","22"
"LipkeGu","Phrohdoh","20150","7430","22","22"
"Micr0Bit","Phrohdoh","20150","7430","022","22"
"penev92","Phrohdoh","20150","7430","1","22"
"deniz1a","Phrohdoh","20150","7430","2","22"
"Phrohdoh","Rydra","20150","7430","22","122202212111222"
"Mailaender","Rydra","20150","7430","22","122202212111222"
"RoosterDragon","Rydra","20150","7430","11","122202212111222"
"pchote","Rydra","20150","7430","20","122202212111222"
"LipkeGu","Rydra","20150","7430","22","122202212111222"
"Micr0Bit","Rydra","20150","7430","022","122202212111222"
"penev92","Rydra","20150","7430","1","122202212111222"
"deniz1a","Rydra","20150","7430","2","122202212111222"
"LipkeGu","Mailaender","20150","7430","22","22"
"deniz1a","Mailaender","20150","7430","2","22"
"Phrohdoh","RoosterDragon","20150","7430","22","11"
"Mailaender","RoosterDragon","20150","7430","22","11"
"pchote","RoosterDragon","20150","7430","20","11"
"LipkeGu","RoosterDragon","20150","7430","22","11"
"Micr0Bit","RoosterDragon","20150","7430","022","11"
"penev92","RoosterDragon","20150","7430","1","11"
"deniz1a","RoosterDragon","20150","7430","2","11"
"Mailaender","pchote","20150","7430","22","20"
"LipkeGu","pchote","20150","7430","22","20"
"Micr0Bit","pchote","20150","7430","022","20"
"deniz1a","pchote","20150","7430","2","20"
"deniz1a","LipkeGu","20150","7430","2","22"
"Mailaender","Micr0Bit","20150","7430","22","022"
"LipkeGu","Micr0Bit","20150","7430","22","022"
"deniz1a","Micr0Bit","20150","7430","2","022"
"Mailaender","penev92","20150","7430","22","1"
"pchote","penev92","20150","7430","20","1"
"LipkeGu","penev92","20150","7430","22","1"
"Micr0Bit","penev92","20150","7430","022","1"
"deniz1a","penev92","20150","7430","2","1"
"LipkeGu","Mailaender","20150","7432","222","2"
"Mailaender","pchote","20150","7432","2","2"
"LipkeGu","pchote","20150","7432","222","2"
"Nelax","penev92","20150","7433","2022200","2"
"abcdefg30","penev92","20150","7433","22","2"
"obrakmann","penev92","20150","7433","0","2"
"Mailaender","penev92","20150","7433","22","2"
"pchote","penev92","20170","7433","2","2"
"abcdefg30","Nelax","20150","7433","22","2022200"
"Mailaender","Nelax","20150","7433","22","2022200"
"Nelax","obrakmann","20150","7433","2022200","0"
"abcdefg30","obrakmann","20150","7433","22","0"
"Mailaender","obrakmann","20150","7433","22","0"
"abcdefg30","Mailaender","20150","7433","22","22"
"Nelax","pchote","20150","7433","2022200","2"
"abcdefg30","pchote","20150","7433","22","2"
"obrakmann","pchote","20150","7433","0","2"
"Mailaender","pchote","20150","7433","22","2"
"deniz1a","penev92","20150","7434","00","2"
"Mailaender","obrakmann","20150","7435","2","2"
"Mailaender","obrakmann","20150","7436","1","202"
"obrakmann","ScottNZ","20150","7436","202","22"
"penev92","ScottNZ","20150","7436","2","22"
"Mailaender","ScottNZ","20150","7436","1","22"
"obrakmann","penev92","20150","7436","202","2"
"Mailaender","penev92","20150","7436","1","2"
"abcdefg30","obrakmann","20150","7437","2220","121"
"Mailaender","obrakmann","20150","7437","2","121"
"42foobar42","obrakmann","20150","7437","22221","121"
"42foobar42","abcdefg30","20150","7437","22221","2220"
"abcdefg30","Mailaender","20150","7437","2220","2"
"42foobar42","Mailaender","20150","7437","22221","2"
"MunWolf","xan2622","20150","7438","2","2"
"Phrohdoh","xan2622","20150","7438","2","2"
"MunWolf","Phrohdoh","20150","7438","2","2"
"ihptru","Mailaender","20150","7439","2","222"
"Mailaender","ScottNZ","20150","7439","222","22"
"obrakmann","ScottNZ","20150","7439","2","22"
"penev92","ScottNZ","20150","7439","2","22"
"ihptru","ScottNZ","20150","7439","2","22"
"Mailaender","obrakmann","20150","7439","222","2"
"ihptru","obrakmann","20150","7439","2","2"
"Mailaender","penev92","20150","7439","222","2"
"obrakmann","penev92","20150","7439","2","2"
"ihptru","penev92","20150","7439","2","2"
"JohnnyXP64","Mailaender","20150","7440","000210","2222"
"LipkeGu","Mailaender","20150","7440","2","2222"
"abcdefg30","Mailaender","20150","7440","2","2222"
"Mailaender","pchote","20150","7440","2222","010"
"JohnnyXP64","pchote","20150","7440","000210","010"
"LipkeGu","pchote","20150","7440","2","010"
"abcdefg30","pchote","20150","7440","2","010"
"abcdefg30","JohnnyXP64","20150","7440","2","000210"
"Mailaender","Unit158","20150","7440","2222","0"
"pchote","Unit158","20150","7440","010","0"
"JohnnyXP64","Unit158","20150","7440","000210","0"
"Phrohdoh","Unit158","20150","7440","2","0"
"LipkeGu","Unit158","20150","7440","2","0"
"abcdefg30","Unit158","20150","7440","2","0"
"Mailaender","Phrohdoh","20150","7440","2222","2"
"pchote","Phrohdoh","20150","7440","010","2"
"JohnnyXP64","Phrohdoh","20150","7440","000210","2"
"LipkeGu","Phrohdoh","20150","7440","2","2"
"abcdefg30","Phrohdoh","20150","7440","2","2"
"JohnnyXP64","LipkeGu","20150","7440","000210","2"
"abcdefg30","LipkeGu","20150","7440","2","2"
"huwpascoe","Mailaender","20150","7441","2222","2"
"LipkeGu","Mailaender","20150","7441","2","2"
"chrisforbes","Mailaender","20150","7441","0","2"
"Mailaender","pchote","20150","7441","2","212"
"huwpascoe","pchote","20150","7441","2222","212"
"LipkeGu","pchote","20150","7441","2","212"
"chrisforbes","pchote","20150","7441","0","212"
"chrisforbes","huwpascoe","20150","7441","0","2222"
"huwpascoe","LipkeGu","20150","7441","2222","2"
"chrisforbes","LipkeGu","20150","7441","0","2"
"penev92","pevers","20150","7442","11","2202"
"jabbink","pevers","20150","7442","0","2202"
"obrakmann","pevers","20150","7442","2","2202"
"chrisforbes","pevers","20150","7442","2","2202"
"jabbink","penev92","20150","7442","0","11"
"obrakmann","penev92","20150","7442","2","11"
"chrisforbes","penev92","20150","7442","2","11"
"chrisforbes","jabbink","20150","7442","2","0"
"jabbink","obrakmann","20150","7442","0","2"
"chrisforbes","obrakmann","20150","7442","2","2"
"pevers","Phrohdoh","20150","7442","2202","2"
"penev92","Phrohdoh","20150","7442","11","2"
"jabbink","Phrohdoh","20150","7442","0","2"
"obrakmann","Phrohdoh","20150","7442","2","2"
