name,year_week,issue_num,label
penev92,201518,7426,2
LipkeGu,20156,7427,2122
Unit158,20156,7427,00
Phrohdoh,20156,7427,222
pchote,20156,7427,22
Mailaender,20156,7427,2
Unit158,201534,7427,2
Mailaender,201534,7427,2
obrakmann,20156,7428,2
cjshmyr,20156,7429,1
chrisforbes,20156,7429,2
dan9550,20156,7429,2
penev92,20156,7429,0
Phrohdoh,20156,7429,2
Phrohdoh,20156,7430,22
Rydra,20156,7430,1222
Mailaender,20156,7430,22
RoosterDragon,20156,7430,11
Rydra,20157,7430,0221211122
pchote,20157,7430,20
LipkeGu,20157,7430,2
Micr0Bit,20157,7430,022
penev92,20157,7430,1
deniz1a,20157,7430,2
LipkeGu,20158,7430,2
Rydra,20158,7430,2
Mailaender,20156,7432,2
LipkeGu,20156,7432,22
LipkeGu,20157,7432,2
pchote,20157,7432,2
penev92,20157,7433,2
Nelax,20157,7433,20
abcdefg30,20157,7433,2
obrakmann,20157,7433,0
Nelax,20158,7433,222
Mailaender,20158,7433,22
abcdefg30,201510,7433,2
Nelax,201510,7433,0
Nelax,201511,7433,0
pchote,20175,7433,2
penev92,20156,7434,2
deniz1a,20156,7434,00
Mailaender,20156,7435,2
obrakmann,20156,7435,2
obrakmann,20156,7436,20
ScottNZ,20156,7436,22
penev92,20157,7436,2
obrakmann,20157,7436,2
Mailaender,20157,7436,1
obrakmann,20156,7437,1
abcdefg30,20156,7437,2
Mailaender,20156,7437,2
42foobar42,20157,7437,22221
abcdefg30,20157,7437,220
obrakmann,20157,7437,21
xan2622,20157,7438,2
MunWolf,20157,7438,2
Phrohdoh,20159,7438,2
Mailaender,20156,7439,2
ScottNZ,20157,7439,22
Mailaender,20157,7439,22
obrakmann,20157,7439,2
penev92,20157,7439,2
ihptru,20158,7439,2
Mailaender,20156,7440,222
pchote,20156,7440,0
JohnnyXP64,20156,7440,0002
Unit158,20156,7440,0
Phrohdoh,20156,7440,2
pchote,20157,7440,1
JohnnyXP64,20157,7440,1
Mailaender,20157,7440,2
LipkeGu,20158,7440,2
JohnnyXP64,20158,7440,0
abcdefg30,20158,7440,2
pchote,201511,7440,0
Mailaender,20156,7441,2
pchote,20156,7441,2
huwpascoe,20156,7441,222
LipkeGu,20157,7441,2
chrisforbes,20157,7441,0
pchote,20157,7441,1
huwpascoe,20157,7441,2
pchote,201511,7441,2
pevers,20159,7442,2202
penev92,20159,7442,11
jabbink,20159,7442,0
obrakmann,20159,7442,2
chrisforbes,20159,7442,2
Phrohdoh,201511,7442,2
Mailaender,20156,7443,2
karona75,20157,7444,222
xan2622,20157,7444,2
Unit158,20157,7444,2
Phrohdoh,20156,7445,220
jwbuurlage,20156,7445,10
Mailaender,20157,7445,22
obrakmann,20157,7445,21
Phrohdoh,20157,7446,2
atimoschenkow,20157,7446,2
Mailaender,20157,7446,1
obrakmann,20157,7446,21
jabbink,20159,7447,22
pevers,20159,7447,1
penev92,20159,7447,1
xan2622,20157,7448,2
karona75,20157,7448,2
obrakmann,20157,7448,2
LipkeGu,20158,7448,22
xan2622,20158,7448,2
Phrohdoh,20157,7449,2
penev92,20157,7449,22
Mailaender,20157,7449,22
DaveAxiom,20157,7449,20
Unit158,20157,7449,0
Micr0Bit,20157,7449,0
pchote,20157,7450,2
Computerfreaked,20157,7450,1
pchote,201547,7451,2222
rmoriz,201547,7451,2
Mailaender,20157,7452,222
penev92,20157,7452,22
xan2622,20157,7452,2
MustaphaTR,20157,7452,2
pchote,20157,7452,222
Nelax,20157,7453,202
chrisforbes,20157,7453,2
Computerfreaked,20157,7453,2
obrakmann,201545,7453,2
Nelax,20157,7454,00
Computerfreaked,20157,7454,2
obrakmann,20157,7454,2
Unit158,201522,7454,2
obrakmann,201522,7454,0
obrakmann,201712,7454,2
pchote,201547,7455,2
Phrohdoh,20157,7456,22
pchote,20157,7456,20
Mailaender,20157,7456,2
penev92,20157,7456,2
rappo,20157,7456,11
Phrohdoh,20157,7457,2
pchote,20157,7457,122202
Mailaender,20157,7457,202222
penev92,20157,7457,2
penev92,20158,7457,2
ihptru,20157,7458,2
obrakmann,20157,7458,2
pchote,20157,7458,22
Mailaender,20157,7458,212
ghost,20158,7458,1
SoScared,20158,7458,2
Mailaender,201528,7458,2
penev92,20157,7459,2
Mailaender,20157,7460,2222
pchote,20157,7460,220
obrakmann,20157,7460,222
Mailaender,20157,7461,222222
Nelax,20157,7461,2
pchote,20157,7461,2222
pchote,20158,7461,222
Mailaender,20158,7461,222
reaperrr,20158,7461,2
obrakmann,20158,7461,10
Mailaender,20157,7462,2
abcdefg30,20158,7462,2
Mailaender,20158,7462,2
Smith00101010,20157,7463,22222
Phrohdoh,20157,7463,2
Mailaender,20157,7463,222
obrakmann,20157,7463,020
obrakmann,20158,7463,2
pchote,201511,7463,2
Smith00101010,201511,7463,0
Smith00101010,201513,7463,22
Mailaender,201513,7463,22
Smith00101010,201516,7463,2
abcdefg30,201516,7463,2
obrakmann,201516,7463,0
penev92,201517,7463,2
Phrohdoh,20157,7464,0
Unit158,20157,7465,22
GeertJohan,20157,7465,02
ihptru,20157,7465,0
LipkeGu,20157,7465,2
MustaphaTR,20157,7466,1
Unit158,20157,7466,2
cjshmyr,20157,7466,2
Phrohdoh,20157,7466,2
Phrohdoh,20159,7466,2
penev92,201519,7466,2
xan2622,201521,7466,2
xan2622,201526,7466,2
GraionDilach,201526,7466,22
penev92,201526,7466,2
GeertJohan,20157,7467,202
ScottNZ,20157,7467,2
pchote,20157,7467,2
penev92,20157,7467,2
Phrohdoh,20157,7467,21
penev92,20157,7468,2222
MunWolf,20157,7468,1
Mailaender,20157,7468,2
obrakmann,20159,7468,20
pchote,20159,7468,2
pchote,201511,7468,2
pchote,201512,7468,2
penev92,201513,7468,2
MustaphaTR,20157,7469,2
penev92,20157,7469,2
matija-hustic,201521,7469,2
Phrohdoh,201521,7469,2
penev92,201524,7469,2
xan2622,20157,7470,0
penev92,20157,7471,2
Mailaender,20157,7471,1
pevers,20158,7472,2
obrakmann,20157,7473,22
xan2622,20157,7474,2222
Phrohdoh,20157,7474,222
penev92,20157,7474,02
Mailaender,20157,7474,01222
pchote,20157,7474,22
dan9550,20158,7474,022
xan2622,20158,7474,102
Mailaender,20158,7474,22
Phrohdoh,20158,7474,2
xan2622,20159,7474,2
Mailaender,20159,7474,22
Phrohdoh,20159,7474,2
xan2622,201512,7474,2
abcdefg30,20157,7475,11
Mailaender,20157,7475,2
pchote,20157,7475,2
obrakmann,20159,7475,222
abcdefg30,20159,7475,21
Mailaender,201510,7475,2
pchote,201514,7475,2
Unit158,201517,7475,2
abcdefg30,201517,7475,2
pchote,201517,7475,2
abcdefg30,201518,7475,222
Phrohdoh,201518,7475,2
pchote,201518,7475,12
obrakmann,201518,7475,1
abcdefg30,20157,7476,2
abcdefg30,20158,7476,2
pchote,20158,7476,0
Phrohdoh,20158,7476,2
obrakmann,20159,7476,01
abcdefg30,20159,7476,2
abcdefg30,201510,7476,2
Phrohdoh,201510,7476,2
Mailaender,201510,7476,2
Phrohdoh,201511,7476,12
Mailaender,20157,7477,20
pchote,20157,7477,222
Mailaender,20158,7477,22
pchote,20158,7477,2222
penev92,20158,7477,02
penev92,20159,7477,22
pchote,20159,7477,22
Mailaender,20159,7477,222
penev92,201510,7477,02
obrakmann,201510,7477,22
pchote,201510,7477,2
deniz1a,20157,7478,2
Phrohdoh,20157,7478,2
Unit158,20157,7478,2
GeertJohan,20157,7478,2
chrisforbes,20157,7478,2
elegantandrogyne,201514,7478,0
MustaphaTR,201514,7478,2
RoosterDragon,20158,7479,2
obrakmann,20158,7479,2022
Mailaender,20158,7479,22
Mailaender,20158,7480,2
penev92,20157,7481,2
deniz1a,20157,7481,2
Mailaender,20158,7482,2
reaperrr,20158,7483,022
pchote,20158,7483,222
Mailaender,20158,7483,222
Unit158,20158,7484,2
pchote,20158,7484,0
Mailaender,20158,7484,2
xan2622,20158,7485,2
penev92,20158,7485,02
LipkeGu,20158,7485,2
dan9550,20158,7485,2
Nelax,20158,7485,2
pchote,201547,7485,2
penev92,20158,7486,22
pchote,20158,7486,2
Phrohdoh,20158,7486,2
pevers,20158,7486,12
obrakmann,20158,7486,2
Micr0Bit,20158,7487,22
abcdefg30,20158,7487,02
obrakmann,20158,7487,2
pchote,20158,7487,1
deniz1a,20158,7487,2
penev92,20158,7487,1
obrakmann,20159,7487,22
chrisforbes,20158,7488,22
pchote,20158,7488,22
Phrohdoh,20158,7489,2
LipkeGu,20158,7490,2
epicelite,20158,7490,2
penev92,20158,7490,2
Phrohdoh,20158,7490,2
Mailaender,201547,7490,2
penev92,20158,7492,22122
Computerfreaked,20158,7492,2
pchote,20158,7492,2
Mailaender,201511,7492,2
penev92,201511,7492,2
obrakmann,201511,7492,1
abcdefg30,201512,7492,2
Mailaender,201512,7492,222
penev92,201512,7492,2
LipkeGu,20158,7494,1
ihptru,20158,7494,22
blarg227,20158,7494,1
pchote,201519,7494,2
reaperrr,20158,7495,2
Mailaender,20158,7495,1
penev92,20158,7495,2
penev92,20158,7496,222
Computerfreaked,20158,7496,02
pchote,20158,7496,2
SoScared,20158,7497,1
Mailaender,20158,7497,2
LipkeGu,20158,7498,0
pchote,20158,7498,2
pevers,20159,7498,02
penev92,20159,7498,22
pevers,20159,7499,2
penev92,201515,7499,22
reaperrr,201515,7499,2
Phrohdoh,20158,7500,2
penev92,20158,7501,1
LipkeGu,20158,7501,2
Nelax,20158,7501,21
Mailaender,20158,7501,1
obrakmann,20159,7501,2020
Nelax,20159,7501,2012
obrakmann,201510,7501,2
Mailaender,201510,7501,1
Nelax,201510,7501,1
SilverlineDev,201513,7501,222
chrisforbes,201513,7501,2
obrakmann,201513,7501,2
Nelax,201514,7501,0
