developer1,developer2,cr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
jreback,jorisvandenbossche,0.524,1443,40964,9130
jreback,TomAugspurger,0.593,1328,40964,7799
jreback,codecov[bot],0.731,697,40964,6039
jreback,cpcloud,0.634,435,40964,4373
jreback,gfyoung,0.572,713,40964,3786
jreback,wesm,0.626,337,40964,3035
jreback,jbrockmendel,0.633,491,40964,2453
jreback,jtratner,0.629,253,40964,2441
jreback,ghost,0.594,295,40964,2277
jreback,WillAyd,0.53,384,40964,1864
jreback,pep8speaks,0.235,452,40964,1536
jreback,shoyer,0.53,556,40964,1509
jreback,sinhrks,0.635,438,40964,1242
jreback,hayd,0.564,314,40964,1216
jreback,datapythonista,0.438,206,40964,1014
jreback,chris-b1,0.595,444,40964,982
jreback,mroeschke,0.594,393,40964,947
jreback,codecov-io,0.817,294,40964,910
jreback,toobaz,0.53,340,40964,809
jreback,h-vetinari,0.501,193,40964,698
jreback,cancan101,0.733,139,40964,573
jreback,changhiskhan,0.63,77,40964,566
jreback,bashtage,0.661,226,40964,520
jreback,jankatins,0.594,171,40964,448
jreback,rockg,0.588,211,40964,409
jreback,jseabold,0.596,130,40964,402
jreback,topper-123,0.623,222,40964,398
jreback,max-sixty,0.606,187,40964,389
jreback,jschendel,0.552,232,40964,378
jreback,immerrr,0.602,124,40964,322
jreback,seth-p,0.575,94,40964,310
jreback,michaelaye,0.514,116,40964,299
jreback,kawochen,0.708,156,40964,287
jreback,dsm054,0.687,121,40964,229
jreback,yarikoptic,0.634,93,40964,224
jreback,lodagro,0.693,46,40964,222
jreback,Dr-Irv,0.608,117,40964,220
jreback,nickeubank,0.427,99,40964,214
jreback,danielballan,0.571,87,40964,207
jreback,simonjayhawkins,0.544,81,40964,206
jreback,Komnomnomnom,0.53,64,40964,206
jreback,stephenwlin,0.614,34,40964,199
jreback,timmie,0.65,19,40964,183
jreback,behzadnouri,0.68,98,40964,173
jreback,dalejung,0.616,74,40964,156
jreback,nbonnotte,0.611,64,40964,155
jreback,mortada,0.596,83,40964,150
jreback,adamklein,0.536,3,40964,149
jreback,qwhelan,0.556,81,40964,142
jreback,tacaswell,0.663,91,40964,138
jreback,takluyver,0.477,28,40964,137
jreback,gliptak,0.578,63,40964,135
jreback,bjonen,0.58,68,40964,134
jreback,jmcnamara,0.607,65,40964,131
jreback,alimcmaster1,0.415,67,40964,131
jreback,parthea,0.722,64,40964,129
jreback,artemyk,0.615,57,40964,126
jreback,rosnfeld,0.517,65,40964,125
jreback,randomgambit,0.428,41,40964,119
jreback,ischwabacher,0.585,51,40964,118
jreback,dragoljub,0.49,65,40964,110
jreback,MichaelWS,0.63,41,40964,109
jreback,chrisaycock,0.628,55,40964,108
jreback,mrocklin,0.588,58,40964,103
jreback,bluefir,0.48,33,40964,101
jreback,scls19fr,0.502,49,40964,99
jreback,Licht-T,0.524,40,40964,99
jreback,fonnesbeck,0.562,31,40964,96
jreback,minggli,0.494,60,40964,96
jreback,ruidc,0.589,25,40964,95
jreback,dhimmel,0.625,46,40964,87
jreback,charlesdong1991,0.362,43,40964,87
jreback,alexander-ponomaroff,0.451,37,40964,83
jreback,terrytangyuan,0.592,16,40964,81
jreback,mangecoeur,0.475,40,40964,80
jreback,ResidentMario,0.496,22,40964,80
jreback,neirbowj,0.582,43,40964,80
jreback,alefnula,0.63,22,40964,80
jreback,westurner,0.603,31,40964,79
jreback,jnothman,0.568,40,40964,79
jreback,danbirken,0.419,45,40964,79
jreback,lexual,0.676,33,40964,78
jreback,pijucha,0.681,42,40964,78
jreback,ryankarlos,0.422,43,40964,78
jreback,thoo,0.519,26,40964,78
jreback,pganssle,0.419,37,40964,77
jreback,kshedden,0.528,47,40964,75
jreback,onesandzeroes,0.518,47,40964,75
jreback,dhirschfeld,0.547,37,40964,75
jreback,tdpetrou,0.592,42,40964,75
jreback,davidastephens,0.668,43,40964,75
jreback,unutbu,0.603,31,40964,75
jreback,evanpw,0.667,42,40964,74
jreback,nehalecky,0.385,47,40964,74
jreback,aileronajay,0.726,24,40964,74
jreback,jnmclarty,0.501,30,40964,72
jreback,uds5501,0.44,25,40964,72
jreback,njsmith,0.363,34,40964,71
jreback,twiecki,0.484,25,40964,71
jreback,kay1793,0.347,31,40964,70
jreback,saurav2608,0.658,35,40964,69
jreback,kernc,0.656,50,40964,68
jreback,Liam3851,0.534,44,40964,68
jreback,dsaxton,0.507,43,40964,67
jreback,denfromufa,0.677,41,40964,65
jreback,bobhaffner,0.468,31,40964,64
jreback,dbew,0.413,23,40964,64
jreback,zfrenchee,0.56,35,40964,63
jreback,jonmmease,0.502,42,40964,63
jreback,ssanderson,0.581,24,40964,62
jreback,guyrt,0.709,32,40964,62
jreback,jacobschaer,0.572,38,40964,61
jreback,hexgnu,0.483,30,40964,60
jreback,llllllllll,0.583,40,40964,59
jreback,javadnoorb,0.501,29,40964,59
jreback,JustinZhengBC,0.591,40,40964,59
jreback,lbeltrame,0.805,11,40964,58
jreback,ArtinSarraf,0.651,38,40964,57
jreback,toddrjen,0.662,22,40964,56
jreback,gerigk,0.445,13,40964,56
jreback,amelio-vazquez-reina,0.367,29,40964,56
jreback,jzwinck,0.459,30,40964,56
jreback,stonebig,0.62,18,40964,56
jreback,springcoil,0.639,21,40964,55
jreback,aldanor,0.564,23,40964,55
jreback,cbertinato,0.634,39,40964,55
jreback,makmanalp,0.505,30,40964,54
jreback,cbrnr,0.548,31,40964,54
jreback,agraboso,0.776,15,40964,53
jreback,FHaase,0.576,25,40964,52
jreback,jowens,0.538,22,40964,50
jreback,hugadams,0.407,28,40964,50
jreback,clham,0.489,27,40964,49
jreback,jaimefrio,0.405,21,40964,49
jreback,nipunbatra,0.589,16,40964,49
jreback,adamgreenhall,0.695,22,40964,48
jreback,mitar,0.622,15,40964,48
jreback,nmusolino,0.636,29,40964,48
jreback,wavexx,0.53,23,40964,47
jreback,femtotrader,0.644,23,40964,47
jreback,reidy-p,0.402,44,40964,47
jreback,filmor,0.658,34,40964,46
jreback,selasley,0.598,27,40964,46
jreback,iwschris,0.558,24,40964,46
jreback,snth,0.604,19,40964,46
jreback,elmq0022,0.365,31,40964,46
jreback,brute4s99,0.575,14,40964,46
jreback,pfrcks,0.648,14,40964,45
jreback,dahlbaek,0.503,16,40964,45
jreback,cottrell,0.597,35,40964,44
jreback,jsexauer,0.647,21,40964,44
jreback,patricktokeeffe,0.616,22,40964,43
jreback,TrigonaMinima,0.652,20,40964,43
jreback,xhochy,0.641,28,40964,43
jreback,illegalnumbers,0.382,15,40964,43
jreback,tvyomkesh,0.49,20,40964,43
jreback,stephen-hoover,0.455,15,40964,42
jreback,discort,0.689,26,40964,42
jreback,vfilimonov,0.417,25,40964,42
jreback,Themanwithoutaplan,0.613,20,40964,41
jreback,kokes,0.563,23,40964,41
jreback,louispotok,0.441,29,40964,41
jreback,Winand,0.726,29,40964,41
jreback,Sup3rGeo,0.52,25,40964,41
jreback,1kastner,0.517,21,40964,41
jreback,phaebz,0.516,21,40964,40
jreback,mcwitt,0.487,23,40964,40
jreback,jlec,0.64,17,40964,39
jreback,dickreuter,0.677,24,40964,39
jreback,dieterv77,0.463,17,40964,39
jreback,olgabot,0.48,17,40964,39
jreback,OXPHOS,0.535,23,40964,38
jreback,mdmueller,0.537,21,40964,38
jreback,vnlitvin,0.57,14,40964,38
jreback,vaibhavhrt,0.502,8,40964,38
jreback,jennolsen84,0.613,23,40964,37
jreback,benjello,0.532,28,40964,36
jreback,mwaskom,0.426,16,40964,36
jreback,xflr6,0.737,22,40964,36
jreback,stahlous,0.599,22,40964,36
jreback,ahcub,0.592,23,40964,36
jreback,KalyanGokhale,0.447,26,40964,36
jreback,metakermit,0.528,23,40964,36
jreback,bwignall,0.692,19,40964,36
jreback,scari,0.562,26,40964,35
jreback,nparley,0.509,20,40964,35
jreback,dacoex,0.573,24,40964,35
jreback,pwaller,0.584,16,40964,35
jreback,peterpanmj,0.629,28,40964,35
