name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0-wiz-0,dhomeier,0.83,0.0,0.0,0.0,0.0,1.0,5,6,5,0,0,0,1,7
0-wiz-0,jorisvandenbossche,1.0,0.0,0.0,0.0,0.0,0.7959999999999999,5,10540,1,0,0,0,1,2
0-wiz-0,jreback,1.0,0.0,0.0,0.0,0.0,0.835,5,28609,4,0,0,0,1,5
0-wiz-0,nbonnotte,0.25,0.0,0.0,0.0,0.0,0.89,5,84,1,0,0,0,1,5
0-wiz-0,yarikoptic,1.0,0.0,0.0,0.0,0.0,0.857,5,183,1,0,0,0,1,2
0Hughman0,chris-b1,0.0,0.5,0.0,0.0,0.5,0.8370000000000001,1,1377,0,1,0,0,1,3
0anton,TomAugspurger,1.0,0.0,0.0,0.0,0.0,0.8640000000000001,3,9311,2,0,0,0,1,3
0anton,kszucs,1.0,0.0,0.0,0.0,0.0,0.0,3,5,1,0,0,0,1,2
0anton,makmanalp,1.0,0.0,0.0,0.0,0.0,0.741,3,83,1,0,0,0,1,2
0phoff,Suor,0.0,0.0,0.0,0.0,1.0,0.0,5,4,0,0,0,0,1,5
0phoff,WillAyd,0.0,0.0,0.0,0.0,1.0,0.823,5,2735,0,0,0,0,1,2
0phoff,frol,0.0,1.0,0.0,0.0,1.0,0.75,5,29,0,1,0,0,1,2
0phoff,jreback,0.0,0.25,0.0,0.0,1.0,0.835,5,28609,0,1,0,0,2,5
0x0L,TomAugspurger,1.0,0.0,0.0,0.0,0.909,0.8640000000000001,8,9311,1,0,0,0,1,2
0x0L,andyljones,0.5,0.0,0.0,0.0,0.909,0.0,8,3,3,0,0,0,1,7
0x0L,gfyoung,0.67,0.0,0.0,0.0,0.909,0.8109999999999999,8,4256,4,0,0,0,1,5
0x0L,holymonson,0.5,0.08,0.0,0.0,0.909,0.938,8,21,6,1,0,0,1,7
0x0L,jreback,0.735,0.015,0.0,0.03,0.909,0.835,8,28609,19,1,0,2,2,15
0x0L,rambo-yuanbo,0.5,0.0,0.0,0.0,0.909,0.8,8,4,3,0,0,0,1,7
0x0L,shenker,1.0,0.0,0.0,0.0,0.909,0.0,8,12,1,0,0,0,1,2
11rohans,WillAyd,0.0,1.0,0.0,0.0,1.0,0.823,2,2735,0,1,0,0,1,2
11rohans,toobaz,0.5,0.0,0.0,0.5,1.0,0.9109999999999999,2,746,1,0,0,1,1,3
121onto,TKlerx,0.8,0.0,0.0,0.0,0.7140000000000001,0.0,13,9,4,0,0,0,1,6
121onto,TomAugspurger,0.4,0.1,0.4,0.0,0.7140000000000001,0.8640000000000001,13,9311,4,1,4,0,1,11
121onto,bolau,0.8,0.0,0.0,0.0,0.7140000000000001,0.0,13,4,4,0,0,0,1,6
121onto,ddofer,0.2,0.0,0.2,0.0,0.7140000000000001,0.0,13,4,1,0,1,0,1,6
121onto,jankatins,0.0,0.0,0.0,0.0,0.7140000000000001,0.904,13,469,0,0,0,0,1,2
121onto,jorisvandenbossche,0.67,0.17,0.67,0.0,0.7140000000000001,0.7959999999999999,13,10540,4,1,4,0,1,7
121onto,jreback,0.47333333333333333,0.0,0.04,0.0,0.7140000000000001,0.835,13,28609,26,0,1,0,3,23
121onto,kakl,1.0,0.0,0.0,0.0,0.7140000000000001,0.0,13,3,1,0,0,0,1,2
121onto,kynan,0.0,0.67,0.0,0.0,0.7140000000000001,1.0,13,18,0,2,0,0,1,4
121onto,mattilyra,0.0,1.0,0.0,0.0,0.7140000000000001,1.0,13,14,0,1,0,0,1,2
121onto,shoyer,1.0,0.0,0.0,0.0,0.7140000000000001,0.797,13,2338,2,0,0,0,1,3
13ene,TomAugspurger,0.0,0.0,0.0,0.0,0.0,0.8640000000000001,1,9311,0,0,0,0,1,2
1kastner,TomAugspurger,0.5833333333333334,0.0,0.0,0.08333333333333333,0.878,0.8640000000000002,27,9311,5,0,0,1,3,12
1kastner,WillAyd,0.5,0.0,0.0,0.0,0.878,0.823,27,2735,1,0,0,0,1,3
1kastner,bkmrkr,0.25,0.12,0.0,0.25,0.878,1.0,27,23,2,1,0,2,1,9
1kastner,codecov[bot],0.6433333333333334,0.0,0.0,0.0,0.878,0.0,27,10328,28,0,0,0,3,23
1kastner,gfyoung,0.4525,0.0475,0.14,0.03,0.878,0.8109999999999999,27,4256,8,3,2,2,4,17
1kastner,jbrockmendel,0.45,0.0375,0.01,0.045,0.878,0.9520000000000001,27,2663,57,7,2,8,4,55
1kastner,jorisvandenbossche,0.2675,0.08,0.03,0.16,0.878,0.7959999999999999,27,10540,15,4,1,8,4,25
1kastner,jreback,0.4075,0.0,0.0,0.0025,0.878,0.835,27,28609,123,0,0,2,4,48
1kastner,pep8speaks,0.0,0.035,0.0,0.0,0.878,0.0,27,5120,0,1,0,0,2,17
1kastner,scls19fr,1.0,0.0,0.0,0.0,0.878,0.828,27,124,1,0,0,0,1,2
3553x,codecov[bot],1.0,0.0,0.0,0.0,0.0,0.0,4,10328,10,0,0,0,1,7
3553x,gfyoung,0.71,0.0,0.0,0.0,0.0,0.8109999999999999,4,4256,25,0,0,0,1,12
3553x,jreback,0.67,0.0,0.0,0.0,0.0,0.835,4,28609,10,0,0,0,1,8
3553x,pep8speaks,0.0,0.0,0.0,0.0,0.0,0.0,4,5120,0,0,0,0,1,6
4a616d6573205265696c6c79,jreback,1.0,0.0,0.0,0.0,0.0,0.835,1,28609,1,0,0,0,1,2
4bic,codecov[bot],1.0,0.0,0.0,0.0,0.0,0.0,2,10328,1,0,0,0,1,2
4bic,jorisvandenbossche,0.5,0.0,0.0,0.0,0.0,0.7959999999999999,2,10540,1,0,0,0,1,3
515hikaru,FHaase,1.0,0.0,0.0,0.0,0.0,1.0,5,63,1,0,0,0,1,2
515hikaru,Geekly,1.0,0.0,0.0,0.0,0.0,0.0,5,7,2,0,0,0,1,3
515hikaru,WillAyd,0.0,0.0,0.0,0.0,0.0,0.823,5,2735,0,0,0,0,1,2
515hikaru,datapythonista,0.67,0.0,0.0,0.0,0.0,0.768,5,1385,2,0,0,0,1,4
515hikaru,mroeschke,1.0,0.0,0.0,0.0,0.0,0.851,5,1295,1,0,0,0,1,2
5hirish,TomAugspurger,1.0,0.0,0.0,0.0,0.0,0.8640000000000001,11,9311,14,0,0,0,2,10
5hirish,anjalibhavan,1.0,0.0,0.0,0.0,0.0,0.0,11,5,2,0,0,0,1,3
5hirish,codecov[bot],1.0,0.0,0.0,0.0,0.0,0.0,11,10328,4,0,0,0,1,5
5hirish,datapythonista,0.5,0.0,0.0,0.0,0.0,0.768,11,1385,2,0,0,0,1,4
5hirish,gfyoung,0.5,0.0,0.0,0.0,0.0,0.8109999999999999,11,4256,2,0,0,0,1,4
5hirish,jbrockmendel,0.0,0.0,0.0,0.0,0.0,0.9520000000000001,11,2663,0,0,0,0,1,3
5hirish,jreback,0.3333333333333333,0.0,0.0,0.0,0.0,0.835,11,28609,2,0,0,0,3,11
5hirish,pep8speaks,0.0,0.0,0.0,0.0,0.0,0.0,11,5120,0,0,0,0,1,5
691175002,jreback,1.0,0.0,0.0,0.0,0.0,0.835,1,28609,2,0,0,0,1,3
77QingLiu,MeetQingLiu,1.0,0.0,0.0,0.0,0.8,0.5,27,22,1,0,0,0,1,2
77QingLiu,ShichenXie,1.0,0.0,0.0,0.0,0.8,0.0,27,21,1,0,0,0,1,2
77QingLiu,TomAugspurger,0.835,0.0,0.0,0.0,0.8,0.8640000000000001,27,9311,3,0,0,0,2,6
77QingLiu,WillAyd,1.0,0.0,0.0,0.0,0.8,0.823,27,2735,1,0,0,0,1,2
77QingLiu,Zenadix,1.0,0.0,0.0,0.0,0.8,0.0,27,55,1,0,0,0,1,2
77QingLiu,andrewdalecramer,0.67,0.0,0.0,0.0,0.8,1.0,27,24,2,0,0,0,1,4
77QingLiu,darshanpandit,1.0,0.0,0.0,0.0,0.8,0.0,27,21,1,0,0,0,1,2
77QingLiu,gfyoung,1.0,0.0,0.0,0.0,0.8,0.8109999999999999,27,4256,2,0,0,0,1,3
77QingLiu,hayd,0.67,0.0,0.0,0.0,0.8,0.81,27,1289,2,0,0,0,1,4
