"name1","name2","issue_num","p1","p2"
"hector13","wesm","7","2","22"
"jreback","wesm","13","2","0"
"ghost","wesm","13","2","0"
"surbas","wesm","13","1","0"
"ghost","jreback","13","2","2"
"jreback","surbas","13","2","1"
"ghost","surbas","13","2","1"
"tgefell","wesm","22","012022","2212202"
"mpenning","wesm","23","2","221"
"knm","wesm","24","1","22"
"triplechess","wesm","31","1","02"
"triplechess","wesm","32","1","22"
"ghost","wesm","35","0","1"
"tgefell","wesm","36","22","222"
"ghost","wesm","37","11","11"
"ghost","wesm","38","1","1"
"cpcloud","CRP","39","2","2"
"CRP","lodagro","39","2","20"
"cpcloud","lodagro","39","2","20"
"jreback","lodagro","39","2","20"
"CRP","jreback","39","2","2"
"cpcloud","jreback","39","2","2"
"ghost","wesm","44","212","2"
"columW","wesm","51","21","1222"
"ivanistheone","wesm","58","2","22"
"rkern","wesm","59","22","1"
"lodagro","wesm","60","0","002222"
"BrenBarn","wesm","60","02","002222"
"dandavison","wesm","60","0","002222"
"maaku","wesm","60","2","002222"
"sebpiq","wesm","60","020","002222"
"jreback","wesm","60","222","002222"
"wesm","yonatanf","60","002222","11"
"lodagro","yonatanf","60","0","11"
"BrenBarn","yonatanf","60","02","11"
"dandavison","yonatanf","60","0","11"
"yarivm","yonatanf","60","2","11"
"maaku","yonatanf","60","2","11"
"sebpiq","yonatanf","60","020","11"
"jreback","yonatanf","60","222","11"
"BrenBarn","lodagro","60","02","0"
"dandavison","lodagro","60","0","0"
"jreback","lodagro","60","222","0"
"BrenBarn","dandavison","60","02","0"
"wesm","yarivm","60","002222","2"
"lodagro","yarivm","60","0","2"
"BrenBarn","yarivm","60","02","2"
"dandavison","yarivm","60","0","2"
"maaku","yarivm","60","2","2"
"sebpiq","yarivm","60","020","2"
"jreback","yarivm","60","222","2"
"lodagro","maaku","60","0","2"
"BrenBarn","maaku","60","02","2"
"dandavison","maaku","60","0","2"
"jreback","maaku","60","222","2"
"lodagro","sebpiq","60","0","020"
"BrenBarn","sebpiq","60","02","020"
"dandavison","sebpiq","60","0","020"
"maaku","sebpiq","60","2","020"
"jreback","sebpiq","60","222","020"
"BrenBarn","jreback","60","02","222"
"dandavison","jreback","60","0","222"
"fonnesbeck","wesm","77","22222220","22222211222222"
"keflavich","wesm","77","22221","22222211222222"
"snth","wesm","77","222","22222211222222"
"fonnesbeck","keflavich","77","22222220","22221"
"fonnesbeck","snth","77","22222220","222"
"keflavich","snth","77","22221","222"
"datakungfu","wesm","79","1","02"
"talltom","wesm","82","1","22"
"changhiskhan","wesm","85","1","22"
"changhiskhan","wesm","86","21","222"
"wesm","xdong","90","1","2"
"mdgoldberg","wesm","92","21","2"
"jreback","wesm","92","2","2"
"jreback","mdgoldberg","92","2","21"
"reckoner","wesm","99","1","21"
