name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
hector13,wesm,2010-09-20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ghost,surbas,2012-12-03,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
tgefell,wesm,2010-12-06,17,2,1,1,0.49,0.06,0.03,0.03,12,1,0.8,0.86
mpenning,wesm,2010-12-13,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
knm,wesm,2010-12-13,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
triplechess,wesm,2011-01-03,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
triplechess,wesm,2011-01-10,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
ghost,wesm,2011-02-14,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
tgefell,wesm,2011-02-21,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
ghost,wesm,2011-03-07,4,0,4,0,1.0,0.0,1.0,0.0,4,1,1.0,1.0
ghost,wesm,2011-03-14,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
ghost,wesm,2011-04-25,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
columW,wesm,2011-06-13,4,0,1,0,0.5,0.0,0.12,0.0,6,1,1.0,1.0
ivanistheone,wesm,2011-07-04,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
rkern,wesm,2011-07-04,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
wesm,yonatanf,2011-07-04,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
wesm,yonatanf,2011-07-11,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
BrenBarn,wesm,2012-05-21,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
BrenBarn,dandavison,2012-06-11,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
maaku,yarivm,2012-10-29,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
wesm,yarivm,2012-10-29,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
