name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0-wiz-0,jorisvandenbossche,2016-08-08,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0Hughman0,chris-b1,2017-04-24,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
0phoff,WillAyd,2019-02-18,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0phoff,jreback,2019-02-18,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0x0L,TomAugspurger,2018-07-23,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x0L,andyljones,2017-02-13,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0x0L,gfyoung,2018-07-16,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0x0L,gfyoung,2018-07-23,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
0x0L,holymonson,2018-07-16,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,4
0x0L,holymonson,2018-07-23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
0x0L,jreback,2015-09-14,0.5,0.0,0.0,0.12,0.5,0.75,4,0,0,1,1,6
0x0L,jreback,2015-10-05,0.67,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
0x0L,jreback,2019-03-25,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
11rohans,toobaz,2018-05-07,0.5,0.0,0.0,0.5,0.0,0.5,1,0,0,1,1,3
121onto,TomAugspurger,2015-11-23,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
121onto,jorisvandenbossche,2015-11-23,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
121onto,jreback,2015-09-28,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
121onto,jreback,2015-10-05,0.8,0.0,0.0,0.0,1.0,1.0,16,0,0,0,1,9
121onto,jreback,2015-11-23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
121onto,kynan,2015-11-23,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
13ene,TomAugspurger,2016-07-04,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1kastner,TomAugspurger,2017-10-23,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
1kastner,TomAugspurger,2018-10-08,0.5,0.0,0.0,0.5,0.0,0.5,1,0,0,1,1,3
1kastner,TomAugspurger,2018-10-15,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
1kastner,bkmrkr,2017-10-09,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
1kastner,codecov[bot],2017-09-04,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
1kastner,codecov[bot],2017-10-23,0.83,0.0,0.0,0.0,0.83,1.0,10,0,0,0,1,8
1kastner,codecov[bot],2017-11-13,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,3
1kastner,gfyoung,2017-09-04,0.75,0.0,0.5,0.0,1.0,1.0,2,0,1,0,2,5
1kastner,gfyoung,2017-10-23,0.5,0.0,0.17,0.0,1.0,1.0,3,0,1,0,1,5
1kastner,gfyoung,2017-11-20,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
1kastner,jbrockmendel,2017-11-13,0.45999999999999996,0.04,0.0,0.08333333333333333,0.5,0.8333333333333334,21,2,0,4,3,26
1kastner,jbrockmendel,2017-11-20,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
1kastner,jorisvandenbossche,2017-09-04,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
1kastner,jorisvandenbossche,2017-11-13,0.125,0.0,0.0,0.0,0.25,1.0,1,0,0,0,2,7
1kastner,jreback,2017-06-19,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1kastner,jreback,2017-09-11,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
1kastner,jreback,2017-10-23,0.5,0.0,0.0,0.08,0.83,0.5,6,0,0,1,1,8
1kastner,jreback,2017-11-06,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
1kastner,jreback,2017-11-13,0.35000000000000003,0.0,0.0,0.0,0.5,0.9333333333333332,21,0,0,0,3,19
1kastner,pep8speaks,2017-09-04,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
1kastner,pep8speaks,2017-10-23,0.0,0.17,0.0,0.0,0.83,1.0,0,1,0,0,1,7
3553x,codecov[bot],2017-07-03,1.0,0.0,0.0,0.0,1.0,1.0,10,0,0,0,1,7
