cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2017-10-23,0,1,0,0,1.0,1.0
0,0,2017-10-30,0,0,0,0,0.0,0.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
2,0,2017-11-13,0,1,0,0,1.0,0.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
2,0,2017-12-04,0,1,0,0,1.0,0.0
2,0,2017-12-11,0,1,0,0,1.0,0.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
8,2,2018-02-12,1,3,1,0,0.3333333333333333,0.89
5,3,2018-02-19,0,1,0,1,1.0,1.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
2,1,2018-03-05,0,1,0,0,1.0,1.0
17,8,2018-03-12,0,5,0,0,0.96,0.934
22,10,2018-03-19,1,3,1,0,0.8233333333333333,0.9166666666666666
19,14,2018-03-26,0,5,0,0,1.0,0.828
4,1,2018-04-02,0,2,0,0,1.0,1.0
2,0,2018-04-09,0,1,0,0,1.0,1.0
3,2,2018-04-16,0,1,0,0,1.0,1.0
13,15,2018-04-23,0,2,0,0,0.89,1.0
9,1,2018-04-30,1,3,0,0,1.0,0.89
2,1,2018-05-07,0,1,0,0,1.0,1.0
9,4,2018-05-14,0,3,0,1,0.6666666666666666,1.0
3,0,2018-05-21,1,1,0,0,0.0,1.0
2,1,2018-05-28,0,1,0,0,1.0,1.0
11,9,2018-06-04,0,2,0,0,1.0,1.0
3,2,2018-06-11,0,1,0,0,1.0,1.0
0,0,2018-06-18,0,0,0,0,0.0,0.0
3,1,2018-06-25,0,1,0,0,0.5,1.0
2,1,2018-07-02,0,1,0,0,1.0,1.0
2,0,2018-07-09,0,1,0,0,0.0,1.0
4,4,2018-07-16,0,1,0,0,1.0,1.0
11,4,2018-07-23,0,3,0,0,1.0,0.8333333333333334
2,1,2018-07-30,0,1,0,0,1.0,1.0
13,7,2018-08-06,0,4,0,0,1.0,0.875
27,12,2018-08-13,0,9,0,3,1.0,0.7777777777777778
7,5,2018-08-20,0,2,0,0,1.0,1.0
11,7,2018-08-27,0,3,0,0,1.0,1.0
6,3,2018-09-03,0,2,0,0,1.0,1.0
9,5,2018-09-10,0,3,0,0,0.9166666666666666,1.0
9,4,2018-09-17,0,4,0,1,1.0,1.0
2,1,2018-09-24,0,1,1,0,0.0,0.0
16,9,2018-10-01,0,5,1,0,0.8,0.9
5,1,2018-10-08,0,2,0,1,0.5,1.0
2,1,2018-10-15,0,1,0,0,1.0,1.0
16,9,2018-10-22,1,5,0,0,0.86,0.8
4,2,2018-10-29,0,2,0,0,1.0,1.0
13,6,2018-11-05,0,4,0,0,1.0,1.0
16,11,2018-11-12,0,5,0,0,1.0,1.0
4,1,2018-11-19,1,1,0,0,0.5,1.0
3,1,2018-11-26,0,1,0,0,1.0,0.5
4,1,2018-12-03,0,2,0,0,0.5,1.0
5,3,2018-12-10,0,1,1,0,0.5,0.6699999999999999
7,4,2018-12-17,0,2,0,1,1.0,1.0
4,1,2018-12-24,0,2,1,0,0.5,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
16,7,2019-01-07,0,4,0,0,0.97,1.0
23,12,2019-01-14,1,6,0,1,0.9033333333333332,1.0
12,5,2019-01-21,0,4,0,0,0.5,1.0
11,9,2019-01-28,0,3,0,1,1.0,1.0
14,9,2019-02-04,2,3,2,0,0.89,0.89
3,0,2019-02-11,0,1,0,0,0.0,1.0
10,10,2019-02-18,0,2,0,0,1.0,0.875
31,26,2019-02-25,5,6,1,1,0.9716666666666668,0.86
35,16,2019-03-04,3,9,1,2,0.7088888888888889,0.7222222222222222
22,9,2019-03-11,0,8,0,0,0.95875,0.875
0,0,2019-03-18,0,0,0,0,0.0,0.0
5,2,2019-03-25,0,1,0,0,1.0,0.75
12,8,2019-04-01,0,2,1,0,0.75,0.93
