cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2011-10-31,0,1,0,0,1.0,1.0
0,0,2011-11-07,0,0,0,0,0.0,0.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
0,0,2011-11-21,0,0,0,0,0.0,0.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
0,0,2011-12-05,0,0,0,0,0.0,0.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
4,2,2011-12-26,0,2,0,0,1.0,1.0
12,8,2012-01-02,0,4,0,0,1.0,0.75
7,7,2012-01-09,0,2,0,0,1.0,1.0
8,6,2012-01-16,0,1,0,0,1.0,1.0
46,69,2012-01-23,2,8,1,0,0.97875,0.8325
9,3,2012-01-30,0,4,0,0,1.0,1.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
8,8,2012-02-13,0,2,0,0,1.0,1.0
27,14,2012-02-20,0,8,0,1,1.0,1.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
11,5,2012-03-05,0,5,0,2,1.0,1.0
7,2,2012-03-12,0,3,0,0,1.0,1.0
0,0,2012-03-19,0,0,0,0,0.0,0.0
5,1,2012-03-26,0,2,1,0,0.5,0.5
0,0,2012-04-02,0,0,0,0,0.0,0.0
0,0,2012-04-09,0,0,0,0,0.0,0.0
0,0,2012-04-16,0,0,0,0,0.0,0.0
4,2,2012-04-23,0,2,0,0,1.0,1.0
0,0,2012-04-30,0,0,0,0,0.0,0.0
0,0,2012-05-07,0,0,0,0,0.0,0.0
0,0,2012-05-14,0,0,0,0,0.0,0.0
2,1,2012-05-21,0,1,0,0,1.0,1.0
