cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2018-06-11,0,1,0,1,1.0,1.0
6,1,2018-06-18,0,1,0,0,1.0,1.0
4,3,2018-06-25,0,1,0,3,1.0,1.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
0,0,2018-07-09,0,0,0,0,0.0,0.0
0,0,2018-07-16,0,0,0,0,0.0,0.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
4,1,2018-08-13,0,2,0,1,1.0,1.0
0,0,2018-08-20,0,0,0,0,0.0,0.0
0,0,2018-08-27,0,0,0,0,0.0,0.0
4,1,2018-09-03,0,1,0,0,1.0,1.0
0,0,2018-09-10,0,0,0,0,0.0,0.0
0,0,2018-09-17,0,0,0,0,0.0,0.0
0,0,2018-09-24,0,0,0,0,0.0,0.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
4,2,2018-10-08,0,1,0,2,1.0,1.0
7,3,2018-10-15,0,1,0,3,1.0,1.0
22,10,2018-10-22,0,6,0,2,1.0,1.0
16,8,2018-10-29,0,4,0,4,1.0,1.0
7,3,2018-11-05,0,3,0,1,1.0,0.8333333333333334
2,1,2018-11-12,0,1,0,1,1.0,1.0
9,4,2018-11-19,0,2,0,3,1.0,1.0
2,0,2018-11-26,1,1,0,0,1.0,0.0
0,0,2018-12-03,0,0,0,0,0.0,0.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
7,2,2018-12-31,0,2,0,1,1.0,1.0
3,0,2019-01-07,0,1,0,0,1.0,1.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
0,0,2019-01-21,0,0,0,0,0.0,0.0
5,1,2019-01-28,0,2,0,1,1.0,1.0
