cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
10,5,2014-08-11,4,2,1,4,0.9,0.835
27,46,2014-08-18,0,3,9,9,0.8733333333333334,0.8733333333333334
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
10,4,2014-09-08,1,2,0,2,1.0,0.875
22,23,2014-09-15,0,4,0,3,0.875,1.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
4,1,2014-11-17,0,2,1,0,0.5,0.5
17,20,2014-11-24,0,2,0,0,1.0,0.875
12,10,2014-12-01,0,2,0,6,1.0,0.75
4,2,2014-12-08,0,2,0,1,1.0,1.0
4,2,2014-12-15,0,1,0,0,1.0,1.0
20,28,2014-12-22,0,4,0,0,1.0,1.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
3,0,2015-01-19,0,1,0,0,1.0,1.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
4,2,2015-02-02,0,1,0,0,1.0,1.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
2,1,2015-02-23,0,1,0,0,1.0,1.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
11,25,2015-04-20,0,1,0,0,1.0,0.83
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
4,1,2015-05-11,0,2,0,1,1.0,0.5
0,0,2015-05-18,0,0,0,0,0.0,0.0
5,3,2015-05-25,0,1,0,0,1.0,1.0
5,0,2015-06-01,0,2,0,0,1.0,1.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
3,1,2015-07-06,0,1,0,0,1.0,1.0
