cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
12,10,2014-08-11,2,2,0,6,0.9,1.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
3,1,2014-09-15,0,1,0,0,1.0,1.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
6,6,2014-11-10,0,1,0,0,1.0,0.75
5,3,2014-11-17,0,1,0,1,1.0,1.0
8,6,2014-11-24,0,2,0,0,1.0,1.0
10,8,2014-12-01,3,1,0,0,1.0,0.8
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
4,0,2014-12-22,0,1,0,0,1.0,1.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
2,1,2015-02-02,0,1,0,0,1.0,1.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
4,2,2015-03-23,0,2,0,0,1.0,1.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
3,1,2015-04-06,0,1,0,0,1.0,1.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
11,9,2015-04-27,0,2,0,0,1.0,0.835
12,6,2015-05-04,2,2,2,0,0.25,0.875
0,0,2015-05-11,0,0,0,0,0.0,0.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
2,1,2015-06-01,0,1,0,0,1.0,1.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
8,8,2015-07-06,0,2,0,0,1.0,1.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
4,0,2015-07-20,1,1,0,0,1.0,0.0
3,2,2015-07-27,0,1,0,0,1.0,1.0
