cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,2,2014-03-03,0,1,0,0,1.0,1.0
15,16,2014-03-10,2,2,0,2,1.0,0.875
10,8,2014-03-17,0,2,0,0,1.0,1.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
12,21,2014-04-07,0,2,0,0,1.0,1.0
12,25,2014-04-14,0,1,0,0,1.0,1.0
17,27,2014-04-21,0,3,0,1,1.0,0.9433333333333334
0,0,2014-04-28,0,0,0,0,0.0,0.0
16,25,2014-05-05,1,2,0,0,0.875,1.0
16,20,2014-05-12,1,2,0,1,1.0,0.915
43,72,2014-05-19,3,5,1,0,0.96,0.8719999999999999
2,1,2014-05-26,0,1,0,0,1.0,1.0
2,0,2014-06-02,0,1,0,0,0.0,1.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
8,6,2014-06-16,0,2,0,0,1.0,1.0
2,0,2014-06-23,0,1,0,0,0.0,1.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
5,4,2014-07-14,0,1,0,0,1.0,0.6699999999999999
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
12,16,2014-09-08,2,1,1,0,0.88,0.75
18,29,2014-09-15,0,3,0,0,1.0,1.0
2,1,2014-09-22,0,1,0,0,1.0,1.0
27,47,2014-09-29,1,4,0,1,1.0,0.855
3,2,2014-10-06,0,1,0,0,1.0,1.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
2,1,2014-11-24,0,1,0,0,1.0,1.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
2,0,2014-12-22,0,1,0,0,1.0,1.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
2,1,2015-01-12,0,1,0,0,1.0,1.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
11,10,2015-03-09,3,1,0,0,1.0,0.6699999999999999
3,0,2015-03-16,0,1,0,0,1.0,1.0
