cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,4,2013-08-19,0,2,0,0,0.75,1.0
91,233,2013-08-26,2,8,3,0,0.80625,0.92375
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
9,11,2013-09-16,0,1,1,0,0.83,0.6699999999999999
39,48,2013-09-23,2,6,1,4,0.9583333333333334,0.7916666666666666
70,184,2013-09-30,0,7,0,0,1.0,0.9885714285714284
54,116,2013-10-07,0,7,0,2,0.9042857142857142,0.8571428571428571
38,33,2013-10-14,0,8,1,0,0.95875,0.975
37,58,2013-10-21,0,6,0,0,0.9766666666666666,0.805
55,59,2013-10-28,0,8,0,0,0.89125,0.96875
50,45,2013-11-04,2,9,0,0,1.0,0.977777777777778
5,4,2013-11-11,0,1,0,0,1.0,0.6699999999999999
2,0,2013-11-18,0,1,0,0,1.0,0.0
5,2,2013-11-25,0,2,0,0,1.0,0.75
0,0,2013-12-02,0,0,0,0,0.0,0.0
18,55,2013-12-09,1,1,0,1,0.91,1.0
9,7,2013-12-16,0,2,0,0,1.0,1.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
7,4,2013-12-30,0,3,0,0,1.0,1.0
