cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,0,2018-10-22,0,1,0,0,1.0,1.0
0,0,2018-10-29,0,0,0,0,0.0,0.0
0,0,2018-11-05,0,0,0,0,0.0,0.0
9,0,2018-11-12,0,1,0,0,0.62,1.0
9,0,2018-11-19,0,3,0,0,0.5566666666666666,1.0
3,0,2018-11-26,0,1,0,0,1.0,1.0
7,0,2018-12-03,0,2,0,0,0.75,1.0
3,0,2018-12-10,0,1,0,0,0.0,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
3,0,2019-01-14,0,1,0,0,1.0,1.0
7,0,2019-01-21,0,2,0,0,0.25,1.0
6,4,2019-01-28,0,1,0,0,1.0,1.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
3,0,2019-02-11,0,1,0,0,0.0,1.0
3,0,2019-02-18,0,1,0,0,1.0,1.0
