cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2017-03-06,0,1,0,0,1.0,1.0
17,8,2017-03-13,0,6,0,0,1.0,0.9666666666666668
0,0,2017-03-20,0,0,0,0,0.0,0.0
23,18,2017-03-27,0,7,0,0,1.0,1.0
24,18,2017-04-03,0,5,0,0,1.0,0.9
7,4,2017-04-10,0,2,0,0,1.0,0.875
28,28,2017-04-17,0,6,0,0,1.0,0.945
28,28,2017-04-24,0,4,0,0,1.0,0.87
10,9,2017-05-01,0,2,0,0,1.0,1.0
4,0,2017-05-08,0,1,0,0,1.0,0.5
8,1,2017-05-15,0,3,0,0,1.0,1.0
17,22,2017-05-22,0,3,0,0,1.0,1.0
9,8,2017-05-29,0,2,0,0,1.0,1.0
14,9,2017-06-05,0,4,0,0,1.0,0.6675
16,10,2017-06-12,0,1,0,0,1.0,0.73
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
98,73,2017-07-03,0,20,0,0,1.0,0.9305
58,31,2017-07-10,0,14,0,0,1.0,0.9207142857142856
40,30,2017-07-17,0,11,0,0,1.0,0.96
28,19,2017-07-24,0,9,0,0,1.0,1.0
31,14,2017-07-31,0,9,0,0,1.0,0.9633333333333334
9,0,2017-08-07,0,3,0,0,1.0,1.0
9,4,2017-08-14,0,3,0,0,1.0,1.0
22,13,2017-08-21,0,6,0,0,1.0,0.9583333333333334
12,7,2017-08-28,0,4,0,0,1.0,1.0
24,10,2017-09-04,0,7,0,0,1.0,0.8571428571428571
4,1,2017-09-11,0,2,0,0,1.0,1.0
5,2,2017-09-18,0,2,0,0,1.0,1.0
13,8,2017-09-25,0,4,0,0,1.0,1.0
22,19,2017-10-02,0,5,0,0,1.0,0.8539999999999999
5,1,2017-10-09,0,2,0,0,1.0,1.0
15,7,2017-10-16,0,4,0,0,1.0,0.8325
35,26,2017-10-23,0,11,0,0,1.0,1.0
15,7,2017-10-30,0,5,0,0,1.0,1.0
15,9,2017-11-06,0,3,0,0,1.0,0.9166666666666666
4,1,2017-11-13,0,2,0,0,1.0,1.0
23,10,2017-11-20,0,7,0,0,1.0,0.7857142857142857
19,18,2017-11-27,0,5,0,0,1.0,1.0
6,4,2017-12-04,0,2,0,0,1.0,1.0
9,2,2017-12-11,0,4,0,0,1.0,0.25
2,1,2017-12-18,0,1,0,0,1.0,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
21,10,2018-01-01,0,9,0,0,1.0,1.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
2,1,2018-01-15,0,1,0,0,1.0,1.0
10,3,2018-01-22,0,4,0,0,1.0,0.75
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
10,3,2018-02-19,0,4,0,0,1.0,0.875
4,2,2018-02-26,0,2,0,0,1.0,1.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
2,0,2018-03-26,0,1,0,0,1.0,1.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
6,2,2018-04-09,0,3,0,0,1.0,1.0
2,0,2018-04-16,0,1,0,0,1.0,1.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
23,11,2018-06-04,0,9,0,0,1.0,1.0
33,14,2018-06-11,0,11,0,0,1.0,0.9872727272727272
6,2,2018-06-18,0,3,0,0,1.0,1.0
5,3,2018-06-25,0,1,0,0,1.0,1.0
7,4,2018-07-02,0,3,0,0,1.0,1.0
21,12,2018-07-09,0,5,0,0,1.0,0.96
10,4,2018-07-16,0,4,0,0,1.0,1.0
17,10,2018-07-23,0,5,0,0,1.0,0.972
8,5,2018-07-30,0,3,0,0,1.0,1.0
8,1,2018-08-06,0,3,0,0,1.0,1.0
14,5,2018-08-13,0,7,0,0,1.0,0.8571428571428571
12,3,2018-08-20,0,5,0,0,1.0,1.0
12,5,2018-08-27,0,4,0,0,1.0,1.0
18,5,2018-09-03,0,7,0,0,1.0,0.9285714285714286
10,5,2018-09-10,0,4,0,0,1.0,1.0
6,1,2018-09-17,0,3,0,0,1.0,1.0
8,3,2018-09-24,0,4,0,0,1.0,1.0
2,1,2018-10-01,0,1,0,0,1.0,1.0
0,0,2018-10-08,0,0,0,0,0.0,0.0
10,6,2018-10-15,0,3,0,0,1.0,0.9166666666666666
28,12,2018-10-22,0,11,0,0,1.0,0.97
17,7,2018-10-29,0,8,0,0,1.0,1.0
28,13,2018-11-05,0,10,0,0,1.0,0.9
22,10,2018-11-12,0,8,0,0,1.0,0.9375
28,6,2018-11-19,0,12,0,0,1.0,1.0
18,7,2018-11-26,0,5,0,0,1.0,0.72
4,3,2018-12-03,0,1,0,0,1.0,1.0
3,0,2018-12-10,0,1,0,0,1.0,1.0
3,0,2018-12-17,0,1,0,0,1.0,1.0
10,2,2018-12-24,0,3,0,0,1.0,1.0
7,4,2018-12-31,0,2,0,0,1.0,1.0
9,4,2019-01-07,0,3,0,0,1.0,1.0
18,15,2019-01-14,0,4,0,0,1.0,0.875
18,8,2019-01-21,0,5,0,0,1.0,0.934
6,4,2019-01-28,0,2,0,0,1.0,1.0
6,2,2019-02-04,0,2,0,0,1.0,1.0
8,2,2019-02-11,0,3,0,0,1.0,0.6666666666666666
17,12,2019-02-18,0,4,0,0,1.0,0.9575
11,6,2019-02-25,0,3,0,0,1.0,1.0
7,6,2019-03-04,0,2,0,0,1.0,1.0
3,2,2019-03-11,0,1,0,0,1.0,1.0
13,8,2019-03-18,0,3,0,0,1.0,1.0
14,8,2019-03-25,0,4,0,0,1.0,1.0
7,6,2019-04-01,0,1,0,0,1.0,1.0
