cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
16,9,2017-03-13,0,6,0,0,1.0,1.0
5,0,2017-03-20,0,2,0,0,1.0,0.5
28,20,2017-03-27,0,7,0,0,1.0,0.9071428571428573
41,30,2017-04-03,0,10,0,0,1.0,0.9670000000000001
43,23,2017-04-10,0,11,0,0,1.0,0.9363636363636364
28,9,2017-04-17,0,10,0,0,1.0,0.767
35,20,2017-04-24,0,9,0,0,1.0,0.8888888888888888
25,8,2017-05-01,0,7,0,0,1.0,0.8328571428571429
8,3,2017-05-08,0,3,0,0,1.0,1.0
32,13,2017-05-15,0,10,0,0,1.0,0.9670000000000001
20,16,2017-05-22,0,5,0,0,1.0,0.76
4,0,2017-05-29,0,1,0,0,1.0,0.0
6,5,2017-06-05,0,2,0,0,1.0,1.0
12,4,2017-06-12,0,3,0,0,1.0,0.7766666666666667
3,2,2017-06-19,0,1,0,0,1.0,1.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
4,3,2017-07-17,0,1,0,0,1.0,1.0
11,8,2017-07-24,0,3,0,0,1.0,0.5566666666666666
18,6,2017-07-31,0,6,0,0,1.0,0.6666666666666666
14,7,2017-08-07,0,5,0,0,1.0,0.9
5,0,2017-08-14,0,2,0,0,1.0,0.0
5,1,2017-08-21,0,2,0,0,1.0,1.0
0,0,2017-08-28,0,0,0,0,0.0,0.0
7,2,2017-09-04,0,2,0,0,1.0,0.835
3,0,2017-09-11,0,1,0,0,1.0,0.0
13,3,2017-09-18,0,4,0,0,1.0,1.0
25,12,2017-09-25,0,8,0,0,1.0,0.6875
13,12,2017-10-02,0,3,0,0,1.0,0.8333333333333334
24,9,2017-10-09,0,8,0,0,1.0,1.0
19,9,2017-10-16,0,6,0,0,1.0,0.9666666666666668
3,2,2017-10-23,0,1,0,0,1.0,1.0
25,13,2017-10-30,0,8,0,0,1.0,0.83375
51,30,2017-11-06,0,15,0,0,1.0,0.9113333333333332
32,17,2017-11-13,0,11,0,0,1.0,1.0
18,9,2017-11-20,0,5,0,0,1.0,1.0
59,36,2017-11-27,0,13,0,0,1.0,0.9376923076923076
6,3,2017-12-04,0,2,0,0,1.0,1.0
8,3,2017-12-11,0,2,0,0,1.0,0.8
6,0,2017-12-18,0,3,0,0,1.0,0.6666666666666666
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
8,2,2018-01-08,0,4,0,0,1.0,1.0
3,1,2018-01-15,0,1,0,0,1.0,0.5
2,1,2018-01-22,0,1,0,0,1.0,1.0
2,0,2018-01-29,0,1,0,0,1.0,0.0
9,5,2018-02-05,0,3,0,0,1.0,1.0
16,9,2018-02-12,0,6,0,0,1.0,1.0
35,20,2018-02-19,0,8,0,0,1.0,0.90625
24,7,2018-02-26,0,9,0,0,1.0,0.9633333333333334
89,38,2018-03-05,0,26,0,0,1.0,0.8326923076923076
85,16,2018-03-12,0,39,0,0,1.0,0.9402564102564104
9,2,2018-03-19,0,4,0,0,1.0,1.0
15,6,2018-03-26,0,6,0,0,1.0,0.8616666666666667
7,1,2018-04-02,0,3,0,0,1.0,1.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
6,2,2018-04-16,0,2,0,0,1.0,0.5
26,8,2018-04-23,0,8,0,0,1.0,0.9375
2,0,2018-04-30,0,1,0,0,1.0,1.0
2,0,2018-05-07,0,1,0,0,1.0,1.0
9,2,2018-05-14,0,4,0,0,1.0,0.5
8,3,2018-05-21,0,3,0,0,1.0,0.5566666666666666
9,5,2018-05-28,0,3,0,0,1.0,0.89
34,15,2018-06-04,0,11,0,0,1.0,0.9836363636363636
8,2,2018-06-11,0,4,0,0,1.0,1.0
8,3,2018-06-18,0,4,0,0,1.0,1.0
18,6,2018-06-25,0,6,0,0,1.0,0.9333333333333332
12,2,2018-07-02,0,5,0,0,1.0,1.0
6,2,2018-07-09,0,3,0,0,1.0,1.0
8,3,2018-07-16,0,3,0,0,1.0,1.0
22,9,2018-07-23,0,5,0,0,1.0,0.6799999999999999
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
32,22,2018-08-13,0,8,0,0,1.0,1.0
16,6,2018-08-20,0,4,0,0,1.0,0.9275
0,0,2018-08-27,0,0,0,0,0.0,0.0
4,0,2018-09-03,0,2,0,0,1.0,1.0
2,0,2018-09-10,0,1,0,0,1.0,0.0
7,2,2018-09-17,0,2,0,0,1.0,0.875
4,0,2018-09-24,0,2,0,0,1.0,0.5
10,4,2018-10-01,0,5,0,0,1.0,0.8
21,8,2018-10-08,0,6,0,0,1.0,0.8216666666666667
22,9,2018-10-15,0,9,0,0,1.0,1.0
23,15,2018-10-22,0,6,0,0,1.0,1.0
12,4,2018-10-29,0,5,0,0,1.0,0.9
37,17,2018-11-05,0,11,0,0,1.0,0.94
20,10,2018-11-12,0,6,0,0,1.0,0.835
11,3,2018-11-19,0,4,0,0,1.0,1.0
3,2,2018-11-26,0,1,0,0,1.0,1.0
30,16,2018-12-03,0,9,0,0,1.0,0.8333333333333334
13,6,2018-12-10,0,3,0,0,1.0,0.7999999999999999
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
26,20,2018-12-31,0,6,0,0,1.0,0.9033333333333332
16,7,2019-01-07,0,5,0,0,1.0,0.9
14,8,2019-01-14,0,4,0,0,1.0,0.6675
65,54,2019-01-21,0,14,0,0,1.0,0.9207142857142856
51,44,2019-01-28,0,11,0,0,1.0,0.8663636363636363
6,2,2019-02-04,0,2,0,0,1.0,0.5
