cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,1,2018-09-03,0,1,0,0,1.0,0.5
0,0,2018-09-10,0,0,0,0,0.0,0.0
7,5,2018-09-17,0,2,0,0,1.0,1.0
0,0,2018-09-24,0,0,0,0,0.0,0.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
0,0,2018-10-08,0,0,0,0,0.0,0.0
0,0,2018-10-15,0,0,0,0,0.0,0.0
0,0,2018-10-22,0,0,0,0,0.0,0.0
0,0,2018-10-29,0,0,0,0,0.0,0.0
0,0,2018-11-05,0,0,0,0,0.0,0.0
2,1,2018-11-12,0,1,0,0,1.0,1.0
6,4,2018-11-19,0,2,0,0,1.0,1.0
3,0,2018-11-26,0,1,0,0,1.0,1.0
0,0,2018-12-03,0,0,0,0,0.0,0.0
3,0,2018-12-10,0,1,0,0,1.0,1.0
3,0,2018-12-17,0,1,0,0,1.0,0.0
9,2,2018-12-24,0,3,0,0,1.0,1.0
3,2,2018-12-31,0,1,0,0,1.0,1.0
3,2,2019-01-07,0,1,0,0,1.0,1.0
20,14,2019-01-14,0,5,0,0,1.0,1.0
6,2,2019-01-21,0,2,0,0,1.0,1.0
6,8,2019-01-28,0,1,0,0,1.0,1.0
18,20,2019-02-04,0,4,0,0,1.0,1.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
7,12,2019-02-18,0,1,0,0,1.0,1.0
9,4,2019-02-25,0,3,0,0,1.0,1.0
14,7,2019-03-04,0,4,0,0,1.0,1.0
12,6,2019-03-11,0,4,0,0,1.0,1.0
8,8,2019-03-18,0,2,0,0,1.0,1.0
6,8,2019-03-25,0,1,0,0,1.0,1.0
12,11,2019-04-01,0,3,0,0,1.0,1.0
