cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
3,0,2013-03-04,0,1,0,0,1.0,1.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
3,2,2013-04-15,0,1,0,0,1.0,1.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
2,0,2013-05-06,0,1,0,0,1.0,1.0
8,8,2013-05-13,1,1,0,0,0.8,1.0
19,20,2013-05-20,0,2,0,0,0.615,1.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
58,69,2013-06-03,4,6,2,5,0.9166666666666666,0.9316666666666666
96,108,2013-06-10,4,14,0,4,0.9107142857142856,0.9307142857142856
77,94,2013-06-17,6,12,0,0,0.8858333333333333,0.95
0,0,2013-06-24,0,0,0,0,0.0,0.0
14,14,2013-07-01,0,3,1,0,0.8333333333333334,0.8333333333333334
56,83,2013-07-08,2,8,0,0,0.96625,0.9825
15,7,2013-07-15,0,3,0,0,0.8333333333333334,0.89
15,13,2013-07-22,1,3,1,1,0.9433333333333334,0.9166666666666666
24,25,2013-07-29,0,4,0,0,0.875,1.0
35,53,2013-08-05,0,6,0,3,0.9583333333333334,1.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
20,16,2013-08-19,0,4,0,2,1.0,1.0
5,4,2013-08-26,0,1,0,0,1.0,1.0
11,9,2013-09-02,0,2,0,0,1.0,1.0
3,1,2013-09-09,0,1,0,0,1.0,1.0
2,1,2013-09-16,0,1,0,0,1.0,1.0
7,3,2013-09-23,0,3,0,0,1.0,0.8333333333333334
7,12,2013-09-30,0,1,0,0,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
7,12,2013-11-11,0,1,0,0,1.0,1.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
2,1,2014-03-31,0,1,1,0,0.0,0.0
2,1,2014-04-07,0,1,0,0,1.0,1.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
0,0,2014-04-21,0,0,0,0,0.0,0.0
7,4,2014-04-28,0,1,0,0,1.0,0.8
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
7,3,2014-05-26,1,2,0,1,0.835,1.0
25,8,2014-06-02,4,5,0,0,0.92,1.0
4,2,2014-06-09,0,2,0,2,1.0,1.0
15,12,2014-06-16,0,1,0,0,0.93,1.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
2,0,2014-07-14,1,1,0,0,0.0,1.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
12,7,2014-07-28,0,3,0,0,1.0,1.0
3,2,2014-08-04,0,1,0,0,1.0,1.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
2,0,2014-09-01,0,1,0,0,1.0,1.0
2,1,2014-09-08,0,1,0,0,1.0,1.0
