cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2012-12-17,0,1,0,0,1.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
0,0,2013-01-07,0,0,0,0,0.0,0.0
4,3,2013-01-14,0,1,0,0,1.0,1.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
10,10,2013-02-04,0,1,0,0,1.0,0.88
0,0,2013-02-11,0,0,0,0,0.0,0.0
16,23,2013-02-18,1,2,0,1,0.94,1.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
24,61,2013-04-15,0,3,0,0,0.9666666666666668,0.9166666666666666
22,17,2013-04-22,0,4,0,1,0.9175,0.85
49,133,2013-04-29,0,4,2,0,0.875,0.9275
74,205,2013-05-06,2,9,0,2,0.9633333333333334,0.9911111111111109
169,316,2013-05-13,22,17,8,6,0.9023529411764706,0.9
144,467,2013-05-20,10,12,8,4,0.6883333333333335,0.9375
170,248,2013-05-27,11,24,8,9,0.8491666666666667,0.8995833333333332
358,866,2013-06-03,33,34,3,30,0.8585294117647059,0.946470588235294
307,520,2013-06-10,10,35,1,16,0.9645714285714287,0.962285714285714
285,612,2013-06-17,9,31,4,3,0.9425806451612904,0.9619354838709676
235,291,2013-06-24,5,31,0,5,0.984516129032258,0.9425806451612904
130,270,2013-07-01,2,16,1,3,0.93375,0.90625
282,619,2013-07-08,37,30,25,15,0.9633333333333334,0.946
213,287,2013-07-15,18,33,10,9,0.8942424242424242,0.8696969696969697
178,184,2013-07-22,3,32,3,6,0.941875,0.8890624999999999
140,166,2013-07-29,4,20,1,1,0.9195,0.95
91,73,2013-08-05,4,16,0,1,0.938125,0.904375
113,106,2013-08-12,3,22,0,4,0.9659090909090908,0.9836363636363636
90,178,2013-08-19,2,15,0,1,0.922,1.0
31,30,2013-08-26,0,5,0,0,1.0,0.972
58,101,2013-09-02,0,9,0,2,0.9722222222222222,1.0
51,43,2013-09-09,2,11,0,0,0.8181818181818182,0.9472727272727272
183,186,2013-09-16,9,42,1,4,0.9014285714285716,0.9352380952380952
223,185,2013-09-23,2,53,2,3,0.9530188679245284,0.9726415094339622
130,91,2013-09-30,2,27,0,6,0.9785185185185186,0.9629629629629628
89,97,2013-10-07,1,14,0,4,0.9642857142857144,0.9185714285714284
14,4,2013-10-14,1,6,0,0,1.0,0.5
