cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2012-11-12,0,1,0,0,1.0,1.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
0,0,2012-11-26,0,0,0,0,0.0,0.0
11,17,2012-12-03,1,1,1,0,0.8,0.83
4,3,2012-12-10,0,1,0,0,1.0,1.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
8,9,2012-12-31,0,1,1,0,0.8,0.6699999999999999
0,0,2013-01-07,0,0,0,0,0.0,0.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
3,0,2013-02-04,0,1,0,0,1.0,1.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
2,1,2013-03-11,0,1,0,0,1.0,1.0
3,1,2013-03-18,0,1,0,1,1.0,1.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
3,1,2013-04-01,0,1,0,0,1.0,1.0
7,5,2013-04-08,0,1,0,0,1.0,0.83
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
0,0,2013-04-29,0,0,0,0,0.0,0.0
4,1,2013-05-06,1,1,0,1,1.0,0.6699999999999999
0,0,2013-05-13,0,0,0,0,0.0,0.0
0,0,2013-05-20,0,0,0,0,0.0,0.0
8,5,2013-05-27,0,1,0,0,1.0,0.86
6,8,2013-06-03,0,1,0,0,1.0,1.0
0,0,2013-06-10,0,0,0,0,0.0,0.0
3,2,2013-06-17,0,1,0,0,1.0,1.0
0,0,2013-06-24,0,0,0,0,0.0,0.0
0,0,2013-07-01,0,0,0,0,0.0,0.0
0,0,2013-07-08,0,0,0,0,0.0,0.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
5,3,2013-07-22,0,1,0,0,1.0,1.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
7,2,2013-08-19,0,2,0,1,1.0,1.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
24,31,2013-09-16,4,4,0,0,0.6775,1.0
27,25,2013-09-23,3,4,2,0,0.5675,0.9375
2,1,2013-09-30,0,1,0,0,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
0,0,2013-12-02,0,0,0,0,0.0,0.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
4,2,2014-02-24,0,2,0,0,1.0,1.0
3,2,2014-03-03,0,1,0,0,1.0,1.0
2,0,2014-03-10,0,1,0,0,0.0,1.0
3,2,2014-03-17,0,1,0,0,1.0,1.0
2,0,2014-03-24,0,1,0,0,1.0,1.0
31,48,2014-03-31,0,4,0,0,0.95,0.965
4,0,2014-04-07,0,1,0,0,1.0,1.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
12,9,2014-04-21,0,3,0,0,1.0,1.0
8,2,2014-04-28,2,2,2,0,0.335,0.665
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
0,0,2014-06-30,0,0,0,0,0.0,0.0
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
8,6,2014-09-15,1,2,0,0,0.75,1.0
16,22,2014-09-22,0,2,0,0,1.0,0.915
7,6,2014-09-29,0,1,0,0,1.0,0.8
7,7,2014-10-06,0,1,1,0,0.6699999999999999,0.75
0,0,2014-10-13,0,0,0,0,0.0,0.0
3,2,2014-10-20,0,1,0,0,1.0,1.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
3,2,2014-12-15,0,1,0,0,1.0,1.0
3,1,2014-12-22,0,1,0,0,1.0,1.0
7,5,2014-12-29,0,2,0,0,1.0,1.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
4,4,2015-01-12,0,1,0,0,1.0,1.0
7,5,2015-01-19,0,2,0,0,1.0,1.0
5,4,2015-01-26,0,1,0,0,1.0,1.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
0,0,2015-03-23,0,0,0,0,0.0,0.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
0,0,2015-04-20,0,0,0,0,0.0,0.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
3,1,2015-05-11,0,1,0,0,1.0,0.5
