cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
7,2,2013-12-30,1,2,0,0,1.0,0.835
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
7,6,2014-01-20,1,1,0,0,0.6699999999999999,1.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
0,0,2014-02-10,0,0,0,0,0.0,0.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
2,0,2014-03-17,1,1,0,0,0.0,1.0
3,2,2014-03-24,0,1,0,0,1.0,1.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
5,2,2014-04-07,0,2,0,0,1.0,0.5
17,7,2014-04-14,1,4,1,0,0.875,0.875
21,33,2014-04-21,0,3,0,0,1.0,0.9533333333333333
6,1,2014-04-28,0,2,1,0,0.0,0.75
16,8,2014-05-05,2,3,1,0,0.6666666666666666,0.9433333333333334
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
5,3,2014-06-02,0,1,0,0,1.0,1.0
2,0,2014-06-09,0,1,0,0,0.0,1.0
0,0,2014-06-16,0,0,0,0,0.0,0.0
0,0,2014-06-23,0,0,0,0,0.0,0.0
7,0,2014-06-30,1,1,0,0,1.0,0.83
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
6,4,2014-08-04,0,1,0,0,1.0,0.8
0,0,2014-08-11,0,0,0,0,0.0,0.0
3,0,2014-08-18,0,1,0,0,1.0,1.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
2,0,2014-09-29,1,1,0,0,0.0,1.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
0,0,2014-11-03,0,0,0,0,0.0,0.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
3,0,2014-12-01,0,1,0,0,1.0,0.5
