cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2017-12-04,0,1,0,0,1.0,1.0
0,0,2017-12-11,0,0,0,0,0.0,0.0
5,3,2017-12-18,0,1,0,3,1.0,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
2,1,2018-01-22,0,1,0,1,1.0,1.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
0,0,2018-02-05,0,0,0,0,0.0,0.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
2,0,2018-02-19,0,1,0,0,1.0,1.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
17,1,2018-03-05,1,7,0,1,0.9528571428571428,1.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
2,0,2018-04-23,0,1,0,0,1.0,1.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
2,0,2018-05-28,0,1,0,0,1.0,1.0
0,0,2018-06-04,0,0,0,0,0.0,0.0
0,0,2018-06-11,0,0,0,0,0.0,0.0
0,0,2018-06-18,0,0,0,0,0.0,0.0
0,0,2018-06-25,0,0,0,0,0.0,0.0
0,0,2018-07-02,0,0,0,0,0.0,0.0
2,1,2018-07-09,0,1,0,1,1.0,1.0
2,1,2018-07-16,0,1,0,1,1.0,1.0
0,0,2018-07-23,0,0,0,0,0.0,0.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
2,1,2018-08-13,0,1,0,1,1.0,1.0
2,1,2018-08-20,0,1,0,1,1.0,1.0
2,0,2018-08-27,0,1,0,0,1.0,1.0
4,1,2018-09-03,0,2,0,1,1.0,1.0
0,0,2018-09-10,0,0,0,0,0.0,0.0
2,0,2018-09-17,0,1,0,0,1.0,1.0
28,4,2018-09-24,5,10,0,4,0.6920000000000001,1.0
13,3,2018-10-01,0,5,0,3,1.0,1.0
25,3,2018-10-08,3,9,0,3,0.8055555555555556,1.0
4,0,2018-10-15,1,2,0,0,0.5,1.0
10,1,2018-10-22,0,3,0,1,1.0,1.0
8,2,2018-10-29,0,4,0,2,1.0,1.0
32,4,2018-11-05,5,9,0,4,0.7688888888888888,1.0
25,4,2018-11-12,2,7,0,4,0.9528571428571428,1.0
22,7,2018-11-19,1,8,0,7,0.9375,1.0
11,0,2018-11-26,3,2,0,0,0.375,1.0
31,4,2018-12-03,1,9,0,4,0.987777777777778,1.0
20,2,2018-12-10,1,6,0,2,0.9583333333333334,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
2,0,2019-01-21,0,1,0,0,1.0,1.0
0,0,2019-01-28,0,0,0,0,0.0,0.0
2,0,2019-02-04,0,1,0,0,1.0,1.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
2,1,2019-02-25,0,1,0,1,1.0,1.0
