cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,1,2014-01-20,0,1,0,0,1.0,1.0
0,0,2014-01-27,0,0,0,0,0.0,0.0
0,0,2014-02-03,0,0,0,0,0.0,0.0
3,2,2014-02-10,0,1,0,0,1.0,1.0
0,0,2014-02-17,0,0,0,0,0.0,0.0
0,0,2014-02-24,0,0,0,0,0.0,0.0
0,0,2014-03-03,0,0,0,0,0.0,0.0
0,0,2014-03-10,0,0,0,0,0.0,0.0
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
2,1,2014-04-21,0,1,0,0,1.0,1.0
7,12,2014-04-28,0,1,0,0,1.0,1.0
3,2,2014-05-05,0,1,0,0,1.0,1.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
2,0,2014-06-02,0,1,0,0,1.0,1.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
8,7,2014-06-16,0,2,0,0,1.0,1.0
5,2,2014-06-23,0,2,0,0,1.0,1.0
3,0,2014-06-30,1,1,0,0,0.0,1.0
5,0,2014-07-07,1,2,0,0,0.5,1.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
0,0,2014-07-21,0,0,0,0,0.0,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
0,0,2014-08-04,0,0,0,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
0,0,2014-08-18,0,0,0,0,0.0,0.0
0,0,2014-08-25,0,0,0,0,0.0,0.0
0,0,2014-09-01,0,0,0,0,0.0,0.0
0,0,2014-09-08,0,0,0,0,0.0,0.0
0,0,2014-09-15,0,0,0,0,0.0,0.0
0,0,2014-09-22,0,0,0,0,0.0,0.0
3,2,2014-09-29,0,1,0,0,1.0,1.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
3,0,2014-10-20,0,1,0,0,1.0,1.0
13,27,2014-10-27,0,1,2,0,0.83,0.71
29,19,2014-11-03,1,7,0,1,0.9528571428571428,1.0
15,7,2014-11-10,0,5,0,0,1.0,1.0
0,0,2014-11-17,0,0,0,0,0.0,0.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
6,2,2014-12-01,0,2,0,0,1.0,1.0
4,2,2014-12-08,0,1,0,0,0.5,1.0
0,0,2014-12-15,0,0,0,0,0.0,0.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
0,0,2015-01-12,0,0,0,0,0.0,0.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
0,0,2015-01-26,0,0,0,0,0.0,0.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
5,1,2015-03-02,0,2,0,0,1.0,1.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
8,6,2015-03-23,0,2,0,0,1.0,1.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
2,0,2015-04-06,0,1,0,0,1.0,1.0
