cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
27,33,2017-07-03,7,4,12,1,0.89,0.53
0,0,2017-07-10,0,0,0,0,0.0,0.0
19,10,2017-07-17,0,6,0,0,0.75,0.9166666666666666
23,22,2017-07-24,1,5,0,0,1.0,0.7659999999999999
8,4,2017-07-31,0,2,0,0,1.0,0.875
11,8,2017-08-07,0,3,0,0,1.0,1.0
7,4,2017-08-14,1,2,0,0,1.0,0.5
3,1,2017-08-21,0,1,0,0,0.5,1.0
2,1,2017-08-28,0,1,0,0,1.0,1.0
4,2,2017-09-04,0,1,0,0,0.6699999999999999,1.0
0,0,2017-09-11,0,0,0,0,0.0,0.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
0,0,2017-09-25,0,0,0,0,0.0,0.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
0,0,2017-10-09,0,0,0,0,0.0,0.0
10,5,2017-10-16,0,3,2,0,0.7766666666666667,0.89
55,68,2017-10-23,2,11,12,0,0.9772727272727272,0.7536363636363635
8,4,2017-10-30,0,3,0,0,1.0,1.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
10,3,2017-11-13,0,3,0,0,0.6666666666666666,1.0
13,7,2017-11-20,1,4,0,0,0.875,1.0
6,3,2017-11-27,0,2,0,0,1.0,1.0
3,2,2017-12-04,0,1,0,0,1.0,1.0
8,3,2017-12-11,0,3,0,0,0.6666666666666666,0.8333333333333334
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
7,3,2018-01-01,0,3,0,0,1.0,1.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
0,0,2018-01-15,0,0,0,0,0.0,0.0
8,0,2018-01-22,1,2,0,0,0.5,1.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
7,0,2018-02-05,0,2,0,0,0.5,1.0
2,1,2018-02-12,0,1,0,0,1.0,1.0
5,0,2018-02-19,0,2,0,0,1.0,0.5
4,2,2018-02-26,0,1,0,0,0.6699999999999999,1.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
5,6,2018-04-16,0,1,0,0,1.0,1.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
7,2,2018-06-04,0,2,0,1,1.0,1.0
8,3,2018-06-11,0,3,0,0,1.0,1.0
3,2,2018-06-18,0,1,0,0,1.0,1.0
0,0,2018-06-25,0,0,0,0,0.0,0.0
5,2,2018-07-02,0,2,0,0,0.5,1.0
14,19,2018-07-09,0,2,0,0,1.0,0.625
14,11,2018-07-16,0,4,0,0,0.9175,1.0
19,24,2018-07-23,1,3,1,0,0.9533333333333333,0.9333333333333332
2,1,2018-07-30,0,1,0,0,1.0,1.0
13,5,2018-08-06,0,4,0,2,1.0,0.875
4,1,2018-08-13,0,2,0,0,0.5,1.0
9,3,2018-08-20,2,3,0,0,1.0,0.6666666666666666
0,0,2018-08-27,0,0,0,0,0.0,0.0
8,9,2018-09-03,0,2,0,0,1.0,1.0
3,2,2018-09-10,0,1,0,0,1.0,1.0
0,0,2018-09-17,0,0,0,0,0.0,0.0
8,5,2018-09-24,0,2,0,0,1.0,1.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
3,1,2018-10-08,0,1,1,0,0.5,0.0
0,0,2018-10-15,0,0,0,0,0.0,0.0
11,5,2018-10-22,0,4,0,1,1.0,1.0
17,12,2018-10-29,0,5,0,0,1.0,1.0
4,2,2018-11-05,0,2,1,0,0.5,0.5
5,0,2018-11-12,0,2,0,0,0.75,1.0
6,2,2018-11-19,0,3,0,0,1.0,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
2,1,2018-12-03,0,1,0,0,1.0,1.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
4,1,2018-12-24,0,2,0,1,1.0,1.0
3,2,2018-12-31,0,1,0,0,1.0,1.0
0,0,2019-01-07,0,0,0,0,0.0,0.0
10,4,2019-01-14,4,1,2,2,0.5,0.75
11,6,2019-01-21,1,3,0,1,0.89,1.0
6,4,2019-01-28,0,2,0,0,1.0,1.0
11,4,2019-02-04,0,4,1,0,0.75,0.6675
0,0,2019-02-11,0,0,0,0,0.0,0.0
4,2,2019-02-18,0,1,0,0,1.0,1.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
0,0,2019-03-04,0,0,0,0,0.0,0.0
2,0,2019-03-11,0,1,0,0,1.0,0.0
2,0,2019-03-18,0,1,0,0,0.0,1.0
5,2,2019-03-25,0,2,0,0,1.0,1.0
