cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
94,233,2016-02-01,4,9,12,2,0.8977777777777778,0.9144444444444444
5,3,2016-02-08,0,1,0,2,1.0,1.0
47,100,2016-02-15,8,4,1,3,0.9375,0.8875
48,37,2016-02-22,0,10,1,7,0.98,0.95
13,10,2016-02-29,0,3,0,0,1.0,0.9166666666666666
59,70,2016-03-07,0,11,1,8,0.8636363636363636,0.8936363636363637
43,85,2016-03-14,0,5,1,0,0.98,0.932
10,13,2016-03-21,0,2,0,0,0.875,1.0
62,160,2016-03-28,0,6,0,1,0.975,0.9
68,115,2016-04-04,4,10,2,1,0.8909999999999999,0.971
53,91,2016-04-11,2,7,0,2,0.9528571428571428,0.9842857142857142
56,158,2016-04-18,1,7,0,2,0.9328571428571428,0.9914285714285712
31,50,2016-04-25,0,4,0,0,0.9175,1.0
21,11,2016-05-02,0,6,0,0,0.9583333333333334,0.9166666666666666
18,8,2016-05-09,1,5,0,3,0.9,1.0
35,35,2016-05-16,0,7,0,0,0.9242857142857144,1.0
64,213,2016-05-23,0,10,0,1,0.9,0.987
61,60,2016-05-30,2,10,2,2,0.9,0.867
30,36,2016-06-06,1,5,0,1,1.0,0.966
25,52,2016-06-13,0,3,0,0,0.81,1.0
11,9,2016-06-20,0,3,1,0,0.89,0.9166666666666666
31,30,2016-06-27,1,6,0,0,0.89,0.9583333333333334
32,26,2016-07-04,3,5,2,2,0.96,0.934
73,92,2016-07-11,5,11,0,1,0.8954545454545454,0.9872727272727272
29,12,2016-07-18,0,10,0,2,0.875,0.95
23,15,2016-07-25,0,7,0,0,1.0,0.8571428571428571
29,60,2016-08-01,2,4,4,0,0.95,0.945
15,3,2016-08-08,0,7,0,0,0.7142857142857143,1.0
65,137,2016-08-15,2,10,0,0,1.0,0.991
54,86,2016-08-22,1,7,0,0,0.94,0.98
49,51,2016-08-29,2,7,0,2,0.9357142857142856,0.9642857142857144
0,0,2016-09-05,0,0,0,0,0.0,0.0
19,60,2016-09-12,0,1,0,0,1.0,0.71
3,2,2016-09-19,0,1,0,0,1.0,1.0
14,40,2016-09-26,0,1,0,0,0.89,1.0
13,10,2016-10-03,0,3,0,1,1.0,1.0
9,7,2016-10-10,0,3,0,0,1.0,1.0
36,26,2016-10-17,1,7,0,2,0.98,1.0
6,3,2016-10-24,0,2,0,0,1.0,1.0
0,0,2016-10-31,0,0,0,0,0.0,0.0
5,2,2016-11-07,0,1,0,0,0.5,1.0
37,77,2016-11-14,0,5,0,1,1.0,0.98
29,55,2016-11-21,0,3,0,0,0.96,1.0
18,19,2016-11-28,0,3,0,0,0.7233333333333333,1.0
24,26,2016-12-05,0,6,0,1,1.0,0.9166666666666666
46,56,2016-12-12,0,9,0,0,1.0,1.0
29,20,2016-12-19,2,6,1,2,0.9716666666666668,0.9583333333333334
24,25,2016-12-26,0,5,0,1,1.0,1.0
22,37,2017-01-02,0,3,0,1,1.0,1.0
12,9,2017-01-09,0,3,0,0,0.89,1.0
0,0,2017-01-16,0,0,0,0,0.0,0.0
22,26,2017-01-23,1,3,0,1,0.89,0.9166666666666666
12,10,2017-01-30,2,2,0,0,1.0,0.75
14,8,2017-02-06,0,3,0,0,1.0,0.9333333333333332
2,1,2017-02-13,0,1,0,0,1.0,1.0
2,0,2017-02-20,0,1,0,0,1.0,0.0
11,11,2017-02-27,0,2,0,1,1.0,1.0
8,5,2017-03-06,0,2,0,1,1.0,1.0
43,33,2017-03-13,2,10,2,2,0.8800000000000001,0.975
21,13,2017-03-20,0,7,0,0,0.8571428571428571,0.9714285714285714
45,39,2017-03-27,0,10,0,0,1.0,1.0
62,95,2017-04-03,4,9,3,1,0.9311111111111109,0.977777777777778
17,11,2017-04-10,2,4,0,0,0.9375,1.0
41,39,2017-04-17,2,8,1,1,0.95875,0.95875
55,131,2017-04-24,5,9,0,1,0.9422222222222224,0.8888888888888888
12,6,2017-05-01,2,3,0,0,1.0,0.8333333333333334
14,4,2017-05-08,0,5,0,0,0.8,0.9
11,3,2017-05-15,0,4,1,0,0.625,0.75
39,31,2017-05-22,0,9,0,2,0.977777777777778,1.0
21,21,2017-05-29,0,5,0,0,1.0,1.0
11,3,2017-06-05,1,4,0,0,0.9175,1.0
18,24,2017-06-12,1,1,4,0,0.73,0.6699999999999999
0,0,2017-06-19,0,0,0,0,0.0,0.0
5,2,2017-06-26,0,2,0,0,1.0,1.0
144,138,2017-07-03,0,30,5,1,0.9683333333333336,0.953
174,97,2017-07-10,6,44,0,3,0.8847727272727273,1.0
90,54,2017-07-17,3,24,3,0,0.8654166666666668,0.9654166666666668
56,34,2017-07-24,2,17,1,1,0.9917647058823528,0.9852941176470588
32,8,2017-07-31,1,12,0,0,0.945,1.0
43,22,2017-08-07,0,12,0,0,0.9483333333333334,1.0
14,6,2017-08-14,0,6,0,0,1.0,1.0
34,13,2017-08-21,0,11,1,3,0.9318181818181818,0.9090909090909092
34,16,2017-08-28,0,12,0,0,1.0,1.0
13,3,2017-09-04,0,4,1,1,0.75,0.875
34,26,2017-09-11,1,9,0,3,0.9888888888888888,1.0
8,3,2017-09-18,0,2,0,0,1.0,1.0
25,14,2017-09-25,0,7,0,1,1.0,1.0
31,23,2017-10-02,0,8,0,0,0.78375,0.95875
3,2,2017-10-09,0,1,0,0,1.0,1.0
25,14,2017-10-16,4,5,2,1,0.866,0.966
84,55,2017-10-23,0,23,6,2,0.9456521739130436,0.9195652173913044
38,13,2017-10-30,0,13,0,0,1.0,0.9230769230769232
31,34,2017-11-06,4,4,0,3,0.9375,0.875
10,4,2017-11-13,0,3,0,0,1.0,1.0
41,23,2017-11-20,1,12,0,1,0.875,1.0
33,31,2017-11-27,0,8,0,0,1.0,0.875
13,5,2017-12-04,0,4,0,0,1.0,1.0
27,14,2017-12-11,0,9,0,2,0.8888888888888888,1.0
12,4,2017-12-18,0,5,0,0,0.8,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
37,22,2018-01-01,0,12,0,2,0.9166666666666666,1.0
5,3,2018-01-08,0,2,0,0,1.0,1.0
8,1,2018-01-15,0,3,0,0,1.0,1.0
18,4,2018-01-22,0,6,0,1,0.8333333333333334,1.0
4,4,2018-01-29,0,1,0,0,1.0,1.0
13,5,2018-02-05,0,4,0,1,0.75,1.0
8,5,2018-02-12,0,3,0,0,1.0,1.0
18,5,2018-02-19,0,6,0,1,0.9166666666666666,1.0
3,2,2018-02-26,0,1,0,0,1.0,1.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
11,7,2018-03-19,0,3,0,0,1.0,1.0
3,1,2018-03-26,0,1,0,1,1.0,1.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
7,1,2018-04-09,0,3,0,0,1.0,1.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
2,0,2018-05-07,0,1,0,0,1.0,1.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
10,9,2018-05-21,0,3,0,0,1.0,1.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
36,24,2018-06-04,0,9,0,0,1.0,1.0
37,11,2018-06-11,1,11,0,3,0.8963636363636364,1.0
27,13,2018-06-18,1,9,0,2,0.9633333333333334,1.0
12,11,2018-06-25,0,4,0,0,1.0,1.0
42,21,2018-07-02,1,15,0,0,0.9333333333333332,1.0
24,16,2018-07-09,0,6,0,0,0.9666666666666668,1.0
21,13,2018-07-16,0,6,0,0,0.945,1.0
29,16,2018-07-23,1,7,1,0,0.98,0.7814285714285714
4,1,2018-07-30,0,2,0,0,1.0,1.0
9,5,2018-08-06,0,3,0,1,1.0,1.0
10,3,2018-08-13,0,4,0,0,0.5,1.0
15,8,2018-08-20,1,4,0,0,0.9175,1.0
7,3,2018-08-27,0,2,0,0,1.0,1.0
25,8,2018-09-03,1,8,0,1,1.0,0.9375
31,23,2018-09-10,1,8,0,0,0.975,0.875
7,2,2018-09-17,0,3,0,0,1.0,1.0
5,2,2018-09-24,0,2,0,0,1.0,1.0
2,1,2018-10-01,0,1,0,0,1.0,1.0
5,1,2018-10-08,0,2,1,0,0.75,0.5
30,36,2018-10-15,0,5,0,2,0.95,1.0
28,12,2018-10-22,2,8,0,2,0.95875,0.875
45,23,2018-10-29,0,14,0,0,1.0,1.0
68,44,2018-11-05,0,20,0,0,0.95,0.9875
25,13,2018-11-12,0,8,0,0,1.0,1.0
15,5,2018-11-19,0,6,0,1,0.9166666666666666,1.0
20,10,2018-11-26,0,8,0,0,1.0,1.0
9,7,2018-12-03,0,2,0,0,1.0,1.0
4,1,2018-12-10,0,2,0,0,1.0,1.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
25,12,2018-12-24,0,7,0,0,0.9757142857142858,1.0
11,3,2018-12-31,0,4,0,1,1.0,1.0
16,5,2019-01-07,0,6,0,0,1.0,1.0
